frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Wie viele Kontinente gibt es?";"5";"6";"7";"8";"C";"1";"5";"7";"kontinente";"Es gibt 7 KONTINENTE: Europa, Asien, Afrika, Nordamerika, Südamerika, Australien/Ozeanien, Antarktis.";""
"Auf welchem Kontinent liegt Deutschland?";"Afrika";"Asien";"Europa";"Amerika";"C";"1";"5";"7";"kontinente";"Deutschland liegt in EUROPA.";""
"Was ist der größte Kontinent?";"Afrika";"Asien";"Europa";"Nordamerika";"B";"1";"6";"8";"kontinente";"ASIEN ist der größte Kontinent.";""
"Was ist der kleinste Kontinent?";"Europa";"Australien";"Antarktis";"Südamerika";"B";"1";"6";"8";"kontinente";"AUSTRALIEN (Ozeanien) ist der kleinste Kontinent.";""
"Was ist die Hauptstadt von Deutschland?";"Hamburg";"München";"Berlin";"Frankfurt";"C";"1";"5";"7";"hauptstaedte";"BERLIN ist die Hauptstadt von Deutschland.";""
"Was ist die Hauptstadt von Frankreich?";"Lyon";"Marseille";"Paris";"Nizza";"C";"1";"6";"8";"hauptstaedte";"PARIS ist die Hauptstadt von Frankreich.";""
"Was ist die Hauptstadt von Italien?";"Mailand";"Rom";"Venedig";"Florenz";"B";"1";"6";"8";"hauptstaedte";"ROM ist die Hauptstadt von Italien.";""
"Was ist die Hauptstadt von Spanien?";"Barcelona";"Madrid";"Valencia";"Sevilla";"B";"1";"6";"8";"hauptstaedte";"MADRID ist die Hauptstadt von Spanien.";""
"Was ist die Hauptstadt von England?";"Manchester";"Liverpool";"London";"Birmingham";"C";"1";"6";"8";"hauptstaedte";"LONDON ist die Hauptstadt von England/Großbritannien.";""
"Wie viele Ozeane gibt es?";"3";"4";"5";"6";"C";"2";"7";"9";"ozeane";"Es gibt 5 OZEANE: Pazifik, Atlantik, Indischer Ozean, Südpolarmeer, Arktischer Ozean.";""
"Welcher ist der größte Ozean?";"Atlantik";"Pazifik";"Indischer Ozean";"Arktischer Ozean";"B";"2";"7";"9";"ozeane";"Der PAZIFIK ist der größte Ozean.";""
"Was ist der längste Fluss der Welt?";"Amazonas";"Nil";"Mississippi";"Donau";"B";"2";"8";"10";"gewaesser";"Der NIL in Afrika ist mit ca. 6.650 km der längste Fluss.";""
"Was ist der längste Fluss Europas?";"Rhein";"Donau";"Wolga";"Elbe";"C";"2";"8";"10";"gewaesser";"Die WOLGA in Russland ist mit 3.530 km der längste Fluss Europas.";""
