frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Wie heißt der Planet, auf dem wir leben?";"Mars";"Venus";"Erde";"Jupiter";"C";"1";"5";"7";"astronomie";"Wir leben auf der ERDE. Sie ist der dritte Planet von der Sonne.";""
"Wie heißt unser nächster Stern?";"Mond";"Sonne";"Mars";"Polarstern";"B";"1";"5";"7";"astronomie";"Die SONNE ist unser nächster Stern. Sie gibt uns Licht und Wärme.";""
"Was lässt Pflanzen wachsen?";"Nur Wasser";"Nur Licht";"Wasser, Licht und Erde";"Nur Luft";"C";"1";"5";"7";"biologie";"Pflanzen brauchen WASSER, LICHT und Nährstoffe aus der ERDE.";""
"Wie viele Beine hat eine Spinne?";"4";"6";"8";"10";"C";"1";"5";"7";"biologie";"Spinnen haben 8 BEINE. Insekten haben nur 6!";""
"Wie viele Beine hat ein Insekt?";"4";"6";"8";"10";"B";"1";"5";"7";"biologie";"Insekten haben 6 BEINE. Immer drei Paare.";""
"Was macht die Sonne im Winter?";"Sie geht nicht auf";"Sie scheint kürzer";"Sie scheint länger";"Sie ist heißer";"B";"1";"5";"7";"wetter";"Im Winter scheint die Sonne KÜRZER. Die Tage sind kürzer.";""
"Was braucht Feuer zum Brennen?";"Nur Holz";"Nur Luft";"Brennstoff, Sauerstoff und Hitze";"Nur Wasser";"C";"2";"6";"8";"chemie";"Das Feuerdreieck: BRENNSTOFF, SAUERSTOFF und HITZE.";""
"Woraus besteht Wasser?";"Nur Sauerstoff";"Nur Wasserstoff";"Wasserstoff und Sauerstoff";"Kohlenstoff und Sauerstoff";"C";"2";"7";"9";"chemie";"Wasser = H₂O = WASSERSTOFF und SAUERSTOFF.";""
"Was ist die chemische Formel für Wasser?";"H₂O";"CO₂";"O₂";"NaCl";"A";"2";"8";"10";"chemie";"H₂O = zwei Wasserstoff + ein Sauerstoff.";""
"Welches Gas atmen wir ein?";"Kohlendioxid";"Stickstoff";"Sauerstoff";"Helium";"C";"2";"6";"8";"biologie";"Wir atmen SAUERSTOFF ein und Kohlendioxid aus.";""
"Welches Gas atmen wir aus?";"Sauerstoff";"Stickstoff";"Kohlendioxid";"Wasserstoff";"C";"2";"6";"8";"biologie";"Wir atmen KOHLENDIOXID (CO₂) aus.";""
