frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was heißt 'Apfel' auf Englisch?";"banana";"apple";"orange";"grape";"B";"1";"5";"7";"vokabeln";"Apfel = APPLE. Ein roter oder grüner Apfel.";""
"Was heißt 'Hund' auf Englisch?";"cat";"bird";"dog";"fish";"C";"1";"5";"7";"vokabeln";"Hund = DOG. Der beste Freund des Menschen.";""
"Was heißt 'Katze' auf Englisch?";"dog";"cat";"mouse";"bird";"B";"1";"5";"7";"vokabeln";"Katze = CAT. Cats say meow!";""
"Was heißt 'Haus' auf Englisch?";"house";"home";"hut";"hall";"A";"1";"5";"7";"vokabeln";"Haus = HOUSE. Home ist eher das Zuhause.";""
"Was heißt 'rot' auf Englisch?";"blue";"green";"red";"yellow";"C";"1";"5";"7";"farben";"Rot = RED. Die Farbe von Erdbeeren und Tomaten.";""
"Was heißt 'blau' auf Englisch?";"blue";"green";"red";"yellow";"A";"1";"5";"7";"farben";"Blau = BLUE. Die Farbe des Himmels.";""
"Was heißt 'grün' auf Englisch?";"blue";"green";"red";"yellow";"B";"1";"5";"7";"farben";"Grün = GREEN. Die Farbe von Gras und Blättern.";""
"Wie sagt man 'Guten Morgen' auf Englisch?";"Good night";"Good morning";"Good evening";"Goodbye";"B";"1";"5";"7";"begruessung";"Guten Morgen = GOOD MORNING. Man sagt es am Morgen.";""
"Wie sagt man 'Gute Nacht' auf Englisch?";"Good night";"Good morning";"Good evening";"Goodbye";"A";"1";"5";"7";"begruessung";"Gute Nacht = GOOD NIGHT. Man sagt es vor dem Schlafen.";""
"Was bedeutet 'Hello'?";"Tschüss";"Hallo";"Danke";"Bitte";"B";"1";"5";"7";"begruessung";"Hello = HALLO. Eine freundliche Begrüßung.";""
"Welche Zahl ist 'one'?";"0";"1";"2";"3";"B";"1";"5";"7";"zahlen";"One = 1. Die erste Zahl.";""
"Welche Zahl ist 'five'?";"3";"4";"5";"6";"C";"1";"5";"7";"zahlen";"Five = 5. Wie viele Finger an einer Hand.";""
"Welche Zahl ist 'ten'?";"8";"9";"10";"11";"C";"1";"5";"7";"zahlen";"Ten = 10. Zehn Finger an beiden Händen.";""
"Was heißt 'Mutter' auf Englisch?";"father";"mother";"sister";"brother";"B";"1";"5";"7";"familie";"Mutter = MOTHER. Auch: Mom oder Mum.";""
"Was heißt 'Vater' auf Englisch?";"father";"mother";"sister";"brother";"A";"1";"5";"7";"familie";"Vater = FATHER. Auch: Dad oder Daddy.";""
"Was heißt 'ich' auf Englisch?";"you";"he";"I";"we";"C";"1";"6";"8";"pronomen";"Ich = I. Immer groß geschrieben!";""
"Was heißt 'du' auf Englisch?";"I";"you";"he";"she";"B";"1";"6";"8";"pronomen";"Du = YOU. Auch 'Sie' und 'ihr'.";""
"Wie heißt der Artikel 'der/die/das' auf Englisch?";"a";"an";"the";"this";"C";"2";"6";"8";"artikel";"Der/die/das = THE. Es gibt nur einen bestimmten Artikel!";""
"Wann benutzt man 'a' und wann 'an'?";"a vor Konsonant, an vor Vokal";"an vor Konsonant, a vor Vokal";"Immer a";"Immer an";"A";"2";"7";"9";"artikel";"A vor Konsonant (a dog), AN vor Vokal (an apple).";""
"Ergänze: She ___ a teacher.";"am";"is";"are";"be";"B";"2";"7";"9";"grammatik";"She IS. Er/Sie/Es verwendet 'is'.";""
"Ergänze: They ___ happy.";"am";"is";"are";"be";"C";"2";"7";"9";"grammatik";"They ARE. Mehrzahl verwendet 'are'.";""
"Ergänze: I ___ a student.";"am";"is";"are";"be";"A";"2";"7";"9";"grammatik";"I AM. Nur 'I' verwendet 'am'.";""
