frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was brauchen Pflanzen zum Wachsen?";"Nur Wasser";"Wasser, Licht und Nährstoffe";"Nur Licht";"Nur Erde";"B";"1";"5";"7";"pflanzen";"Pflanzen brauchen WASSER, LICHT und NÄHRSTOFFE zum Wachsen.";""
"Was ist Photosynthese?";"Pflanzenschlaf";"Pflanzen machen aus Licht und CO₂ Zucker und Sauerstoff";"Pflanzenbewegung";"Pflanzenwachstum";"B";"2";"8";"10";"pflanzen";"Bei der PHOTOSYNTHESE machen Pflanzen aus Licht und CO₂ Zucker und Sauerstoff.";""
"Welches Gas geben Pflanzen ab?";"Kohlendioxid";"Sauerstoff";"Stickstoff";"Wasserstoff";"B";"2";"7";"9";"pflanzen";"Pflanzen geben SAUERSTOFF ab und nehmen CO₂ auf.";""
"Was ist die Wurzel einer Pflanze?";"Das Blatt";"Der Teil unter der Erde, der Wasser aufnimmt";"Die Blüte";"Der Stängel";"B";"1";"5";"7";"pflanzen";"Die WURZEL nimmt Wasser und Nährstoffe aus dem Boden auf.";""
"Was macht das Blatt einer Pflanze?";"Speichert Wasser";"Macht Photosynthese";"Hält die Pflanze fest";"Zieht Insekten an";"B";"2";"7";"9";"pflanzen";"Im BLATT findet die Photosynthese statt – dort wird Zucker produziert.";""
"Warum sind Blätter grün?";"Wegen Wasser";"Wegen des Farbstoffs Chlorophyll";"Wegen der Sonne";"Wegen der Erde";"B";"2";"8";"10";"pflanzen";"CHLOROPHYLL ist der grüne Farbstoff, der Licht für die Photosynthese einfängt.";""
"Was ist eine Zelle?";"Ein Gefängnis";"Der kleinste Baustein von Lebewesen";"Ein Organ";"Ein Muskel";"B";"2";"8";"10";"zellbiologie";"Die ZELLE ist der kleinste Baustein aller Lebewesen.";""
"Was hat eine Tierzelle, aber keine Pflanzenzelle?";"Zellkern";"Keine Zellwand";"Mitochondrien";"Zellmembran";"B";"3";"10";"12";"zellbiologie";"Tierzellen haben KEINE ZELLWAND, Pflanzenzellen schon.";""
"Was ist der Zellkern?";"Die Außenhülle";"Das Steuerzentrum mit der DNA";"Ein Energiekraftwerk";"Ein Speicher";"B";"3";"9";"11";"zellbiologie";"Der ZELLKERN enthält die DNA und steuert alle Zellaktivitäten.";""
"Was sind Mitochondrien?";"Speicher";"Die Kraftwerke der Zelle";"Die Hülle";"Die Wand";"B";"3";"10";"12";"zellbiologie";"MITOCHONDRIEN sind die Kraftwerke der Zelle – sie produzieren Energie (ATP).";""
"Was ist DNA?";"Ein Vitamin";"Der genetische Bauplan eines Lebewesens";"Ein Protein";"Ein Zucker";"B";"3";"10";"12";"genetik";"DNA ist der genetische BAUPLAN, der alle Erbinformationen enthält.";""
"Was sind Gene?";"Zellen";"Abschnitte der DNA mit Bauanleitungen";"Organe";"Bakterien";"B";"3";"10";"12";"genetik";"GENE sind Abschnitte der DNA, die Anleitungen für Eigenschaften enthalten.";""
