frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist die Lunge?";"Ein Muskel";"Organ zum Atmen";"Eine Druese";"Ein Knochen";"B";"1";"6";"8";"koerper";"Die LUNGE nimmt Sauerstoff auf und gibt Kohlendioxid ab.";""
"Was ist die Leber?";"Speicherorgan";"Groesstes inneres Organ das Giftstoffe abbaut";"Atemorgan";"Pumpe";"B";"2";"8";"10";"koerper";"Die LEBER reinigt das Blut und baut Giftstoffe ab.";""
"Was macht die Niere?";"Atmen";"Filtert das Blut und bildet Urin";"Pumpt Blut";"Verdaut Essen";"B";"2";"8";"10";"koerper";"Die NIEREN filtern das Blut und entfernen Abfallstoffe als Urin.";""
"Wie viele Nieren hat ein Mensch?";"Eine";"Zwei";"Drei";"Vier";"B";"1";"6";"8";"koerper";"Menschen haben normalerweise ZWEI Nieren.";""
"Was ist der Magen?";"Atemorgan";"Organ das Nahrung zerkleinert";"Filterorgan";"Pumpe";"B";"1";"6";"8";"koerper";"Der MAGEN zerkleinert Nahrung mit Saeure und Enzymen.";""
"Was ist der Darm?";"Ein Knochen";"Organ das Naehrstoffe aufnimmt";"Ein Muskel";"Eine Druese";"B";"1";"6";"8";"koerper";"Im DARM werden Naehrstoffe aus der Nahrung aufgenommen.";""
"Wie lang ist der Duenndarm ungefaehr?";"1 Meter";"3-5 Meter";"10 Meter";"50 cm";"B";"3";"9";"11";"koerper";"Der DUENNDARM ist etwa 3-5 Meter lang!";""
"Was ist das Gehirn?";"Ein Muskel";"Die Steuerzentrale des Koerpers";"Ein Knochen";"Eine Druese";"B";"1";"6";"8";"koerper";"Das GEHIRN steuert alle Koerperfunktionen und ermoeglicht Denken.";""
"Wie viele Knochen hat ein erwachsener Mensch?";"100";"206";"350";"50";"B";"2";"8";"10";"koerper";"Erwachsene haben 206 KNOCHEN - Babys haben mehr die zusammenwachsen.";""
"Was ist das Skelett?";"Die Haut";"Das Knochengeruest des Koerpers";"Die Muskeln";"Die Organe";"B";"1";"6";"8";"koerper";"Das SKELETT stuetzt den Koerper und schuetzt die Organe.";""
"Was verbindet Muskeln mit Knochen?";"Nerven";"Sehnen";"Adern";"Haut";"B";"2";"8";"10";"koerper";"SEHNEN verbinden Muskeln mit Knochen.";""
"Was verbindet Knochen miteinander?";"Muskeln";"Baender";"Sehnen";"Nerven";"B";"2";"8";"10";"koerper";"BAENDER verbinden Knochen an Gelenken miteinander.";""
"Was ist ein Gelenk?";"Ein Muskel";"Verbindung zwischen zwei Knochen";"Ein Nerv";"Ein Organ";"B";"1";"6";"8";"koerper";"GELENKE erlauben Bewegung zwischen Knochen wie Knie oder Ellbogen.";""
"Was schuetzt das Gehirn?";"Die Haut";"Der Schaedel";"Die Muskeln";"Das Herz";"B";"1";"6";"8";"koerper";"Der SCHAEDEL ist ein Knochen der das Gehirn schuetzt.";""
"Was ist das Rueckenmark?";"Ein Knochen";"Nervenstraenge in der Wirbelsaeule";"Ein Muskel";"Ein Organ";"B";"3";"9";"11";"koerper";"Das RUECKENMARK leitet Signale zwischen Gehirn und Koerper.";""
"Was sind Hormone?";"Muskeln";"Botenstoffe die Koerperfunktionen steuern";"Knochen";"Nerven";"B";"3";"10";"12";"koerper";"HORMONE sind chemische Botenstoffe die viele Koerperfunktionen steuern.";""
"Was ist Insulin?";"Ein Vitamin";"Hormon das den Blutzucker reguliert";"Ein Enzym";"Ein Muskel";"B";"3";"10";"12";"koerper";"INSULIN reguliert den Blutzuckerspiegel und wird in der Bauchspeicheldruese gebildet.";""
"Was ist Diabetes?";"Allergie";"Krankheit bei der Insulin fehlt oder nicht wirkt";"Virus";"Bakterie";"B";"3";"10";"12";"krankheiten";"Bei DIABETES ist der Blutzucker zu hoch weil Insulin fehlt oder nicht wirkt.";""
