frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist Programmieren?";"Spielen";"Anweisungen für Computer schreiben";"Malen";"Lesen";"B";"1";"6";"8";"grundlagen";"PROGRAMMIEREN bedeutet, Anweisungen zu schreiben, die ein Computer ausführt.";""
"Was ist ein Programm?";"Ein Buch";"Eine Liste von Anweisungen für den Computer";"Ein Spiel";"Ein Bild";"B";"1";"6";"8";"grundlagen";"Ein PROGRAMM ist eine Sammlung von Anweisungen, die der Computer ausführt.";""
"Was ist Code?";"Geheimschrift";"Die Sprache, in der Programme geschrieben werden";"Eine Farbe";"Ein Spiel";"B";"1";"6";"8";"grundlagen";"CODE sind die Anweisungen in einer Programmiersprache.";""
"Was macht ein Programmierer?";"Spielt Spiele";"Schreibt Programme";"Malt Bilder";"Singt Lieder";"B";"1";"6";"8";"grundlagen";"Ein PROGRAMMIERER schreibt Programme und löst Probleme mit Code.";""
"Was ist eine Programmiersprache?";"Englisch";"Eine Sprache, die Computer verstehen";"Deutsch";"Spanisch";"B";"1";"7";"9";"grundlagen";"Eine PROGRAMMIERSPRACHE ist eine formale Sprache zur Kommunikation mit Computern.";""
"Welches ist eine Programmiersprache?";"Englisch";"Python";"Französisch";"Spanisch";"B";"1";"7";"9";"sprachen";"PYTHON ist eine beliebte, einfach zu lernende Programmiersprache.";""
"Was ist ein Bug?";"Ein Insekt";"Ein Fehler im Programm";"Ein Feature";"Ein Computer";"B";"1";"7";"9";"grundlagen";"Ein BUG ist ein Fehler im Code, der das Programm falsch laufen lässt.";""
"Was ist Debugging?";"Insekten jagen";"Fehler im Code finden und beheben";"Programmieren";"Spielen";"B";"2";"8";"10";"grundlagen";"DEBUGGING bedeutet, Fehler (Bugs) im Code zu finden und zu reparieren.";""
"Was ist eine Variable?";"Eine Zahl";"Ein Behälter für Werte";"Ein Befehl";"Eine Farbe";"B";"2";"8";"10";"konzepte";"Eine VARIABLE ist wie eine Box, in der man Werte speichern kann.";""
"Was speichert die Variable 'name = Max'?";"Eine Zahl";"Den Text 'Max'";"Nichts";"Eine Farbe";"B";"2";"8";"10";"konzepte";"Die Variable 'name' speichert den TEXT 'Max'.";""
"Was ist ein String?";"Eine Zahl";"Text in Anführungszeichen";"Eine Schleife";"Eine Bedingung";"B";"2";"9";"11";"datentypen";"Ein STRING ist Text, z.B. 'Hallo' oder 'Max'.";""
"Was ist ein Integer?";"Text";"Eine ganze Zahl";"Eine Dezimalzahl";"Ein Buchstabe";"B";"2";"9";"11";"datentypen";"Ein INTEGER ist eine ganze Zahl wie 1, 42 oder -7.";""
"Was ist ein Float?";"Text";"Eine Dezimalzahl";"Eine ganze Zahl";"Ein Buchstabe";"B";"2";"9";"11";"datentypen";"Ein FLOAT ist eine Dezimalzahl wie 3.14 oder 2.5.";""
"Was ist ein Boolean?";"Text";"Wahr oder Falsch (True/False)";"Eine Zahl";"Eine Liste";"B";"2";"9";"11";"datentypen";"Ein BOOLEAN kann nur zwei Werte haben: True (wahr) oder False (falsch).";""
"Was macht print('Hallo')?";"Druckt auf Papier";"Zeigt 'Hallo' auf dem Bildschirm";"Speichert 'Hallo'";"Löscht 'Hallo'";"B";"1";"7";"9";"befehle";"PRINT gibt Text auf dem Bildschirm aus.";""
"Was ist eine Schleife?";"Ein Kreis";"Code, der mehrfach wiederholt wird";"Ein einmaliger Befehl";"Ein Fehler";"B";"2";"8";"10";"konzepte";"Eine SCHLEIFE wiederholt Code mehrmals (z.B. 10 mal 'Hallo' ausgeben).";""
"Was macht eine FOR-Schleife?";"Springt zufällig";"Wiederholt Code eine bestimmte Anzahl";"Stoppt das Programm";"Löscht Daten";"B";"2";"9";"11";"schleifen";"Eine FOR-SCHLEIFE wiederholt Code eine festgelegte Anzahl von Malen.";""
"Was macht eine WHILE-Schleife?";"Wiederholt immer";"Wiederholt, solange eine Bedingung wahr ist";"Wiederholt nie";"Stoppt sofort";"B";"3";"10";"12";"schleifen";"Eine WHILE-SCHLEIFE läuft, solange die Bedingung True ist.";""
"Was ist eine IF-Bedingung?";"Eine Schleife";"Führt Code aus, wenn eine Bedingung wahr ist";"Ein Fehler";"Eine Variable";"B";"2";"8";"10";"konzepte";"IF prüft eine Bedingung und führt Code nur aus, wenn sie wahr ist.";""
"Was bedeutet ELSE?";"Wenn";"Sonst (wenn IF nicht wahr ist)";"Ende";"Start";"B";"2";"9";"11";"konzepte";"ELSE ist der Code, der ausgeführt wird, wenn IF nicht wahr ist.";""
"Was ist eine Funktion?";"Eine Variable";"Ein wiederverwendbarer Code-Block";"Eine Schleife";"Ein Fehler";"B";"2";"9";"11";"konzepte";"Eine FUNKTION ist ein Code-Block, den man mehrfach aufrufen kann.";""
"Was macht 'def hallo():' in Python?";"Löscht etwas";"Definiert eine Funktion namens 'hallo'";"Ruft eine Funktion auf";"Erstellt eine Variable";"B";"3";"10";"12";"python";"DEF definiert eine neue Funktion in Python.";""
"Was ist ein Parameter?";"Ein Fehler";"Ein Wert, der an eine Funktion übergeben wird";"Eine Schleife";"Ein Datentyp";"B";"3";"10";"12";"konzepte";"PARAMETER sind Werte, die man einer Funktion beim Aufruf übergibt.";""
"Was macht 'return'?";"Beendet das Programm";"Gibt einen Wert aus einer Funktion zurück";"Startet eine Schleife";"Erstellt eine Variable";"B";"3";"10";"12";"konzepte";"RETURN gibt einen Wert aus einer Funktion zurück.";""
"Was ist eine Liste (Array)?";"Eine einzelne Zahl";"Eine Sammlung von Werten";"Ein Text";"Ein Befehl";"B";"2";"9";"11";"datenstrukturen";"Eine LISTE speichert mehrere Werte in einer Reihe, z.B. [1, 2, 3].";""
"Was ist der Index einer Liste?";"Der Name";"Die Position eines Elements (startet bei 0)";"Die Länge";"Der Wert";"B";"3";"10";"12";"datenstrukturen";"Der INDEX ist die Position in der Liste. Der erste Eintrag hat Index 0!";""
"Welchen Index hat das erste Element einer Liste?";"1";"0";"2";"-1";"B";"2";"9";"11";"datenstrukturen";"Das erste Element hat INDEX 0 (nicht 1!).";""
"Was ist ein Dictionary in Python?";"Ein Wörterbuch";"Sammlung von Schlüssel-Wert-Paaren";"Eine Liste";"Ein Text";"B";"3";"11";"13";"datenstrukturen";"Ein DICTIONARY speichert Schlüssel-Wert-Paare: {'name': 'Max', 'alter': 10}.";""
"Was ergibt 5 + 3 in Python?";"53";"8";"'5 + 3'";"Fehler";"B";"1";"7";"9";"operatoren";"5 + 3 ergibt 8 (Addition von Zahlen).";""
"Was ergibt '5' + '3' in Python?";"8";"'53'";"Fehler";"15";"B";"2";"9";"11";"operatoren";"'5' + '3' ergibt '53' (Textverkettung, keine Addition!).";""
"Was bedeutet == in der Programmierung?";"Zuweisung";"Vergleich auf Gleichheit";"Addition";"Subtraktion";"B";"2";"9";"11";"operatoren";"== vergleicht zwei Werte auf Gleichheit (= weist zu!).";""
"Was bedeutet != ?";"Gleich";"Ungleich (nicht gleich)";"Kleiner";"Größer";"B";"2";"9";"11";"operatoren";"!= bedeutet 'nicht gleich' oder 'ungleich'.";""
"Was bedeutet && oder 'and'?";"Oder";"Und (beide Bedingungen müssen wahr sein)";"Nicht";"Gleich";"B";"3";"10";"12";"operatoren";"AND/&& ist wahr, wenn BEIDE Bedingungen wahr sind.";""
"Was bedeutet || oder 'or'?";"Und";"Oder (mindestens eine Bedingung muss wahr sein)";"Nicht";"Gleich";"B";"3";"10";"12";"operatoren";"OR/|| ist wahr, wenn MINDESTENS EINE Bedingung wahr ist.";""
"Was ist ein Kommentar im Code?";"Ein Befehl";"Text, der vom Computer ignoriert wird";"Ein Fehler";"Eine Variable";"B";"2";"8";"10";"grundlagen";"KOMMENTARE erklären Code und werden nicht ausgeführt (# in Python).";""
"Wie schreibt man einen Kommentar in Python?";"// Kommentar";"# Kommentar";"/* Kommentar */";"-- Kommentar";"B";"2";"9";"11";"python";"In Python beginnen Kommentare mit # (Hashtag).";""
"Was ist ein Algorithmus?";"Ein Programm";"Eine Schritt-für-Schritt-Anleitung zur Lösung";"Eine Sprache";"Ein Computer";"B";"2";"9";"11";"konzepte";"Ein ALGORITHMUS ist eine genaue Anleitung zur Lösung eines Problems.";""
"Was ist Pseudocode?";"Echter Code";"Vereinfachte Beschreibung eines Algorithmus";"Ein Fehler";"Eine Sprache";"B";"3";"10";"12";"konzepte";"PSEUDOCODE beschreibt einen Algorithmus in einfacher Sprache.";""
"Was ist HTML?";"Eine Programmiersprache";"Sprache zur Strukturierung von Webseiten";"Ein Browser";"Ein Betriebssystem";"B";"2";"9";"11";"web";"HTML strukturiert den Inhalt von Webseiten (Hypertext Markup Language).";""
"Was ist CSS?";"Ein Programm";"Sprache zur Gestaltung von Webseiten";"Ein Browser";"HTML";"B";"2";"9";"11";"web";"CSS gestaltet das Aussehen von Webseiten (Farben, Schriften, Layout).";""
"Was ist JavaScript?";"CSS";"Programmiersprache für interaktive Webseiten";"HTML";"Python";"B";"3";"10";"12";"web";"JAVASCRIPT macht Webseiten interaktiv (Klicks, Animationen, Daten laden).";""
