frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist ein Computer?";"Ein Fernseher";"Eine elektronische Rechenmaschine";"Ein Radio";"Ein Telefon";"B";"1";"5";"7";"grundlagen";"Ein COMPUTER ist eine elektronische Maschine, die Daten verarbeiten kann.";""
"Womit gibst du Text in den Computer ein?";"Mit der Maus";"Mit der Tastatur";"Mit dem Bildschirm";"Mit dem Drucker";"B";"1";"5";"7";"hardware";"Mit der TASTATUR gibst du Buchstaben und Zahlen ein.";""
"Was ist eine Maus beim Computer?";"Ein Tier";"Ein Eingabegerät zum Zeigen und Klicken";"Ein Kabel";"Ein Bildschirm";"B";"1";"5";"7";"hardware";"Die MAUS ist ein Eingabegerät zum Bewegen des Zeigers und Klicken.";""
"Was zeigt der Bildschirm?";"Töne";"Bilder und Text";"Nur Zahlen";"Nur Farben";"B";"1";"5";"7";"hardware";"Der BILDSCHIRM (Monitor) zeigt Bilder, Text und Videos an.";""
"Was macht ein Drucker?";"Zeigt Bilder an";"Druckt Dokumente auf Papier";"Spielt Musik";"Speichert Daten";"B";"1";"5";"7";"hardware";"Ein DRUCKER druckt Dokumente und Bilder auf Papier.";""
"Was ist das Internet?";"Ein Computer";"Ein weltweites Computernetzwerk";"Ein Programm";"Ein Kabel";"B";"1";"6";"8";"internet";"Das INTERNET ist ein weltweites Netzwerk verbundener Computer.";""
"Was ist eine Website?";"Ein Computer";"Eine Seite im Internet";"Ein Programm";"Eine Datei";"B";"1";"6";"8";"internet";"Eine WEBSITE ist eine Sammlung von Seiten im Internet.";""
"Was ist ein Browser?";"Ein Spiel";"Programm zum Anschauen von Websites";"Eine Datei";"Ein Drucker";"B";"1";"7";"9";"software";"Ein BROWSER (z.B. Chrome, Firefox) zeigt Websites an.";""
"Was ist ein Passwort?";"Ein Benutzername";"Ein geheimes Wort zum Schutz";"Eine E-Mail";"Ein Link";"B";"1";"6";"8";"sicherheit";"Ein PASSWORT ist ein geheimes Wort, das dich schützt.";""
"Warum sollte man nie sein Passwort verraten?";"Weil es unhöflich ist";"Damit niemand deine Daten stehlen kann";"Weil es lang ist";"Weil es lustig ist";"B";"1";"6";"8";"sicherheit";"NIEMALS das Passwort verraten – sonst können andere auf deine Daten zugreifen!";""
"Was ist eine Datei?";"Ein Computer";"Ein gespeichertes Dokument, Bild oder Video";"Eine Maus";"Ein Bildschirm";"B";"1";"6";"8";"grundlagen";"Eine DATEI ist ein gespeichertes Objekt (Dokument, Bild, Musik...).";""
"Was ist ein Ordner?";"Eine Datei";"Ein Behälter für Dateien";"Ein Programm";"Ein Computer";"B";"1";"6";"8";"grundlagen";"Ein ORDNER organisiert Dateien, wie eine Mappe für Papiere.";""
"Was ist Hardware?";"Programme";"Physische Teile des Computers";"Das Internet";"Daten";"B";"2";"7";"9";"grundlagen";"HARDWARE sind die physischen Teile: Bildschirm, Tastatur, Computer selbst.";""
"Was ist Software?";"Physische Teile";"Programme und Apps";"Kabel";"Maus";"B";"2";"7";"9";"grundlagen";"SOFTWARE sind Programme und Apps, die auf dem Computer laufen.";""
"Was ist ein Betriebssystem?";"Ein Spiel";"Software, die den Computer steuert";"Eine Website";"Ein Drucker";"B";"2";"8";"10";"software";"Das BETRIEBSSYSTEM (Windows, macOS, Linux) steuert den Computer.";""
"Welches ist ein Betriebssystem?";"Word";"Windows";"Chrome";"WhatsApp";"B";"2";"8";"10";"software";"WINDOWS ist ein Betriebssystem von Microsoft.";""
