frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist eine Saeure?";"Stoff der Protonen aufnimmt";"Stoff der Protonen abgibt";"Neutraler Stoff";"Fester Stoff";"B";"3";"10";"12";"saeuren_basen";"SAEUREN geben Protonen ab und haben pH unter 7.";""
"Was ist eine Base?";"Stoff der Protonen abgibt";"Stoff der Protonen aufnimmt";"Neutraler Stoff";"Saurer Stoff";"B";"3";"10";"12";"saeuren_basen";"BASEN nehmen Protonen auf und haben pH ueber 7.";""
"Welchen pH-Wert hat neutrales Wasser?";"0";"7";"14";"1";"B";"2";"9";"11";"saeuren_basen";"Neutrales Wasser hat pH 7 - weder sauer noch basisch.";""
"Was passiert wenn Saeure und Base reagieren?";"Explosion";"Neutralisation - es entsteht Salz und Wasser";"Nichts";"Feuer";"B";"3";"10";"12";"saeuren_basen";"NEUTRALISATION: Saeure plus Base ergibt Salz plus Wasser.";""
"Welche Saeure ist im Magen?";"Schwefelsaeure";"Salzsaeure";"Essigsaeure";"Zitronensaeure";"B";"3";"10";"12";"saeuren_basen";"Im Magen ist SALZSAEURE zur Verdauung - pH etwa 1 bis 2.";""
"Was ist in Zitronensaft?";"Base";"Zitronensaeure";"Salz";"Alkohol";"B";"2";"8";"10";"saeuren_basen";"Zitronen enthalten ZITRONENSAEURE - deshalb schmecken sie sauer.";""
"Was ist Natronlauge?";"Saeure";"Starke Base";"Salz";"Neutral";"B";"3";"10";"12";"saeuren_basen";"NATRONLAUGE ist eine starke Base - sie ist aetzend!";""
"Was sind Indikatoren?";"Katalysatoren";"Stoffe die Saeure oder Base anzeigen";"Salze";"Metalle";"B";"3";"10";"12";"saeuren_basen";"INDIKATOREN aendern ihre Farbe je nach pH-Wert.";""
"Welche Farbe hat Lackmus in Saeure?";"Blau";"Rot";"Gruen";"Gelb";"B";"3";"10";"12";"saeuren_basen";"LACKMUS wird ROT in Saeure und BLAU in Base.";""
"Was ist ein Metall?";"Nichtleiter";"Glaenzender leitfaehiger Stoff";"Gas";"Isolator";"B";"2";"8";"10";"elemente";"METALLE glaenzen, leiten Strom und Waerme und sind meist fest.";""
"Welches ist kein Metall?";"Eisen";"Kupfer";"Schwefel";"Gold";"C";"2";"8";"10";"elemente";"SCHWEFEL ist ein Nichtmetall - er leitet keinen Strom.";""
"Was sind Edelmetalle?";"Rostige Metalle";"Metalle die nicht rosten";"Billige Metalle";"Leichte Metalle";"B";"2";"9";"11";"elemente";"EDELMETALLE wie Gold und Platin reagieren kaum und rosten nicht.";""
"Was ist eine Legierung?";"Reines Metall";"Mischung aus verschiedenen Metallen";"Nichtmetall";"Gas";"B";"3";"10";"12";"elemente";"Eine LEGIERUNG ist eine Mischung aus Metallen z.B. Bronze aus Kupfer und Zinn.";""
"Woraus besteht Bronze?";"Eisen und Zink";"Kupfer und Zinn";"Gold und Silber";"Aluminium und Kupfer";"B";"3";"10";"12";"elemente";"BRONZE ist eine Legierung aus Kupfer und Zinn.";""
"Woraus besteht Messing?";"Eisen und Zink";"Kupfer und Zink";"Gold und Silber";"Kupfer und Zinn";"B";"3";"10";"12";"elemente";"MESSING ist eine Legierung aus Kupfer und Zink.";""
"Was ist Stahl?";"Reines Eisen";"Eisen mit Kohlenstoff";"Aluminium";"Kupfer";"B";"3";"10";"12";"elemente";"STAHL ist Eisen mit etwas Kohlenstoff - haerter als reines Eisen.";""
"Was ist das Periodensystem?";"Liste aller Molekuele";"Ordnung aller Elemente nach Eigenschaften";"Liste aller Verbindungen";"Reaktionsschema";"B";"3";"10";"12";"periodensystem";"Das PERIODENSYSTEM ordnet alle Elemente nach ihren Eigenschaften.";""
"Wer erfand das Periodensystem?";"Einstein";"Mendelejew";"Newton";"Curie";"B";"3";"10";"12";"periodensystem";"DMITRI MENDELEJEW ordnete 1869 die Elemente im Periodensystem.";""
"Was ist eine Periode im Periodensystem?";"Spalte";"Waagerechte Zeile";"Diagonale";"Kreis";"B";"4";"11";"13";"periodensystem";"PERIODEN sind die waagerechten Zeilen im Periodensystem.";""
"Was ist eine Gruppe im Periodensystem?";"Zeile";"Senkrechte Spalte";"Diagonale";"Kreis";"B";"4";"11";"13";"periodensystem";"GRUPPEN sind die senkrechten Spalten - Elemente einer Gruppe sind aehnlich.";""
"Was sind Edelgase?";"Reaktionsfreudige Gase";"Gase die kaum reagieren";"Giftige Gase";"Brennbare Gase";"B";"3";"10";"12";"periodensystem";"EDELGASE wie Helium und Neon reagieren kaum weil ihre Aussenschale voll ist.";""
"Was ist Helium?";"Schweres Gas";"Leichtes Edelgas fuer Luftballons";"Giftiges Gas";"Brennbares Gas";"B";"2";"8";"10";"elemente";"HELIUM ist ein leichtes ungiftiges Edelgas - ideal fuer Luftballons.";""
"Was ist eine chemische Bindung?";"Trennung";"Verbindung zwischen Atomen";"Reaktion";"Loesung";"B";"3";"10";"12";"bindungen";"CHEMISCHE BINDUNGEN halten Atome in Molekuelen zusammen.";""
"Was ist eine Ionenbindung?";"Metallbindung";"Bindung durch Anziehung von Plus und Minus";"Elektronenpaarbindung";"Keine Bindung";"B";"4";"12";"14";"bindungen";"IONENBINDUNG entsteht durch Anziehung zwischen positiven und negativen Ionen.";""
"Was ist eine kovalente Bindung?";"Ionenbindung";"Atome teilen sich Elektronen";"Metallbindung";"Keine Bindung";"B";"4";"12";"14";"bindungen";"Bei KOVALENTER BINDUNG teilen sich Atome Elektronenpaare.";""
"Was ist ein Ion?";"Neutrales Atom";"Geladenes Atom oder Molekuel";"Elektron";"Neutron";"B";"3";"10";"12";"atome";"Ein ION ist ein Atom das Elektronen abgegeben oder aufgenommen hat.";""
"Was ist eine Loesung?";"Fester Stoff";"Stoff geloest in einer Fluessigkeit";"Gas";"Pulver";"B";"2";"8";"10";"gemische";"Eine LOESUNG ist ein Stoff gleichmaessig verteilt in einem anderen z.B. Salz in Wasser.";""
"Was ist der Unterschied zwischen Gemisch und Verbindung?";"Kein Unterschied";"Gemisch kann getrennt werden, Verbindung nicht einfach";"Verbindung ist groesser";"Gemisch ist fluessig";"B";"3";"10";"12";"grundlagen";"GEMISCHE kann man trennen, VERBINDUNGEN sind chemisch gebunden.";""
"Was ist Destillation?";"Filtern";"Trennung durch Verdampfen und Kondensieren";"Mischen";"Verbrennen";"B";"3";"10";"12";"trennverfahren";"DESTILLATION trennt Fluessigkeiten nach Siedepunkt - z.B. Alkohol von Wasser.";""
"Was ist Filtration?";"Verdampfen";"Trennung von Feststoff und Fluessigkeit";"Mischen";"Verbrennen";"B";"2";"8";"10";"trennverfahren";"FILTRATION trennt feste Teile aus Fluessigkeiten mit einem Filter.";""
"Was ist Chromatographie?";"Verbrennung";"Trennverfahren fuer Stoffgemische";"Faerbung";"Mischung";"B";"4";"11";"13";"trennverfahren";"CHROMATOGRAPHIE trennt Stoffe nach ihrer Wanderungsgeschwindigkeit.";""
"Was ist ein Reagenzglas?";"Messbecher";"Kleines Glasrohr fuer Experimente";"Kolben";"Trichter";"B";"2";"8";"10";"labor";"Ein REAGENZGLAS ist ein kleines Glasrohr fuer chemische Experimente.";""
"Was ist ein Bunsenbrenner?";"Lampe";"Gasbrenner im Labor";"Messgeraet";"Behaelter";"B";"2";"8";"10";"labor";"Der BUNSENBRENNER ist ein Gasbrenner zum Erhitzen im Labor.";""
"Was ist ein Erlenmeyerkolben?";"Reagenzglas";"Konischer Glaskolben";"Trichter";"Pipette";"B";"3";"10";"12";"labor";"Ein ERLENMEYERKOLBEN ist ein konisches Glasgefaess mit engem Hals.";""
"Was ist eine Pipette?";"Kolben";"Geraet zum genauen Abmessen von Fluessigkeiten";"Brenner";"Filter";"B";"3";"10";"12";"labor";"Eine PIPETTE misst kleine Fluessigkeitsmengen sehr genau ab.";""
"Warum traegt man im Labor eine Schutzbrille?";"Sieht cool aus";"Schutz vor Spritzern und Daempfen";"Bessere Sicht";"Gegen Licht";"B";"1";"6";"8";"labor";"Die SCHUTZBRILLE schuetzt die Augen vor Chemikalien!";""
"Was ist organische Chemie?";"Chemie ohne Kohlenstoff";"Chemie der Kohlenstoffverbindungen";"Chemie der Metalle";"Anorganische Stoffe";"B";"4";"12";"14";"organisch";"ORGANISCHE CHEMIE befasst sich mit Kohlenstoffverbindungen.";""
"Was ist ein Kohlenwasserstoff?";"Nur Kohlenstoff";"Verbindung aus Kohlenstoff und Wasserstoff";"Nur Wasserstoff";"Verbindung mit Sauerstoff";"B";"4";"12";"14";"organisch";"KOHLENWASSERSTOFFE bestehen nur aus Kohlenstoff und Wasserstoff z.B. Methan.";""
"Was ist Methan?";"Fluessigkeit";"Einfachster Kohlenwasserstoff CH4";"Metall";"Saeure";"B";"4";"11";"13";"organisch";"METHAN ist der einfachste Kohlenwasserstoff - Hauptbestandteil von Erdgas.";""
"Was ist Ethanol?";"Gift";"Trinkalkohol";"Saeure";"Salz";"B";"3";"10";"12";"organisch";"ETHANOL ist Trinkalkohol - entsteht durch Gaerung von Zucker.";""
"Was ist ein Polymer?";"Kleines Molekuel";"Sehr langes Kettenmolekuel";"Atom";"Ion";"B";"4";"12";"14";"organisch";"POLYMERE sind lange Kettenmolekuele - z.B. Plastik und DNA.";""
"Woraus besteht Plastik?";"Metallen";"Polymeren meist aus Erdoel";"Glas";"Holz";"B";"3";"10";"12";"organisch";"PLASTIK besteht aus Polymeren die meist aus Erdoel hergestellt werden.";""
