frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist Geschichte?";"Nur Geschichten";"Das Studium der Vergangenheit";"Nur alte Bücher";"Nur Könige";"B";"1";"5";"7";"grundlagen";"GESCHICHTE ist das Studium der menschlichen Vergangenheit.";""
"Was haben die Menschen in der Steinzeit benutzt?";"Metall";"Werkzeuge aus Stein";"Computer";"Plastik";"B";"1";"5";"7";"urgeschichte";"In der STEINZEIT nutzten Menschen Werkzeuge aus Stein.";""
"Wo lebten die alten Ägypter?";"In Europa";"Am Nil in Afrika";"In Asien";"In Amerika";"B";"1";"6";"8";"antike";"Die ÄGYPTER lebten am Fluss Nil in Nordafrika.";""
"Was sind Pyramiden?";"Türme";"Riesige Grabmäler der Pharaonen";"Tempel";"Paläste";"B";"1";"6";"8";"antike";"Die PYRAMIDEN sind riesige Grabmäler für ägyptische Pharaonen.";""
"Wer waren die Pharaonen?";"Soldaten";"Könige im alten Ägypten";"Bauern";"Händler";"B";"1";"6";"8";"antike";"PHARAONEN waren die Könige und Herrscher im alten Ägypten.";""
"Was ist eine Mumie?";"Eine Puppe";"Ein konservierter toter Körper";"Eine Statue";"Ein Tier";"B";"2";"7";"9";"antike";"Eine MUMIE ist ein konservierter Körper, oft aus dem alten Ägypten.";""
"Wo lag das alte Griechenland?";"In Afrika";"In Europa am Mittelmeer";"In Asien";"In Amerika";"B";"2";"7";"9";"antike";"Das ALTE GRIECHENLAND lag im Südosten Europas am Mittelmeer.";""
"Was erfanden die alten Griechen?";"Das Auto";"Die Demokratie und Olympische Spiele";"Das Telefon";"Das Fernsehen";"B";"2";"8";"10";"antike";"Die Griechen erfanden die DEMOKRATIE und begannen die OLYMPISCHEN SPIELE.";""
"Was ist Demokratie?";"Herrschaft eines Königs";"Herrschaft des Volkes";"Herrschaft der Reichen";"Herrschaft der Soldaten";"B";"2";"8";"10";"politik";"DEMOKRATIE bedeutet 'Herrschaft des Volkes' – das Volk entscheidet.";""
"Wer war Alexander der Große?";"Ein römischer Kaiser";"Ein griechisch-makedonischer Eroberer";"Ein ägyptischer Pharao";"Ein persischer König";"B";"3";"9";"11";"antike";"ALEXANDER DER GROSSE eroberte ein riesiges Reich von Griechenland bis Indien.";""
"Wo lag das Römische Reich?";"Nur in Italien";"Rund um das Mittelmeer";"Nur in Afrika";"Nur in Asien";"B";"2";"8";"10";"antike";"Das RÖMISCHE REICH umfasste das gesamte Mittelmeer und große Teile Europas.";""
"Was war das Kolosseum?";"Ein Tempel";"Ein Stadion für Gladiatorenkämpfe in Rom";"Ein Palast";"Eine Pyramide";"B";"2";"8";"10";"antike";"Das KOLOSSEUM war ein riesiges Amphitheater für Gladiatorenkämpfe in Rom.";""
"Wer waren die Gladiatoren?";"Soldaten";"Kämpfer zur Unterhaltung";"Könige";"Priester";"B";"2";"8";"10";"antike";"GLADIATOREN waren Kämpfer, die im Kolosseum zur Unterhaltung kämpften.";""
"Wer war Julius Caesar?";"Ein griechischer König";"Ein römischer Feldherr und Diktator";"Ein Pharao";"Ein Gladiator";"B";"3";"9";"11";"antike";"JULIUS CAESAR war ein berühmter römischer Feldherr und Diktator.";""
"Was ist das Mittelalter?";"Die Neuzeit";"Die Zeit zwischen Antike und Neuzeit (ca. 500-1500)";"Die Steinzeit";"Die Moderne";"B";"2";"8";"10";"mittelalter";"Das MITTELALTER dauerte von ca. 500 bis 1500 n. Chr.";""
"Was war eine Burg im Mittelalter?";"Ein Bauernhof";"Eine befestigte Wohnanlage für Adlige";"Eine Kirche";"Ein Markt";"B";"2";"7";"9";"mittelalter";"BURGEN waren befestigte Wohnorte für Adlige und Ritter.";""
"Wer waren die Ritter?";"Bauern";"Gepanzerte Krieger auf Pferden";"Händler";"Mönche";"B";"2";"7";"9";"mittelalter";"RITTER waren gepanzerte Krieger zu Pferd im Dienst des Adels.";""
"Was war der Feudalismus?";"Demokratie";"Gesellschaftsordnung mit Lehnsherren und Vasallen";"Kommunismus";"Republik";"B";"4";"11";"13";"mittelalter";"FEUDALISMUS: Adlige gaben Land an Vasallen, die dafür Dienste leisteten.";""
"Wer waren die Wikinger?";"Römische Soldaten";"Nordische Seefahrer und Krieger";"Ägyptische Priester";"Griechische Philosophen";"B";"2";"8";"10";"mittelalter";"Die WIKINGER waren Seefahrer und Krieger aus Skandinavien (ca. 800-1100).";""
"Was waren die Kreuzzüge?";"Handelsreisen";"Religiöse Kriege um das Heilige Land";"Entdeckungsreisen";"Pilgerfahrten";"B";"3";"10";"12";"mittelalter";"Die KREUZZÜGE waren religiöse Kriege zur Eroberung des Heiligen Landes (1096-1291).";""
"Was war die Pest?";"Eine kleine Krankheit";"Eine verheerende Seuche im Mittelalter";"Ein Krieg";"Ein Fest";"B";"3";"10";"12";"mittelalter";"Die PEST (Schwarzer Tod) tötete ca. ein Drittel der europäischen Bevölkerung.";""
"Was ist die Renaissance?";"Ein Land";"Wiedergeburt der antiken Kultur (ca. 1400-1600)";"Ein Krieg";"Eine Religion";"B";"3";"10";"12";"neuzeit";"RENAISSANCE = 'Wiedergeburt' – Zeit der Kunst, Wissenschaft und Antike-Begeisterung.";""
"Wer war Leonardo da Vinci?";"Ein König";"Ein Künstler und Erfinder der Renaissance";"Ein Papst";"Ein Admiral";"B";"2";"9";"11";"neuzeit";"LEONARDO DA VINCI war ein Universalgenie – Künstler, Erfinder, Wissenschaftler.";""
"Wer hat Amerika entdeckt (für Europa)?";"Marco Polo";"Christoph Kolumbus";"Vasco da Gama";"Ferdinand Magellan";"B";"2";"8";"10";"neuzeit";"CHRISTOPH KOLUMBUS erreichte 1492 Amerika (obwohl er Indien suchte).";""
"In welchem Jahr erreichte Kolumbus Amerika?";"1392";"1492";"1592";"1692";"B";"2";"8";"10";"neuzeit";"KOLUMBUS erreichte Amerika am 12. Oktober 1492.";""
"Was war die Reformation?";"Eine Kunstbewegung";"Kirchliche Erneuerungsbewegung";"Ein Krieg";"Eine Entdeckung";"B";"3";"11";"13";"neuzeit";"Die REFORMATION war eine religiöse Erneuerung, die zur Spaltung der Kirche führte.";""
"Wer begann die Reformation?";"Der Papst";"Martin Luther";"Karl der Große";"Napoleon";"B";"3";"10";"12";"neuzeit";"MARTIN LUTHER startete 1517 die Reformation mit seinen 95 Thesen.";""
"Was war der Dreißigjährige Krieg?";"Ein Krieg von 30 Tagen";"Ein Religionskrieg in Europa (1618-1648)";"Ein Weltkrieg";"Ein Bürgerkrieg";"B";"4";"12";"14";"neuzeit";"Der DREISSIGJÄHRIGE KRIEG (1618-1648) verwüstete große Teile Deutschlands.";""
"Wer war Ludwig XIV.?";"Ein deutscher Kaiser";"Der 'Sonnenkönig' von Frankreich";"Ein russischer Zar";"Ein englischer König";"B";"3";"11";"13";"neuzeit";"LUDWIG XIV. war der 'Sonnenkönig' – absolutistischer König von Frankreich.";""
"Was war der Absolutismus?";"Demokratie";"Uneingeschränkte Macht des Königs";"Feudalismus";"Republik";"B";"4";"12";"14";"neuzeit";"ABSOLUTISMUS: Der König hatte uneingeschränkte Macht ('L'état, c'est moi').";""
"Wann war die Französische Revolution?";"1689";"1789";"1889";"1989";"B";"3";"10";"12";"neuzeit";"Die FRANZÖSISCHE REVOLUTION begann 1789 mit dem Sturm auf die Bastille.";""
