frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist ein Roboter?";"Ein Mensch";"Eine Maschine die programmiert werden kann";"Ein Tier";"Ein Spielzeug";"B";"1";"5";"7";"grundlagen";"Ein ROBOTER ist eine Maschine, die Anweisungen aus einem Programm ausfuehrt.";""
"Koennen Computer denken wie Menschen?";"Ja genau gleich";"Nein, sie fuehren nur Anweisungen aus";"Besser als Menschen";"Sie traumen";"B";"1";"6";"8";"grundlagen";"Computer DENKEN nicht - sie fuehren nur die Anweisungen aus die wir schreiben.";""
"Was ist eine App?";"Ein Apfel";"Ein Programm fuer Handy oder Computer";"Ein Spiel";"Ein Buch";"B";"1";"5";"7";"grundlagen";"Eine APP ist ein Programm das auf Handy, Tablet oder Computer laeuft.";""
"Was passiert wenn man Code falsch schreibt?";"Nichts";"Der Computer zeigt einen Fehler";"Der Computer repariert es";"Der Computer explodiert";"B";"1";"6";"8";"fehler";"Bei FEHLERN zeigt der Computer eine Meldung und das Programm funktioniert nicht.";""
"Was ist ein Befehl?";"Eine Frage";"Eine Anweisung an den Computer";"Ein Wunsch";"Ein Fehler";"B";"1";"5";"7";"grundlagen";"Ein BEFEHL sagt dem Computer genau was er tun soll.";""
"Warum muessen Befehle genau sein?";"Muessen sie nicht";"Computer verstehen nur genaue Anweisungen";"Computer raten gerne";"Ist egal";"B";"1";"6";"8";"grundlagen";"Computer koennen NICHT raten - sie brauchen genaue Anweisungen!";""
"Was ist ein Spiel-Entwickler?";"Spieler";"Jemand der Videospiele programmiert";"Spielzeughersteller";"Sportler";"B";"1";"6";"8";"berufe";"Ein SPIELEENTWICKLER programmiert Videospiele.";""
"Was ist kuenstliche Intelligenz KI?";"Ein Roboter";"Programme die lernen und Entscheidungen treffen";"Ein Mensch";"Ein Computer";"B";"2";"9";"11";"konzepte";"KI sind Programme die aus Daten lernen und selbst Entscheidungen treffen koennen.";""
"Was ist Machine Learning?";"Maschinen reparieren";"Computer lernen aus Beispielen";"Maschinenbau";"Autofahren";"B";"3";"11";"13";"konzepte";"MACHINE LEARNING: Computer lernen Muster aus vielen Beispieldaten.";""
"Was ist ein Chatbot?";"Ein Roboter";"Programm das auf Nachrichten antwortet";"Ein Chat";"Ein Mensch";"B";"2";"8";"10";"konzepte";"Ein CHATBOT ist ein Programm das automatisch auf Nachrichten antwortet.";""
"Was ist ein Passwort in der Programmierung?";"Nur Text";"Geheimer Code zum Schutz";"Ein Befehl";"Eine Variable";"B";"1";"6";"8";"sicherheit";"Ein PASSWORT schuetzt Programme und Daten vor unbefugtem Zugriff.";""
"Warum sind starke Passwoerter wichtig?";"Sind nicht wichtig";"Schwache Passwoerter kann man leicht erraten";"Zum Angeben";"Fuer Punkte";"B";"2";"8";"10";"sicherheit";"STARKE PASSWOERTER sind schwer zu erraten und schuetzen deine Daten.";""
"Was ist Hacking?";"Programmieren";"Unbefugtes Eindringen in Computersysteme";"Spielen";"Reparieren";"B";"2";"9";"11";"sicherheit";"HACKING ist das unbefugte Eindringen in fremde Computersysteme - oft illegal!";""
"Was ist ein Hacker?";"Programmierer";"Jemand der in Systeme eindringt";"Spieler";"Lehrer";"B";"2";"9";"11";"sicherheit";"Ein HACKER ist jemand der versucht in Computersysteme einzudringen.";""
"Was ist Cybersecurity?";"Ein Spiel";"Schutz von Computersystemen";"Ein Virus";"Ein Programm";"B";"3";"10";"12";"sicherheit";"CYBERSECURITY schuetzt Computer und Daten vor Angriffen und Viren.";""
"Was ist ein Computervirus?";"Krankheit";"Schaedliches Programm das sich verbreitet";"Ein Tier";"Ein Fehler";"B";"2";"8";"10";"sicherheit";"Ein VIRUS ist ein schaedliches Programm das Computer infiziert und beschaedigt.";""
"Was ist ein Backup?";"Rueckwaerts";"Sicherungskopie von Daten";"Ein Fehler";"Ein Programm";"B";"2";"8";"10";"sicherheit";"Ein BACKUP ist eine Kopie deiner Daten falls etwas verloren geht.";""
"Was ist Open Source?";"Offene Tuer";"Frei verfuegbarer Quellcode";"Geschlossener Code";"Geheimer Code";"B";"3";"11";"13";"konzepte";"OPEN SOURCE: Der Quellcode ist frei verfuegbar und kann angepasst werden.";""
"Was ist Linux?";"Ein Spiel";"Ein freies Betriebssystem";"Ein Browser";"Eine App";"B";"3";"10";"12";"systeme";"LINUX ist ein freies Open-Source Betriebssystem.";""
"Was ist ein Betriebssystem?";"Ein Spiel";"Software die den Computer steuert";"Eine App";"Ein Browser";"B";"2";"8";"10";"systeme";"Das BETRIEBSSYSTEM steuert den Computer - wie Windows, MacOS oder Linux.";""
