frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was sind die drei Grundfarben beim Malen?";"Rot, Grün, Blau";"Rot, Gelb, Blau";"Schwarz, Weiß, Grau";"Orange, Lila, Grün";"B";"1";"5";"7";"farben";"Die drei Grundfarben (Primärfarben) beim Malen sind ROT, GELB und BLAU.";""
"Welche Farbe ergibt Rot + Gelb?";"Grün";"Orange";"Lila";"Braun";"B";"1";"5";"7";"farben";"Rot + Gelb = ORANGE.";""
"Welche Farbe ergibt Blau + Gelb?";"Orange";"Grün";"Lila";"Braun";"B";"1";"5";"7";"farben";"Blau + Gelb = GRÜN.";""
"Welche Farbe ergibt Rot + Blau?";"Orange";"Grün";"Lila";"Braun";"C";"1";"5";"7";"farben";"Rot + Blau = LILA (Violett).";""
"Was sind warme Farben?";"Blau, Grün, Lila";"Rot, Orange, Gelb";"Schwarz, Weiß, Grau";"Braun, Beige, Creme";"B";"1";"6";"8";"farben";"WARME FARBEN sind Rot, Orange und Gelb – sie erinnern an Feuer und Sonne.";""
"Was sind kalte Farben?";"Rot, Orange, Gelb";"Blau, Grün, Lila";"Schwarz, Weiß";"Braun, Beige";"B";"1";"6";"8";"farben";"KALTE FARBEN sind Blau, Grün und Lila – sie erinnern an Wasser und Eis.";""
"Was ist eine Komplementärfarbe?";"Ähnliche Farbe";"Gegenüberliegende Farbe im Farbkreis";"Hellere Farbe";"Dunklere Farbe";"B";"2";"8";"10";"farben";"KOMPLEMENTÄRFARBEN liegen sich im Farbkreis gegenüber (z.B. Rot-Grün).";""
"Was ist die Komplementärfarbe zu Rot?";"Blau";"Gelb";"Grün";"Orange";"C";"2";"8";"10";"farben";"Die Komplementärfarbe zu Rot ist GRÜN.";""
"Was bedeutet Kontrast in der Kunst?";"Gleichheit";"Gegensatz zwischen Elementen";"Harmonie";"Symmetrie";"B";"2";"8";"10";"grundlagen";"KONTRAST bedeutet Gegensatz – z.B. hell/dunkel, groß/klein.";""
"Was ist ein Portrait?";"Landschaftsbild";"Bild einer Person";"Stillleben";"Abstrakte Kunst";"B";"1";"6";"8";"genres";"Ein PORTRAIT zeigt eine Person, meist das Gesicht.";""
"Was ist ein Stillleben?";"Landschaftsbild";"Bild von unbewegten Gegenständen";"Portrait";"Tierbild";"B";"2";"7";"9";"genres";"Ein STILLLEBEN zeigt unbewegte Gegenstände (Obst, Blumen, Vasen...).";""
"Was ist eine Landschaft in der Kunst?";"Ein Portrait";"Darstellung von Natur und Umgebung";"Ein Stillleben";"Abstrakte Kunst";"B";"1";"6";"8";"genres";"Eine LANDSCHAFT zeigt Natur: Berge, Wälder, Seen, Felder...";""
"Was ist abstrakte Kunst?";"Realistische Darstellung";"Kunst ohne erkennbare Gegenstände";"Portrait";"Stillleben";"B";"2";"8";"10";"genres";"ABSTRAKTE KUNST zeigt keine erkennbaren Gegenstände – nur Formen und Farben.";""
"Was ist eine Skulptur?";"Ein Gemälde";"Ein dreidimensionales Kunstwerk";"Eine Zeichnung";"Ein Foto";"B";"1";"6";"8";"techniken";"Eine SKULPTUR ist ein dreidimensionales Kunstwerk aus Stein, Holz, Metall etc.";""
"Was ist der Unterschied zwischen Zeichnung und Malerei?";"Kein Unterschied";"Zeichnung = Linien, Malerei = Farbflächen";"Zeichnung = groß, Malerei = klein";"Zeichnung = neu, Malerei = alt";"B";"2";"7";"9";"techniken";"ZEICHNUNG arbeitet mit Linien, MALEREI mit Farbflächen und Pinseln.";""
"Was ist Aquarell?";"Ölfarbe";"Wasserfarbe";"Acrylfarbe";"Kreide";"B";"2";"7";"9";"techniken";"AQUARELL ist Malerei mit wasserlöslichen Farben – leicht und transparent.";""
"Was ist Ölmalerei?";"Malen mit Wasser";"Malen mit Ölfarben";"Malen mit Kreide";"Malen mit Buntstiften";"B";"2";"8";"10";"techniken";"ÖLMALEREI verwendet Farben auf Ölbasis – langsam trocknend, intensive Farben.";""
"Was ist Acrylfarbe?";"Nur mit Wasser mischbar";"Schnell trocknende Kunststofffarbe";"Nur für Profis";"Nur für Papier";"B";"2";"8";"10";"techniken";"ACRYLFARBE trocknet schnell und kann mit Wasser verdünnt werden.";""
"Was ist eine Collage?";"Ein Gemälde";"Kunstwerk aus zusammengeklebten Materialien";"Eine Skulptur";"Ein Foto";"B";"2";"7";"9";"techniken";"Eine COLLAGE besteht aus zusammengeklebten Papieren, Bildern, Materialien.";""
"Was ist Perspektive in der Kunst?";"Farbe";"Darstellung von Tiefe auf einer Fläche";"Material";"Größe";"B";"2";"9";"11";"grundlagen";"PERSPEKTIVE erzeugt den Eindruck von Tiefe und Raum auf einer 2D-Fläche.";""
"Was ist ein Fluchtpunkt?";"Der Rahmen";"Punkt, an dem parallele Linien zusammenlaufen";"Der Mittelpunkt";"Der Anfangspunkt";"B";"3";"10";"12";"grundlagen";"Der FLUCHTPUNKT ist der Punkt, an dem parallele Linien in der Ferne zusammenlaufen.";""
"Was bedeutet Symmetrie?";"Ungleichheit";"Spiegelgleiche Anordnung";"Chaos";"Zufall";"B";"2";"7";"9";"grundlagen";"SYMMETRIE bedeutet, dass beide Seiten spiegelgleich sind.";""
"Was ist Komposition?";"Nur Farbe";"Anordnung aller Elemente im Bild";"Nur Form";"Nur Größe";"B";"2";"9";"11";"grundlagen";"KOMPOSITION ist die bewusste Anordnung aller Elemente in einem Kunstwerk.";""
"Wer malte die Mona Lisa?";"Michelangelo";"Leonardo da Vinci";"Raffael";"Rembrandt";"B";"2";"8";"10";"kuenstler";"LEONARDO DA VINCI malte die Mona Lisa (um 1503-1519).";""
"In welchem Museum hängt die Mona Lisa?";"British Museum";"Louvre";"Uffizien";"Prado";"B";"2";"9";"11";"museen";"Die Mona Lisa hängt im LOUVRE in Paris.";""
"Wer malte die Sixtinische Kapelle?";"Leonardo da Vinci";"Michelangelo";"Raffael";"Botticelli";"B";"3";"9";"11";"kuenstler";"MICHELANGELO bemalte die Decke der Sixtinischen Kapelle.";""
"Wer malte 'Die Sternennacht'?";"Monet";"Van Gogh";"Picasso";"Dalí";"B";"2";"9";"11";"kuenstler";"VINCENT VAN GOGH malte 'Die Sternennacht' (1889).";""
"Wer malte 'Das Mädchen mit dem Perlenohrring'?";"Rembrandt";"Vermeer";"Rubens";"Dürer";"B";"3";"10";"12";"kuenstler";"JOHANNES VERMEER malte 'Das Mädchen mit dem Perlenohrring' (um 1665).";""
"Wer war Pablo Picasso?";"Musiker";"Maler und Bildhauer";"Architekt";"Dichter";"B";"2";"8";"10";"kuenstler";"PABLO PICASSO war ein spanischer Maler und Begründer des Kubismus.";""
"Was ist Kubismus?";"Runde Formen";"Darstellung aus geometrischen Formen und mehreren Perspektiven";"Realistische Kunst";"Nur Landschaften";"B";"3";"10";"12";"epochen";"KUBISMUS zeigt Objekte aus mehreren Perspektiven gleichzeitig (Picasso, Braque).";""
"Was ist Impressionismus?";"Realistische Details";"Einfangen von Licht und Moment mit lockeren Pinselstrichen";"Geometrische Formen";"Abstrakte Kunst";"B";"3";"10";"12";"epochen";"IMPRESSIONISMUS fängt Lichtmomente ein mit lockeren Pinselstrichen (Monet, Renoir).";""
"Wer war Claude Monet?";"Kubist";"Impressionist";"Surrealist";"Expressionist";"B";"3";"10";"12";"kuenstler";"CLAUDE MONET war ein französischer Impressionist, bekannt für Seerosen-Bilder.";""
"Was ist Expressionismus?";"Realismus";"Gefühlsbetonte, oft verzerrte Darstellung";"Impressionismus";"Geometrische Kunst";"B";"3";"11";"13";"epochen";"EXPRESSIONISMUS drückt innere Gefühle aus, oft mit starken Farben und Verzerrung.";""
"Was ist Surrealismus?";"Realistische Kunst";"Traumhafte, unwirkliche Darstellungen";"Geometrische Kunst";"Impressionismus";"B";"3";"11";"13";"epochen";"SURREALISMUS zeigt traumhafte, unwirkliche Szenen (Dalí, Magritte).";""
"Wer war Salvador Dalí?";"Impressionist";"Surrealist";"Kubist";"Expressionist";"B";"3";"10";"12";"kuenstler";"SALVADOR DALÍ war ein spanischer Surrealist, bekannt für 'Die schmelzenden Uhren'.";""
"Was ist Pop Art?";"Klassische Kunst";"Kunst mit Motiven aus Populärkultur und Werbung";"Impressionismus";"Barock";"B";"3";"10";"12";"epochen";"POP ART verwendet Motive aus Werbung und Populärkultur (Warhol, Lichtenstein).";""
"Wer war Andy Warhol?";"Impressionist";"Pop-Art-Künstler";"Surrealist";"Expressionist";"B";"3";"10";"12";"kuenstler";"ANDY WARHOL war ein Pop-Art-Künstler, bekannt für Campbell's Suppendosen und Marilyn.";""
"Was ist Renaissance?";"Moderne Kunst";"Wiedergeburt der antiken Kunst (14.-17. Jh.)";"Abstrakte Kunst";"Impressionismus";"B";"3";"11";"13";"epochen";"RENAISSANCE = 'Wiedergeburt' – Rückbesinnung auf die Antike, realistische Darstellung.";""
"Was ist Barock?";"Einfache, schlichte Kunst";"Prunkvolle, dramatische Kunst (17.-18. Jh.)";"Abstrakte Kunst";"Impressionismus";"B";"3";"11";"13";"epochen";"BAROCK ist prunkvoll, dramatisch mit starken Licht-Schatten-Kontrasten.";""
"Was ist eine Leinwand?";"Papier";"Stoff zum Malen, auf Rahmen gespannt";"Holz";"Glas";"B";"1";"7";"9";"materialien";"Eine LEINWAND ist ein Stoff (meist Leinen), auf dem Künstler malen.";""
"Was ist eine Staffelei?";"Ein Pinsel";"Gestell zum Aufstellen von Bildern beim Malen";"Eine Farbe";"Ein Rahmen";"B";"2";"8";"10";"materialien";"Eine STAFFELEI ist ein Gestell, das die Leinwand beim Malen hält.";""
"Was ist eine Palette?";"Eine Farbe";"Brett zum Mischen von Farben";"Ein Pinsel";"Eine Leinwand";"B";"2";"7";"9";"materialien";"Eine PALETTE ist ein Brett, auf dem Künstler ihre Farben mischen.";""
"Was ist ein Fresko?";"Ölgemälde";"Wandmalerei auf frischem Putz";"Aquarell";"Skulptur";"B";"4";"11";"13";"techniken";"Ein FRESKO ist Malerei auf frischem, noch feuchtem Wandputz.";""
"Was ist Druckgrafik?";"Malerei";"Vervielfältigung von Bildern durch Druckverfahren";"Skulptur";"Fotografie";"B";"3";"10";"12";"techniken";"DRUCKGRAFIK sind gedruckte Bilder (Holzschnitt, Radierung, Lithografie...).";""
"Was ist ein Holzschnitt?";"Malerei auf Holz";"Drucktechnik mit geschnitzter Holzplatte";"Skulptur aus Holz";"Zeichnung auf Holz";"B";"3";"10";"12";"techniken";"HOLZSCHNITT: Motiv wird in Holz geschnitzt, eingefärbt und gedruckt.";""
"Was ist ein Mosaik?";"Malerei";"Bild aus kleinen Steinen oder Glasstücken";"Skulptur";"Zeichnung";"B";"2";"8";"10";"techniken";"Ein MOSAIK besteht aus vielen kleinen Steinen oder Glasstücken.";""
"Was ist Kalligrafie?";"Malerei";"Kunstvolles Schreiben";"Skulptur";"Druckgrafik";"B";"2";"9";"11";"techniken";"KALLIGRAFIE ist die Kunst des schönen Schreibens.";""
"Was ist eine Galerie?";"Ein Museum";"Raum zur Ausstellung und zum Verkauf von Kunst";"Ein Atelier";"Ein Theater";"B";"2";"8";"10";"institutionen";"Eine GALERIE stellt Kunstwerke aus und verkauft sie oft.";""
"Was ist ein Atelier?";"Museum";"Werkstatt eines Künstlers";"Galerie";"Theater";"B";"2";"8";"10";"institutionen";"Ein ATELIER ist die Werkstatt, in der ein Künstler arbeitet.";""
"Was ist ein Selbstportrait?";"Landschaftsbild";"Bild, das der Künstler von sich selbst malt";"Stillleben";"Tierbild";"B";"2";"8";"10";"genres";"Ein SELBSTPORTRAIT zeigt den Künstler selbst.";""
"Wer war Albrecht Dürer?";"Franzose";"Deutscher Renaissance-Künstler";"Italiener";"Spanier";"B";"3";"10";"12";"kuenstler";"ALBRECHT DÜRER war ein deutscher Renaissance-Künstler aus Nürnberg.";""
"Wer war Rembrandt?";"Spanier";"Niederländischer Maler des Barock";"Italiener";"Franzose";"B";"3";"10";"12";"kuenstler";"REMBRANDT war ein niederländischer Barock-Maler, Meister des Lichts.";""
"Was ist Chiaroscuro?";"Eine Farbe";"Starker Hell-Dunkel-Kontrast";"Eine Technik zum Mischen";"Ein Pinseltyp";"B";"4";"12";"14";"techniken";"CHIAROSCURO ist die Technik des starken Hell-Dunkel-Kontrasts (z.B. Caravaggio).";""
"Was ist ein Triptychon?";"Einflügeliges Bild";"Dreiteiliges Altarbild";"Zweiteiliges Bild";"Vierteiliges Bild";"B";"4";"12";"14";"formen";"Ein TRIPTYCHON ist ein dreiteiliges Bild (oft Altarbilder).";""
"Was ist ein Diptychon?";"Dreiteiliges Bild";"Zweiteiliges Bild";"Vierteiliges Bild";"Einflügeliges Bild";"B";"4";"12";"14";"formen";"Ein DIPTYCHON ist ein zweiteiliges Bild.";""
"Was ist Konzeptkunst?";"Traditionelle Malerei";"Kunst, bei der die Idee wichtiger ist als das Werk";"Impressionismus";"Realismus";"B";"4";"13";"15";"epochen";"KONZEPTKUNST: Die Idee/das Konzept ist wichtiger als das fertige Werk.";""
"Was ist Installation?";"Ein Gemälde";"Dreidimensionales Kunstwerk im Raum";"Eine Zeichnung";"Ein Foto";"B";"4";"12";"14";"formen";"Eine INSTALLATION ist ein Kunstwerk, das einen ganzen Raum gestaltet.";""
"Was ist Performance-Kunst?";"Malerei";"Kunst als Live-Handlung vor Publikum";"Skulptur";"Druckgrafik";"B";"4";"13";"15";"formen";"PERFORMANCE-KUNST ist eine Live-Aktion des Künstlers vor Publikum.";""
"Was ist Street Art?";"Kunst in Museen";"Kunst im öffentlichen Raum";"Klassische Malerei";"Skulpturen";"B";"2";"9";"11";"formen";"STREET ART ist Kunst im öffentlichen Raum (Graffiti, Murals...).";""
"Wer ist Banksy?";"Impressionist";"Anonymer Street-Art-Künstler";"Surrealist";"Renaissance-Maler";"B";"3";"10";"12";"kuenstler";"BANKSY ist ein anonymer britischer Street-Art-Künstler.";""
"Was ist digitale Kunst?";"Nur Malerei";"Kunst, die mit Computern erstellt wird";"Nur Skulptur";"Nur Fotografie";"B";"2";"9";"11";"formen";"DIGITALE KUNST wird mit Computern und Software erstellt.";""
"Was ist der Goldene Schnitt?";"Eine Farbe";"Harmonisches Teilungsverhältnis (ca. 1:1,618)";"Ein Pinsel";"Eine Epoche";"B";"4";"12";"14";"grundlagen";"Der GOLDENE SCHNITT ist ein als harmonisch empfundenes Teilungsverhältnis.";""
"Was bedeutet 'Vanitas' in der Kunst?";"Freude";"Vergänglichkeit des Lebens";"Reichtum";"Jugend";"B";"4";"12";"14";"symbolik";"VANITAS-Stillleben erinnern an die Vergänglichkeit (Schädel, verwelkte Blumen...).";""
"Was ist eine Allegorie?";"Realistische Darstellung";"Bildliche Darstellung eines abstrakten Begriffs";"Landschaft";"Portrait";"B";"4";"13";"15";"symbolik";"Eine ALLEGORIE stellt abstrakte Begriffe (Gerechtigkeit, Liebe...) bildlich dar.";""
"Was ist Ikonografie?";"Malstil";"Deutung von Bildinhalten und Symbolen";"Farbenlehre";"Perspektive";"B";"5";"14";"17";"theorie";"IKONOGRAFIE ist die Lehre von der Bedeutung von Bildinhalten und Symbolen.";""
"Was ist Art Deco?";"Barock";"Stilrichtung der 1920er-30er mit geometrischen Formen";"Impressionismus";"Romantik";"B";"4";"12";"14";"epochen";"ART DECO (1920er-30er) zeigt elegante, geometrische Formen.";""
"Was ist Jugendstil?";"Moderne Kunst";"Kunstrichtung um 1900 mit floralen Formen";"Barock";"Renaissance";"B";"4";"12";"14";"epochen";"JUGENDSTIL (um 1900) zeigt geschwungene, florale Formen.";""
"Was ist Minimalismus?";"Prunkvolle Kunst";"Kunst auf das Wesentliche reduziert";"Barock";"Impressionismus";"B";"4";"12";"14";"epochen";"MINIMALISMUS reduziert Kunst auf das Wesentliche – einfache Formen, wenig Farben.";""
"Was ist ein Original in der Kunst?";"Kopie";"Das vom Künstler selbst geschaffene Werk";"Druck";"Reproduktion";"B";"2";"9";"11";"grundlagen";"Ein ORIGINAL ist das einzigartige, vom Künstler selbst geschaffene Werk.";""
"Was ist eine Reproduktion?";"Original";"Kopie eines Kunstwerks";"Skizze";"Entwurf";"B";"2";"9";"11";"grundlagen";"Eine REPRODUKTION ist eine Kopie oder Nachbildung eines Originals.";""
"Was ist eine Skizze?";"Fertiges Bild";"Schnelle, vorbereitende Zeichnung";"Skulptur";"Collage";"B";"2";"8";"10";"grundlagen";"Eine SKIZZE ist eine schnelle, vorbereitende Zeichnung.";""
"Was ist Patina?";"Neue Farbe";"Alterserscheinung auf Oberflächen";"Ein Pinsel";"Eine Technik";"B";"4";"12";"14";"materialien";"PATINA ist die Alterserscheinung auf Bronze, Kupfer etc. (grüne Schicht).";""
"Wer war Frida Kahlo?";"Französische Impressionistin";"Mexikanische Malerin mit Selbstportraits";"Spanische Surrealistin";"Amerikanische Pop-Art-Künstlerin";"B";"3";"10";"12";"kuenstler";"FRIDA KAHLO war eine mexikanische Malerin, bekannt für ihre Selbstportraits.";""
"Wer war Gustav Klimt?";"Deutscher Expressionist";"Österreichischer Jugendstil-Maler";"Französischer Impressionist";"Italienischer Renaissance-Maler";"B";"4";"11";"13";"kuenstler";"GUSTAV KLIMT war ein österreichischer Jugendstil-Maler ('Der Kuss').";""
"Wer war Edvard Munch?";"Surrealist";"Norwegischer Expressionist ('Der Schrei')";"Impressionist";"Kubist";"B";"3";"11";"13";"kuenstler";"EDVARD MUNCH war ein norwegischer Expressionist, bekannt für 'Der Schrei'.";""
"Was ist ein Relief?";"Flaches Bild";"Plastik, die aus einer Fläche herausragt";"Freistehende Skulptur";"Mosaik";"B";"3";"10";"12";"formen";"Ein RELIEF ist eine Plastik, die aus einer Fläche herausragt (halb dreidimensional).";""
"Was ist eine Büste?";"Ganzkörper-Skulptur";"Skulptur von Kopf und Schultern";"Tierfigur";"Abstrakte Form";"B";"2";"9";"11";"formen";"Eine BÜSTE zeigt nur Kopf, Hals und Schultern einer Person.";""
"Was ist Töpfern?";"Malen";"Formen von Gegenständen aus Ton";"Schnitzen";"Gießen";"B";"1";"6";"8";"techniken";"TÖPFERN ist das Formen von Gegenständen aus Ton, die dann gebrannt werden.";""
"Was ist Glasur beim Töpfern?";"Die Form";"Glänzende Schutzschicht auf Keramik";"Die Farbe des Tons";"Das Brennen";"B";"3";"10";"12";"techniken";"GLASUR ist eine glänzende, wasserdichte Schicht auf gebrannter Keramik.";""
"Was ist Fotorealismus?";"Unscharfe Bilder";"Extrem realistische Malerei wie Fotos";"Abstrakte Kunst";"Impressionismus";"B";"4";"12";"14";"epochen";"FOTOREALISMUS ist Malerei, die so realistisch wie Fotos aussieht.";""
"Was ist ein Trompe-l'œil?";"Abstrakte Kunst";"Illusionsmalerei, die das Auge täuscht";"Impressionismus";"Expressionismus";"B";"4";"13";"15";"techniken";"TROMPE-L'ŒIL ('Augentäuschung') ist Malerei, die täuschend echt aussieht.";""
"Was ist Mixed Media?";"Nur eine Technik";"Kombination verschiedener Materialien und Techniken";"Nur Malerei";"Nur Skulptur";"B";"3";"10";"12";"techniken";"MIXED MEDIA kombiniert verschiedene Materialien und Techniken in einem Werk.";""
"Was bedeutet 'en plein air'?";"Im Atelier malen";"Im Freien malen";"Bei Nacht malen";"Schnell malen";"B";"4";"12";"14";"techniken";"EN PLEIN AIR bedeutet 'unter freiem Himmel' – draußen malen.";""
"Wer war Wassily Kandinsky?";"Impressionist";"Pionier der abstrakten Kunst";"Surrealist";"Renaissance-Maler";"B";"4";"12";"14";"kuenstler";"WASSILY KANDINSKY war ein Pionier der abstrakten Kunst (Der Blaue Reiter).";""
"Was war der Blaue Reiter?";"Ein Tier";"Künstlergruppe des Expressionismus";"Ein Gemälde";"Ein Museum";"B";"4";"13";"15";"bewegungen";"DER BLAUE REITER war eine expressionistische Künstlergruppe (Kandinsky, Marc, Klee).";""
"Was ist Bauhaus?";"Museum";"Deutsche Kunstschule (1919-1933)";"Künstler";"Malstil";"B";"4";"13";"15";"bewegungen";"Das BAUHAUS war eine einflussreiche Kunst- und Designschule in Deutschland.";""
"Was bedeutet 'Form folgt Funktion'?";"Design ist unwichtig";"Das Aussehen ergibt sich aus dem Zweck";"Funktion ist unwichtig";"Nur schön sein";"B";"4";"13";"15";"theorie";"FORM FOLGT FUNKTION: Design soll sich nach dem Zweck richten (Bauhaus-Prinzip).";""
