frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist ein Wissenschaftler?";"Zauberer";"Jemand der die Welt erforscht";"Lehrer";"Arzt";"B";"1";"5";"7";"grundlagen";"WISSENSCHAFTLER erforschen die Welt durch Beobachten und Experimentieren.";""
"Was ist ein Experiment?";"Raten";"Test um etwas herauszufinden";"Spiel";"Buch lesen";"B";"1";"5";"7";"grundlagen";"Ein EXPERIMENT ist ein Test um eine Frage zu beantworten.";""
"Was ist eine Hypothese?";"Bewiesene Wahrheit";"Vermutung die man testen kann";"Frage";"Ergebnis";"B";"2";"8";"10";"grundlagen";"Eine HYPOTHESE ist eine Vermutung die man durch Experimente pruefen kann.";""
"Was ist eine Theorie in der Wissenschaft?";"Nur eine Vermutung";"Gut belegte Erklaerung";"Unbewiesene Idee";"Meinung";"B";"3";"10";"12";"grundlagen";"Eine THEORIE ist durch viele Beweise gestuetzt - nicht nur eine Vermutung!";""
"Wer war Albert Einstein?";"Maler";"Beruemter Physiker";"Musiker";"Politiker";"B";"2";"8";"10";"wissenschaftler";"EINSTEIN entwickelte die Relativitaetstheorie und E=mc2.";""
"Was bedeutet E=mc2?";"Energie gleich Masse";"Energie gleich Masse mal Lichtgeschwindigkeit zum Quadrat";"Elektrizitaet";"Erdanziehung";"B";"4";"12";"14";"physik";"E=mc2 zeigt dass Masse und Energie umwandelbar sind.";""
"Wer war Isaac Newton?";"Chemiker";"Physiker der Gravitation entdeckte";"Biologe";"Arzt";"B";"2";"8";"10";"wissenschaftler";"NEWTON entdeckte die Gravitationsgesetze - angeblich durch einen Apfel!";""
"Wer war Galileo Galilei?";"Komponist";"Astronom der das Teleskop verbesserte";"Maler";"Dichter";"B";"3";"9";"11";"wissenschaftler";"GALILEO verbesserte das Teleskop und beobachtete Jupitermonde.";""
"Wer war Marie Curie?";"Kuenstlerin";"Physikerin die Radioaktivitaet erforschte";"Biologin";"Mathematikerin";"B";"3";"9";"11";"wissenschaftler";"MARIE CURIE gewann zwei Nobelpreise fuer Physik und Chemie!";""
"Was ist ein Teleskop?";"Mikroskop";"Geraet um ferne Objekte zu sehen";"Kompass";"Thermometer";"B";"1";"6";"8";"geraete";"Ein TELESKOP vergroessert entfernte Dinge wie Sterne und Planeten.";""
"Was ist ein Mikroskop?";"Teleskop";"Geraet um sehr kleine Dinge zu sehen";"Fernglas";"Kamera";"B";"1";"6";"8";"geraete";"Ein MIKROSKOP vergroessert winzige Dinge die man sonst nicht sieht.";""
"Was ist ein Thermometer?";"Zeitmesser";"Temperaturmesser";"Laengenmesser";"Gewichtsmesser";"B";"1";"5";"7";"geraete";"Ein THERMOMETER misst die Temperatur - wie warm oder kalt etwas ist.";""
"Was misst ein Barometer?";"Temperatur";"Luftdruck";"Wind";"Feuchtigkeit";"B";"3";"10";"12";"geraete";"Ein BAROMETER misst den Luftdruck - wichtig fuer Wettervorhersagen.";""
"Was ist Energie?";"Nur Strom";"Faehigkeit Arbeit zu verrichten";"Nur Waerme";"Nur Bewegung";"B";"2";"8";"10";"physik";"ENERGIE ist die Faehigkeit etwas zu bewegen oder zu veraendern.";""
"Kann Energie zerstoert werden?";"Ja";"Nein nur umgewandelt";"Manchmal";"Nur Waerme";"B";"3";"10";"12";"physik";"Energie kann nicht zerstoert werden - nur UMGEWANDELT in andere Formen!";""
"Was ist kinetische Energie?";"Ruhende Energie";"Bewegungsenergie";"Waermeenergie";"Lichtenergie";"B";"3";"10";"12";"physik";"KINETISCHE ENERGIE ist die Energie eines bewegten Koerpers.";""
"Was ist potentielle Energie?";"Bewegungsenergie";"Gespeicherte Energie durch Lage";"Waerme";"Licht";"B";"3";"10";"12";"physik";"POTENTIELLE ENERGIE ist gespeicherte Energie z.B. ein Ball auf dem Berg.";""
"Was ist Reibung?";"Beschleunigung";"Kraft die Bewegung bremst";"Schwerkraft";"Magnetismus";"B";"2";"8";"10";"physik";"REIBUNG ist eine Kraft die Bewegung verlangsamt.";""
"Warum werden Haende warm beim Reiben?";"Magie";"Reibung erzeugt Waerme";"Koerperwaerme";"Luftwaerme";"B";"2";"7";"9";"physik";"REIBUNG wandelt Bewegungsenergie in Waerme um!";""
