frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist eine Wueste?";"Regenwald";"Sehr trockenes Gebiet mit wenig Niederschlag";"Gebirge";"Meer";"B";"1";"6";"8";"landschaften";"Eine WUESTE bekommt weniger als 250mm Regen pro Jahr.";""
"Was ist die groesste Wueste der Welt?";"Sahara";"Antarktis - eine Eiswueste";"Gobi";"Atacama";"B";"3";"10";"12";"landschaften";"Die ANTARKTIS ist die groesste Wueste - dort faellt fast kein Niederschlag!";""
"Was ist die groesste Sandwueste?";"Gobi";"Sahara";"Atacama";"Namib";"B";"2";"8";"10";"landschaften";"Die SAHARA in Afrika ist die groesste heisse Sandwueste.";""
"Was ist ein Regenwald?";"Trockener Wald";"Tropischer Wald mit viel Niederschlag";"Nadelwald";"Laubwald";"B";"1";"6";"8";"landschaften";"REGENWAELDER bekommen sehr viel Regen und beheimaten viele Arten.";""
"Wo liegt der Amazonas Regenwald?";"Afrika";"Suedamerika";"Asien";"Australien";"B";"2";"7";"9";"landschaften";"Der AMAZONAS Regenwald liegt in Suedamerika hauptsaechlich in Brasilien.";""
"Was ist eine Savanne?";"Wueste";"Grasland mit vereinzelten Baeumen";"Regenwald";"Tundra";"B";"2";"8";"10";"landschaften";"Die SAVANNE ist tropisches Grasland mit Trocken- und Regenzeit.";""
"Was ist die Tundra?";"Heisses Gebiet";"Kalte baumlose Landschaft im Norden";"Wueste";"Regenwald";"B";"3";"9";"11";"landschaften";"Die TUNDRA ist eine kalte baumlose Zone mit gefrorenem Boden.";""
"Was ist die Taiga?";"Wueste";"Groesster Waldguertel der Erde - Nadelwald";"Regenwald";"Grasland";"B";"3";"10";"12";"landschaften";"Die TAIGA ist der groesste zusammenhaengende Wald - Nadelwald im Norden.";""
"Was ist die Hauptstadt von Oesterreich?";"Salzburg";"Wien";"Graz";"Innsbruck";"B";"1";"6";"8";"hauptstaedte";"WIEN ist die Hauptstadt von Oesterreich.";""
"Was ist die Hauptstadt der Schweiz?";"Zuerich";"Bern";"Genf";"Basel";"B";"2";"7";"9";"hauptstaedte";"BERN ist die Hauptstadt der Schweiz.";""
"Was ist die Hauptstadt der USA?";"New York";"Washington D.C.";"Los Angeles";"Chicago";"B";"2";"7";"9";"hauptstaedte";"WASHINGTON D.C. ist die Hauptstadt der USA.";""
"Was ist die Hauptstadt von Russland?";"St. Petersburg";"Moskau";"Kiew";"Minsk";"B";"2";"7";"9";"hauptstaedte";"MOSKAU ist die Hauptstadt von Russland.";""
"Was ist die Hauptstadt von China?";"Shanghai";"Peking";"Hongkong";"Guangzhou";"B";"2";"8";"10";"hauptstaedte";"PEKING ist die Hauptstadt von China.";""
"Was ist die Hauptstadt von Japan?";"Osaka";"Tokio";"Kyoto";"Hiroshima";"B";"2";"8";"10";"hauptstaedte";"TOKIO ist die Hauptstadt von Japan.";""
"Was ist die Hauptstadt von Australien?";"Sydney";"Canberra";"Melbourne";"Brisbane";"B";"2";"8";"10";"hauptstaedte";"CANBERRA ist die Hauptstadt - nicht Sydney!";""
"Welches Land hat die meisten Einwohner?";"Indien";"China";"USA";"Indonesien";"A";"3";"10";"12";"laender";"INDIEN hat seit 2023 die meisten Einwohner vor China.";""
"Welches Land ist flaechenmaessig am groessten?";"Kanada";"Russland";"USA";"China";"B";"2";"8";"10";"laender";"RUSSLAND ist das groesste Land der Welt.";""
"Welches ist das kleinste Land der Welt?";"Monaco";"Vatikan";"San Marino";"Liechtenstein";"B";"2";"9";"11";"laender";"Der VATIKAN ist mit 0,44 km2 das kleinste Land.";""
"Wie viele Laender gibt es ungefaehr?";"50";"100";"195";"300";"C";"3";"10";"12";"laender";"Es gibt etwa 195 anerkannte Laender weltweit.";""
"Was ist die EU?";"Ein Land";"Staatenverbund europaeischer Laender";"Eine Stadt";"Ein Kontinent";"B";"2";"8";"10";"politik";"Die EU ist ein Verbund von 27 europaeischen Staaten.";""
"Welche Waehrung hat die EU?";"Dollar";"Euro";"Pfund";"Franken";"B";"1";"6";"8";"politik";"Der EURO ist die Waehrung in vielen EU-Laendern.";""
"Was ist der Nordpol?";"Suedlichster Punkt";"Noerdlichster Punkt der Erde";"Ein Berg";"Ein Land";"B";"1";"6";"8";"geographie";"Der NORDPOL ist der noerdlichste Punkt der Erde - auf dem Arktischen Ozean.";""
"Was ist der Suedpol?";"Noerdlichster Punkt";"Suedlichster Punkt der Erde";"Ein Berg";"Ein Ozean";"B";"1";"6";"8";"geographie";"Der SUEDPOL ist der suedlichste Punkt - auf dem Kontinent Antarktis.";""
"Was ist der Unterschied zwischen Arktis und Antarktis?";"Keiner";"Arktis ist Eis auf Meer, Antarktis ist Kontinent";"Arktis ist waermer";"Antarktis ist kleiner";"B";"3";"10";"12";"geographie";"ARKTIS ist gefrorenes Meer, ANTARKTIS ist ein Kontinent unter Eis.";""
"Wo leben Eisbaeren?";"Antarktis";"Arktis - am Nordpol";"Beide";"Keines";"B";"2";"7";"9";"tiere";"EISBAEREN leben nur in der ARKTIS am Nordpol.";""
"Wo leben Pinguine?";"Arktis";"Antarktis und Suedhalbkugel";"Nordpol";"Ueberall";"B";"2";"7";"9";"tiere";"PINGUINE leben nur auf der SUEDHALBKUGEL - nicht am Nordpol!";""
"Was ist der Golfstrom?";"Ein Fluss";"Warme Meeresstroemung im Atlantik";"Ein Wind";"Ein See";"B";"3";"10";"12";"klima";"Der GOLFSTROM bringt warmes Wasser nach Europa - macht das Klima milder.";""
"Warum ist es am Aequator so warm?";"Wegen Vulkanen";"Die Sonne steht dort am hoechsten";"Wegen des Meeres";"Wegen der Berge";"B";"2";"8";"10";"klima";"Am AEQUATOR treffen die Sonnenstrahlen am direktesten auf die Erde.";""
"Was sind Jahreszeiten?";"Wetteraenderungen";"Abschnitte des Jahres durch Erdneigung";"Monate";"Feiertage";"B";"2";"8";"10";"klima";"JAHRESZEITEN entstehen weil die Erdachse geneigt ist.";""
"Warum gibt es Tag und Nacht?";"Wegen des Mondes";"Weil die Erde sich dreht";"Wegen der Sonne";"Wegen der Wolken";"B";"2";"7";"9";"astronomie";"Die ERDDREHUNG verursacht Tag und Nacht - eine Umdrehung pro Tag.";""
"Wie lange braucht die Erde um die Sonne?";"1 Tag";"1 Monat";"1 Jahr";"100 Jahre";"C";"2";"7";"9";"astronomie";"Die Erde braucht ein JAHR fuer eine Umrundung der Sonne.";""
"Was ist eine Karte?";"Ein Bild";"Darstellung der Erdoberflaeche";"Ein Buch";"Ein Foto";"B";"1";"5";"7";"kartographie";"Eine KARTE zeigt die Erde oder Teile davon von oben.";""
"Was ist ein Globus?";"Flache Karte";"Kugelfoermiges Modell der Erde";"Buch";"Kompass";"B";"1";"5";"7";"kartographie";"Ein GLOBUS ist eine kleine Nachbildung der kugelfoermigen Erde.";""
"Was zeigt eine politische Karte?";"Berge";"Laendergrenzen und Staedte";"Fluesse";"Wetter";"B";"2";"8";"10";"kartographie";"POLITISCHE KARTEN zeigen Grenzen, Laender und Staedte.";""
"Was zeigt eine physische Karte?";"Grenzen";"Landschaften wie Berge und Fluesse";"Staedte";"Strassen";"B";"2";"8";"10";"kartographie";"PHYSISCHE KARTEN zeigen Gelaende: Berge, Tiefen, Fluesse, Seen.";""
"Was ist der Massstab einer Karte?";"Farbe";"Verhaeltnis zwischen Karte und Wirklichkeit";"Groesse";"Titel";"B";"3";"9";"11";"kartographie";"Der MASSSTAB zeigt wie viel Karte gleich wie viel Wirklichkeit ist.";""
"Was bedeutet ein Massstab von 1:100.000?";"1 cm Karte = 1 km";"1 cm Karte = 1 Meter";"1 cm Karte = 10 km";"1 cm Karte = 100 km";"A";"3";"10";"12";"kartographie";"1:100.000 bedeutet 1 cm auf der Karte sind 100.000 cm also 1 km in Wirklichkeit.";""
"Was ist GPS?";"Karte";"Satellitennavigationssystem";"Kompass";"Fernglas";"B";"2";"8";"10";"technologie";"GPS nutzt Satelliten um den genauen Standort zu bestimmen.";""
"Wie viele Zeitzonen gibt es?";"12";"24";"36";"48";"B";"3";"10";"12";"zeitzonen";"Es gibt 24 ZEITZONEN - eine fuer jede Stunde des Tages.";""
"Was ist der groesste See der Welt?";"Bodensee";"Kaspisches Meer";"Victoriasee";"Baikalsee";"B";"3";"10";"12";"gewaesser";"Das KASPISCHE MEER ist eigentlich ein See - der groesste der Welt!";""
"Was ist der tiefste See der Welt?";"Kaspisches Meer";"Baikalsee";"Victoriasee";"Tanganjikasee";"B";"3";"10";"12";"gewaesser";"Der BAIKALSEE in Russland ist mit 1.642m der tiefste See.";""
"Welcher Wasserfall ist am hoechsten?";"Niagarafaelle";"Victoriafaelle";"Salto Angel";"Iguazu";"C";"3";"10";"12";"gewaesser";"SALTO ANGEL in Venezuela ist mit 979m der hoechste Wasserfall.";""
"Was ist der Marianengraben?";"Berg";"Tiefste Stelle im Ozean";"Fluss";"Insel";"B";"3";"10";"12";"gewaesser";"Der MARIANENGRABEN ist mit fast 11.000m die tiefste Stelle im Meer.";""
"Was ist ein Tsunami?";"Erdbeben";"Riesige Flutwelle durch Seebeben";"Vulkan";"Sturm";"B";"3";"10";"12";"naturkatastrophen";"Ein TSUNAMI ist eine riesige Welle ausgeloest durch Erdbeben im Meer.";""
"Was ist ein Hurrikan?";"Erdbeben";"Tropischer Wirbelsturm";"Tsunami";"Vulkan";"B";"2";"8";"10";"wetter";"Ein HURRIKAN ist ein starker tropischer Wirbelsturm.";""
"Was ist ein Tornado?";"Hurrikan";"Wirbelsturm an Land";"Tsunami";"Erdbeben";"B";"2";"8";"10";"wetter";"Ein TORNADO ist ein kleinerer aber sehr starker Wirbelsturm an Land.";""
"Wo kommen die meisten Tornados vor?";"Europa";"USA - Tornado Alley";"Asien";"Australien";"B";"3";"10";"12";"wetter";"In der TORNADO ALLEY in den USA gibt es die meisten Tornados.";""
"Was ist Migration?";"Tourismus";"Wanderung von Menschen in andere Gebiete";"Handel";"Krieg";"B";"3";"10";"12";"bevoelkerung";"MIGRATION ist wenn Menschen ihren Wohnort dauerhaft wechseln.";""
"Was ist Urbanisierung?";"Landflucht";"Wachstum von Staedten";"Landwirtschaft";"Industrie";"B";"4";"12";"14";"bevoelkerung";"URBANISIERUNG ist das Wachsen von Staedten - immer mehr Menschen leben dort.";""
"Was ist eine Megacity?";"Kleine Stadt";"Stadt mit mehr als 10 Millionen Einwohnern";"Hauptstadt";"Hafenstadt";"B";"3";"10";"12";"bevoelkerung";"MEGACITIES haben ueber 10 Millionen Einwohner wie Tokio oder Shanghai.";""
"Was ist die groesste Stadt der Welt?";"New York";"Tokio";"Shanghai";"Delhi";"B";"3";"10";"12";"staedte";"TOKIO mit Umgebung hat ueber 37 Millionen Einwohner.";""
"Was ist eine Grenze?";"Fluss";"Trennlinie zwischen Laendern";"Berg";"Strasse";"B";"1";"6";"8";"politik";"Eine GRENZE trennt verschiedene Laender oder Gebiete.";""
"Was sind natuerliche Grenzen?";"Zaeune";"Fluesse, Berge, Meere als Grenzen";"Mauern";"Strassen";"B";"2";"8";"10";"politik";"NATUERLICHE GRENZEN sind z.B. Fluesse, Gebirge oder Meere.";""
"Was ist Handel?";"Krieg";"Austausch von Waren zwischen Laendern";"Sport";"Tourismus";"B";"2";"8";"10";"wirtschaft";"HANDEL ist der Kauf und Verkauf von Waren zwischen Laendern.";""
"Was ist Export?";"Einfuhr";"Ausfuhr von Waren in andere Laender";"Produktion";"Verbrauch";"B";"2";"8";"10";"wirtschaft";"EXPORT ist wenn ein Land Waren an andere Laender verkauft.";""
"Was ist Import?";"Ausfuhr";"Einfuhr von Waren aus anderen Laendern";"Produktion";"Export";"B";"2";"8";"10";"wirtschaft";"IMPORT ist wenn ein Land Waren aus anderen Laendern kauft.";""
