frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was bedeutet eine rote Ampel?";"Fahren";"Stehen bleiben";"Langsam fahren";"Schnell fahren";"B";"1";"5";"7";"ampeln";"ROT bedeutet STOP – stehen bleiben und warten!";""
"Was bedeutet eine grüne Ampel?";"Stehen bleiben";"Du darfst gehen/fahren";"Warten";"Zurückgehen";"B";"1";"5";"7";"ampeln";"GRÜN bedeutet: Du darfst gehen oder fahren.";""
"Was bedeutet eine gelbe Ampel?";"Schnell fahren";"Achtung, bald kommt Rot";"Stehen bleiben";"Umdrehen";"B";"1";"5";"7";"ampeln";"GELB bedeutet: Achtung, die Ampel wechselt gleich!";""
"Wo sollst du die Straße überqueren?";"Überall";"Am Zebrastreifen oder bei der Ampel";"Mitten auf der Straße";"Zwischen Autos";"B";"1";"5";"7";"fussgaenger";"Überquere die Straße am ZEBRASTREIFEN oder bei der AMPEL!";""
"Was ist ein Zebrastreifen?";"Ein Tier";"Markierter Übergang für Fußgänger";"Ein Parkplatz";"Eine Bushaltestelle";"B";"1";"5";"7";"fussgaenger";"Ein ZEBRASTREIFEN ist ein sicherer Übergang mit weißen Streifen.";""
"Was musst du tun, bevor du die Straße überquerst?";"Einfach loslaufen";"Links-Rechts-Links schauen";"Rennen";"Auf das Handy schauen";"B";"1";"5";"7";"fussgaenger";"LINKS-RECHTS-LINKS schauen und erst gehen, wenn frei ist!";""
"Auf welcher Seite des Gehwegs gehst du?";"Auf der Straße";"Auf dem Gehweg, rechts";"Mitten auf der Straße";"Überall";"B";"1";"5";"7";"fussgaenger";"Geh auf dem GEHWEG und bleib rechts.";""
"Was trägst du am besten bei Dunkelheit?";"Dunkle Kleidung";"Helle oder reflektierende Kleidung";"Keine Kleidung";"Nur schwarze Kleidung";"B";"1";"5";"7";"sicherheit";"Bei Dunkelheit: HELLE oder REFLEKTIERENDE Kleidung tragen!";""
"Was ist ein Fahrradhelm?";"Ein Hut";"Schutz für den Kopf beim Radfahren";"Ein Spielzeug";"Eine Mütze";"B";"1";"5";"7";"fahrrad";"Ein FAHRRADHELM schützt deinen Kopf bei einem Sturz.";""
"Warum ist ein Fahrradhelm wichtig?";"Er sieht cool aus";"Er schützt deinen Kopf bei Unfällen";"Er hält warm";"Er ist unnötig";"B";"1";"5";"7";"fahrrad";"Der HELM schützt deinen Kopf – Kopfverletzungen können sehr gefährlich sein!";""
"Was braucht ein verkehrssicheres Fahrrad?";"Nur Räder";"Licht, Bremsen, Klingel, Reflektoren";"Nur eine Klingel";"Nur Pedale";"B";"2";"7";"9";"fahrrad";"Ein sicheres Fahrrad braucht: Licht, Bremsen, Klingel und Reflektoren.";""
"Auf welcher Straßenseite fährt man in Deutschland?";"Links";"Rechts";"In der Mitte";"Egal";"B";"1";"6";"8";"regeln";"In Deutschland fährt man auf der RECHTEN Straßenseite.";""
"Was bedeutet das Stoppschild?";"Langsam fahren";"Vollständig anhalten";"Schneller fahren";"Weiterfahren";"B";"2";"7";"9";"verkehrsschilder";"STOPPSCHILD: Du musst VOLLSTÄNDIG anhalten!";""
"Was bedeutet das Vorfahrt-Schild (gelbe Raute)?";"Anhalten";"Du hast Vorfahrt";"Langsam fahren";"Warten";"B";"2";"8";"10";"verkehrsschilder";"Die GELBE RAUTE bedeutet: Du hast Vorfahrt auf dieser Straße.";""
"Was bedeutet 'Rechts vor Links'?";"Links hat Vorfahrt";"Wer von rechts kommt, hat Vorfahrt";"Alle fahren gleichzeitig";"Niemand hat Vorfahrt";"B";"2";"8";"10";"regeln";"RECHTS VOR LINKS: Wer von rechts kommt, darf zuerst fahren.";""
"Was ist ein Verkehrsschild?";"Ein Spielzeug";"Zeichen mit Regeln für den Verkehr";"Ein Werbeplakat";"Ein Kunstwerk";"B";"1";"6";"8";"verkehrsschilder";"VERKEHRSSCHILDER zeigen Regeln und wichtige Informationen.";""
