frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"3 x 4 = ?";"7";"10";"12";"14";"C";"1";"6";"8";"multiplikation";"3 x 4 = 12. Drei mal vier Kekse sind zwoelf Kekse.";""
"5 x 5 = ?";"20";"25";"30";"15";"B";"1";"6";"8";"multiplikation";"5 x 5 = 25. Fuenf mal fuenf ist fuenfundzwanzig.";""
"6 x 7 = ?";"36";"42";"48";"35";"B";"2";"7";"9";"multiplikation";"6 x 7 = 42. Sechs mal sieben ist zweiundvierzig.";""
"8 x 9 = ?";"63";"72";"81";"56";"B";"2";"8";"10";"multiplikation";"8 x 9 = 72. Acht mal neun ist zweiundsiebzig.";""
"7 x 8 = ?";"48";"54";"56";"64";"C";"2";"7";"9";"multiplikation";"7 x 8 = 56. Sieben mal acht ist sechsundfuenfzig.";""
"12 : 3 = ?";"3";"4";"5";"6";"B";"1";"6";"8";"division";"12 : 3 = 4. Zwoelf geteilt durch drei ist vier.";""
"24 : 6 = ?";"3";"4";"5";"6";"B";"2";"7";"9";"division";"24 : 6 = 4. Vierundzwanzig geteilt durch sechs.";""
"45 : 9 = ?";"4";"5";"6";"7";"B";"2";"7";"9";"division";"45 : 9 = 5. Fuenfundvierzig geteilt durch neun.";""
"81 : 9 = ?";"7";"8";"9";"10";"C";"2";"8";"10";"division";"81 : 9 = 9. Einundachtzig geteilt durch neun.";""
"100 : 10 = ?";"1";"10";"100";"1000";"B";"1";"6";"8";"division";"100 : 10 = 10. Hundert geteilt durch zehn.";""
"Was ist 1/2 von 10?";"4";"5";"6";"8";"B";"2";"7";"9";"brueche";"Die Haelfte von 10 ist 5.";""
"Was ist 1/4 von 20?";"4";"5";"6";"10";"B";"2";"8";"10";"brueche";"Ein Viertel von 20 ist 5. 20 : 4 = 5.";""
"1/2 + 1/2 = ?";"1/4";"1/2";"1";"2";"C";"2";"8";"10";"brueche";"Zwei halbe ergeben ein Ganzes. 1/2 + 1/2 = 1.";""
"1/4 + 1/4 = ?";"1/8";"1/4";"1/2";"1";"C";"2";"8";"10";"brueche";"Zwei Viertel ergeben ein Halbes. 1/4 + 1/4 = 2/4 = 1/2.";""
"Welcher Bruch ist groesser: 1/2 oder 1/4?";"1/4";"1/2";"Gleich";"Kann man nicht sagen";"B";"2";"8";"10";"brueche";"1/2 ist groesser. Je kleiner der Nenner, desto groesser der Bruch.";""
"Was sind 50%?";"Ein Viertel";"Die Haelfte";"Drei Viertel";"Alles";"B";"2";"8";"10";"prozent";"50% bedeutet die HAELFTE oder 1/2.";""
"Was sind 25%?";"Ein Zehntel";"Ein Viertel";"Die Haelfte";"Drei Viertel";"B";"2";"8";"10";"prozent";"25% bedeutet ein VIERTEL oder 1/4.";""
"Was sind 100%?";"Die Haelfte";"Drei Viertel";"Das Ganze";"Das Doppelte";"C";"2";"8";"10";"prozent";"100% bedeutet das GANZE oder alles.";""
"10% von 100 = ?";"1";"10";"100";"1000";"B";"2";"8";"10";"prozent";"10% von 100 ist 10. Man teilt durch 10.";""
