frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was war die Industrielle Revolution?";"Ein Krieg";"Wandel von Handarbeit zu Maschinen";"Eine Kunstepoche";"Eine Religion";"B";"3";"10";"12";"neuzeit";"Die INDUSTRIELLE REVOLUTION brachte Fabriken und Maschinen ab ca. 1750.";""
"Wo begann die Industrielle Revolution?";"Deutschland";"England";"Frankreich";"USA";"B";"3";"10";"12";"neuzeit";"Die INDUSTRIELLE REVOLUTION begann in ENGLAND um 1750.";""
"Was erfand James Watt?";"Das Auto";"Die verbesserte Dampfmaschine";"Das Telefon";"Die Gluehbirne";"B";"3";"10";"12";"erfindungen";"JAMES WATT verbesserte die DAMPFMASCHINE entscheidend.";""
"Wann wurde das Deutsche Kaiserreich gegruendet?";"1789";"1871";"1918";"1945";"B";"3";"10";"12";"deutschland";"Das DEUTSCHE KAISERREICH wurde 1871 in Versailles gegruendet.";""
"Wer war der erste deutsche Kaiser?";"Bismarck";"Wilhelm I.";"Friedrich der Grosse";"Hitler";"B";"3";"10";"12";"deutschland";"WILHELM I. wurde 1871 erster deutscher Kaiser.";""
"Wer war Otto von Bismarck?";"Kaiser";"Kanzler der deutsche Einigung schuf";"Koenig";"General";"B";"3";"10";"12";"deutschland";"BISMARCK war der Eiserne Kanzler der Deutschland einigte.";""
"Wann begann der Erste Weltkrieg?";"1904";"1914";"1918";"1939";"B";"3";"10";"12";"weltkriege";"Der ERSTE WELTKRIEG begann 1914 nach dem Attentat in Sarajevo.";""
"Wann endete der Erste Weltkrieg?";"1916";"1917";"1918";"1919";"C";"3";"10";"12";"weltkriege";"Der Erste Weltkrieg endete am 11. November 1918.";""
"Welches Ereignis loeste den Ersten Weltkrieg aus?";"Invasion Polens";"Attentat auf Franz Ferdinand";"Sturm auf die Bastille";"Mauerfall";"B";"4";"11";"13";"weltkriege";"Das ATTENTAT AUF FRANZ FERDINAND in Sarajevo 1914 loeste den Krieg aus.";""
"Was war die Weimarer Republik?";"Kaiserreich";"Erste deutsche Demokratie 1918-1933";"DDR";"Bundesrepublik";"B";"4";"11";"13";"deutschland";"Die WEIMARER REPUBLIK war die erste deutsche Demokratie.";""
