frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Wie viele Noten hat eine Oktave?";"5";"6";"7";"8";"D";"1";"5";"7";"grundlagen";"Eine OKTAVE hat 8 Töne: C-D-E-F-G-A-H-C.";""
"Wie heißen die Notennamen?";"A-B-C-D-E-F-G";"C-D-E-F-G-A-H";"1-2-3-4-5-6-7";"Do-Re-Mi-Fa";"B";"1";"5";"7";"grundlagen";"Die Notennamen sind C-D-E-F-G-A-H (auf Deutsch) oder C-D-E-F-G-A-B (international).";""
"Was ist ein Violinschlüssel?";"Ein Instrument";"Ein Zeichen am Anfang der Notenzeile";"Ein Takt";"Eine Note";"B";"2";"7";"9";"notation";"Der VIOLINSCHLÜSSEL (G-Schlüssel) steht am Anfang der Notenzeile für hohe Töne.";""
"Was ist ein Bassschlüssel?";"Ein Instrument";"Schlüssel für tiefe Töne";"Eine Trommel";"Eine hohe Note";"B";"2";"8";"10";"notation";"Der BASSSCHLÜSSEL (F-Schlüssel) zeigt tiefe Töne an.";""
"Wie viele Schläge hat eine ganze Note?";"1";"2";"4";"8";"C";"2";"7";"9";"notation";"Eine GANZE NOTE dauert 4 Schläge (bei 4/4-Takt).";""
"Wie viele Schläge hat eine halbe Note?";"1";"2";"4";"8";"B";"2";"7";"9";"notation";"Eine HALBE NOTE dauert 2 Schläge.";""
"Wie viele Schläge hat eine Viertelnote?";"1";"2";"4";"8";"A";"2";"7";"9";"notation";"Eine VIERTELNOTE dauert 1 Schlag.";""
"Was bedeutet ein Kreuz (#) vor einer Note?";"Note wird tiefer";"Note wird um einen Halbton erhöht";"Note wird lauter";"Note wird leiser";"B";"2";"8";"10";"notation";"Ein KREUZ (#) erhöht die Note um einen Halbton.";""
"Was bedeutet ein B (♭) vor einer Note?";"Note wird höher";"Note wird um einen Halbton erniedrigt";"Note wird lauter";"Note wird leiser";"B";"2";"8";"10";"notation";"Ein B (♭) erniedrigt die Note um einen Halbton.";""
"Was ist ein Takt?";"Eine Note";"Zeiteinheit mit einer bestimmten Anzahl Schläge";"Ein Instrument";"Eine Tonart";"B";"2";"7";"9";"grundlagen";"Ein TAKT ist eine Zeiteinheit mit einer festen Anzahl von Schlägen.";""
"Was bedeutet 4/4-Takt?";"4 Noten pro Lied";"4 Viertelschläge pro Takt";"4 ganze Noten";"4 halbe Noten";"B";"2";"8";"10";"grundlagen";"4/4-TAKT: 4 Viertelschläge pro Takt. Der häufigste Takt.";""
