frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Woraus besteht alles um uns herum?";"Nur Luft";"Atomen";"Nur Wasser";"Nur Licht";"B";"1";"6";"8";"grundlagen";"Alles besteht aus ATOMEN - den kleinsten Bausteinen der Materie.";""
"Was sind die drei Aggregatzustände?";"Warm, kalt, heiß";"Fest, flüssig, gasförmig";"Groß, klein, mittel";"Rot, blau, grün";"B";"1";"6";"8";"aggregatzustaende";"Die drei Aggregatzustände sind FEST, FLÜSSIG und GASFÖRMIG.";""
"In welchem Aggregatzustand ist Eis?";"Flüssig";"Gasförmig";"Fest";"Plasma";"C";"1";"5";"7";"aggregatzustaende";"Eis ist der FESTE Aggregatzustand von Wasser.";""
"In welchem Aggregatzustand ist Wasserdampf?";"Fest";"Flüssig";"Gasförmig";"Plasma";"C";"1";"6";"8";"aggregatzustaende";"Wasserdampf ist der GASFÖRMIGE Aggregatzustand von Wasser.";""
"Was passiert beim Schmelzen?";"Fest wird flüssig";"Flüssig wird fest";"Flüssig wird gasförmig";"Gasförmig wird flüssig";"A";"1";"6";"8";"aggregatzustaende";"Beim Schmelzen wird ein FESTER Stoff FLÜSSIG.";""
"Was passiert beim Verdampfen?";"Fest wird flüssig";"Flüssig wird gasförmig";"Gasförmig wird flüssig";"Fest wird gasförmig";"B";"1";"6";"8";"aggregatzustaende";"Beim Verdampfen wird eine FLÜSSIGKEIT zu GAS.";""
"Was passiert beim Kondensieren?";"Fest wird flüssig";"Flüssig wird gasförmig";"Gasförmig wird flüssig";"Fest wird gasförmig";"C";"2";"7";"9";"aggregatzustaende";"Beim Kondensieren wird GAS zu FLÜSSIGKEIT.";""
"Bei welcher Temperatur gefriert Wasser?";"-10°C";"0°C";"10°C";"100°C";"B";"1";"6";"8";"wasser";"Wasser gefriert bei 0°C (null Grad Celsius).";""
"Bei welcher Temperatur kocht Wasser?";"50°C";"75°C";"100°C";"150°C";"C";"1";"6";"8";"wasser";"Wasser kocht bei 100°C (hundert Grad Celsius) auf Meereshöhe.";""
"Woraus besteht Wasser?";"Nur Sauerstoff";"Wasserstoff und Sauerstoff";"Kohlenstoff und Sauerstoff";"Stickstoff und Wasserstoff";"B";"2";"7";"9";"wasser";"Wasser besteht aus WASSERSTOFF (H) und SAUERSTOFF (O): H₂O.";""
"Was ist die chemische Formel für Wasser?";"H₂O";"CO₂";"NaCl";"O₂";"A";"2";"8";"10";"formeln";"Wasser = H₂O (2 Wasserstoff + 1 Sauerstoff).";""
"Was ist die chemische Formel für Kohlendioxid?";"H₂O";"CO₂";"O₂";"NaCl";"B";"2";"8";"10";"formeln";"Kohlendioxid = CO₂ (1 Kohlenstoff + 2 Sauerstoff).";""
