frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist ein Maerchen?";"Wahre Geschichte";"Fantasiegeschichte mit Magie";"Zeitungsbericht";"Sachbuch";"B";"1";"5";"7";"textarten";"MAERCHEN sind Geschichten mit Magie, sprechenden Tieren und gutem Ende.";""
"Wer schrieb die Maerchen der Brueder Grimm?";"Hans Andersen";"Jacob und Wilhelm Grimm";"Charles Perrault";"Ludwig Bechstein";"B";"2";"7";"9";"autoren";"Die BRUEDER GRIMM sammelten deutsche Volksmaerchen.";""
"Was ist eine Fabel?";"Maerchen";"Lehrgeschichte mit sprechenden Tieren";"Roman";"Gedicht";"B";"2";"8";"10";"textarten";"FABELN haben sprechende Tiere und eine Moral am Ende.";""
"Wer schrieb beruehmte Fabeln in der Antike?";"Grimm";"Aesop";"Andersen";"Goethe";"B";"3";"9";"11";"autoren";"AESOP schrieb vor ueber 2500 Jahren beruehmte Fabeln.";""
"Was ist ein Roman?";"Kurze Geschichte";"Lange Erzaehlung in Buchform";"Gedicht";"Zeitungsartikel";"B";"2";"8";"10";"textarten";"Ein ROMAN ist eine lange Geschichte mit vielen Kapiteln.";""
"Was ist eine Kurzgeschichte?";"Roman";"Kurze Erzaehlung ohne Einleitung";"Maerchen";"Fabel";"B";"3";"10";"12";"textarten";"KURZGESCHICHTEN sind kurz und beginnen oft mitten in der Handlung.";""
"Was ist ein Gedicht?";"Prosa";"Text mit Reimen und Rhythmus";"Roman";"Zeitungsbericht";"B";"2";"7";"9";"textarten";"GEDICHTE haben oft Reime, Strophen und einen besonderen Rhythmus.";""
"Was ist eine Strophe?";"Ein Wort";"Abschnitt in einem Gedicht";"Ein Reim";"Ein Buch";"B";"2";"8";"10";"gedichte";"Eine STROPHE ist eine Gruppe von Zeilen in einem Gedicht.";""
"Was ist ein Reim?";"Gleiches Wort";"Woerter die aehnlich klingen am Ende";"Langes Wort";"Kurzes Wort";"B";"1";"6";"8";"gedichte";"REIME sind Woerter die am Ende gleich klingen wie Haus und Maus.";""
"Was ist der Titel eines Buches?";"Autor";"Name des Buches";"Verlag";"Seitenzahl";"B";"1";"5";"7";"buchteile";"Der TITEL ist der Name eines Buches auf dem Umschlag.";""
"Wer ist der Autor eines Buches?";"Leser";"Schreiber des Buches";"Drucker";"Verkaeufer";"B";"1";"6";"8";"buchteile";"Der AUTOR ist die Person die das Buch geschrieben hat.";""
"Was ist ein Kapitel?";"Ganze Geschichte";"Abschnitt eines Buches";"Titel";"Autor";"B";"2";"7";"9";"buchteile";"KAPITEL sind Abschnitte die ein Buch unterteilen.";""
"Was ist das Inhaltsverzeichnis?";"Zusammenfassung";"Uebersicht aller Kapitel";"Ende des Buches";"Bilder";"B";"2";"7";"9";"buchteile";"Das INHALTSVERZEICHNIS zeigt alle Kapitel mit Seitenzahlen.";""
"Was steht im Klappentext?";"Preis";"Kurze Buchbeschreibung";"Alle Kapitel";"Autorenbilder";"B";"2";"8";"10";"buchteile";"Der KLAPPENTEXT beschreibt kurz worum es im Buch geht.";""
"Was ist eine Bibliothek?";"Buchhandlung";"Ort wo man Buecher leihen kann";"Schule";"Druckerei";"B";"1";"5";"7";"lesen";"In einer BIBLIOTHEK kann man Buecher kostenlos ausleihen.";""
"Was ist ein Sachbuch?";"Roman";"Buch mit echten Informationen";"Maerchen";"Krimi";"B";"2";"7";"9";"genres";"SACHBUECHER erklaeren echte Dinge wie Tiere oder Geschichte.";""
