frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist Geld?";"Nur Münzen";"Tauschmittel für Waren und Dienstleistungen";"Nur Scheine";"Nur Gold";"B";"1";"5";"7";"grundlagen";"GELD ist ein Tauschmittel – man kann damit Dinge kaufen und verkaufen.";""
"Was sind Münzen und Scheine?";"Spielzeug";"Bargeld";"Kreditkarten";"Schecks";"B";"1";"5";"7";"grundlagen";"Münzen und Scheine sind BARGELD – physisches Geld, das man anfassen kann.";""
"Was ist ein Preis?";"Die Farbe";"Was etwas kostet";"Die Größe";"Das Gewicht";"B";"1";"5";"7";"grundlagen";"Der PREIS sagt dir, wie viel Geld du für etwas bezahlen musst.";""
"Was bedeutet sparen?";"Alles ausgeben";"Geld für später aufbewahren";"Geld verlieren";"Geld leihen";"B";"1";"5";"7";"grundlagen";"SPAREN bedeutet, Geld nicht sofort auszugeben, sondern für später aufzuheben.";""
"Was ist ein Sparschwein?";"Ein echtes Schwein";"Behälter zum Aufbewahren von Geld";"Eine Bank";"Ein Geschäft";"B";"1";"5";"7";"grundlagen";"Ein SPARSCHWEIN ist ein Behälter, in dem man Münzen und Geld sammelt.";""
"Was ist eine Bank?";"Ein Sitzplatz";"Institut, das Geld verwaltet";"Ein Geschäft";"Ein Spiel";"B";"1";"6";"8";"institutionen";"Eine BANK ist ein Unternehmen, das Geld verwaltet, verleiht und aufbewahrt.";""
"Was ist ein Girokonto?";"Ein Sparkonto";"Konto für den täglichen Zahlungsverkehr";"Ein Kredit";"Eine Versicherung";"B";"2";"8";"10";"konten";"Ein GIROKONTO ist für den täglichen Zahlungsverkehr (Überweisungen, Gehalt...).";""
"Was ist ein Sparkonto?";"Ein Girokonto";"Konto zum Sparen mit Zinsen";"Ein Kredit";"Eine Aktie";"B";"2";"8";"10";"konten";"Auf einem SPARKONTO spart man Geld und bekommt dafür Zinsen.";""
"Was sind Zinsen?";"Steuern";"Gebühr für geliehenes Geld oder Belohnung fürs Sparen";"Schulden";"Gehalt";"B";"2";"8";"10";"grundlagen";"ZINSEN sind die Belohnung fürs Sparen oder die Kosten fürs Leihen von Geld.";""
"Was ist eine Überweisung?";"Bargeld";"Geld elektronisch von einem Konto zum anderen senden";"Ein Kredit";"Eine Rechnung";"B";"2";"8";"10";"zahlungsverkehr";"Eine ÜBERWEISUNG sendet Geld elektronisch von einem Konto zu einem anderen.";""
"Was ist eine EC-Karte/Girocard?";"Kreditkarte";"Karte zum Bezahlen direkt vom Girokonto";"Ausweis";"Führerschein";"B";"2";"8";"10";"zahlungsmittel";"Die GIROCARD (EC-Karte) zieht Geld direkt vom Girokonto ab.";""
"Was ist eine Kreditkarte?";"Eine EC-Karte";"Karte zum Bezahlen auf Kredit";"Ein Ausweis";"Ein Gutschein";"B";"3";"10";"12";"zahlungsmittel";"Mit einer KREDITKARTE bezahlt man auf Kredit – das Geld wird später abgebucht.";""
"Was ist ein Kredit?";"Geschenktes Geld";"Geliehenes Geld, das man zurückzahlen muss";"Erspartes Geld";"Verdientes Geld";"B";"2";"9";"11";"kredit";"Ein KREDIT ist geliehenes Geld, das mit Zinsen zurückgezahlt werden muss.";""
"Was sind Schulden?";"Erspartes";"Geld, das man anderen schuldet";"Geschenke";"Gehalt";"B";"2";"8";"10";"grundlagen";"SCHULDEN sind Geld, das man sich geliehen hat und zurückzahlen muss.";""
"Warum sollte man vorsichtig mit Schulden sein?";"Schulden sind gut";"Man muss mehr zurückzahlen als man geliehen hat";"Schulden verschwinden";"Schulden sind egal";"B";"2";"9";"11";"finanzbildung";"SCHULDEN kosten Zinsen – man zahlt mehr zurück, als man geliehen hat!";""
"Was ist ein Budget?";"Nur Ausgaben";"Plan für Einnahmen und Ausgaben";"Nur Einnahmen";"Ein Konto";"B";"2";"9";"11";"planung";"Ein BUDGET ist ein Plan, der zeigt, wie viel Geld man hat und wofür man es ausgibt.";""
"Was sind Einnahmen?";"Ausgaben";"Geld, das man bekommt";"Schulden";"Steuern";"B";"1";"7";"9";"grundlagen";"EINNAHMEN ist Geld, das du bekommst (Gehalt, Taschengeld, Geschenke...).";""
"Was sind Ausgaben?";"Einnahmen";"Geld, das man ausgibt";"Ersparnisse";"Zinsen";"B";"1";"7";"9";"grundlagen";"AUSGABEN ist Geld, das du für Dinge bezahlst.";""
"Was ist Gehalt/Lohn?";"Taschengeld";"Bezahlung für Arbeit";"Ein Geschenk";"Ein Kredit";"B";"2";"8";"10";"einkommen";"GEHALT oder LOHN ist das Geld, das man für seine Arbeit bekommt.";""
