frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Welcher Buchstabe kommt nach A?";"B";"C";"D";"E";"A";"1";"5";"6";"alphabet";"Nach A kommt B. Das Alphabet beginnt mit A, B, C...";""
"Welcher Buchstabe kommt vor C?";"A";"B";"D";"E";"B";"1";"5";"6";"alphabet";"Vor C kommt B. A, B, C - B steht in der Mitte.";""
"Mit welchem Buchstaben beginnt das Wort APFEL?";"A";"P";"F";"E";"A";"1";"5";"6";"anfangsbuchstabe";"APFEL beginnt mit A. Der erste Buchstabe ist immer der Anfangsbuchstabe.";""
"Mit welchem Buchstaben beginnt das Wort BALL?";"A";"B";"L";"K";"B";"1";"5";"6";"anfangsbuchstabe";"BALL beginnt mit B. B-A-L-L.";""
"Mit welchem Buchstaben beginnt das Wort HAUS?";"A";"S";"H";"U";"C";"1";"5";"6";"anfangsbuchstabe";"HAUS beginnt mit H. H-A-U-S.";""
"Welches Wort reimt sich auf MAUS?";"Katze";"Hund";"Haus";"Vogel";"C";"1";"5";"6";"reime";"MAUS reimt sich auf HAUS. Beide enden auf -AUS.";""
"Welches Wort reimt sich auf HUND?";"Katze";"Mund";"Tier";"Fell";"B";"1";"5";"6";"reime";"HUND reimt sich auf MUND. Beide enden auf -UND.";""
"Welches Wort reimt sich auf BAUM?";"Blatt";"Traum";"Wald";"Ast";"B";"1";"5";"6";"reime";"BAUM reimt sich auf TRAUM. Beide enden auf -AUM.";""
"Wie viele Silben hat das Wort MAMA?";"1";"2";"3";"4";"B";"1";"5";"6";"silben";"MA-MA hat 2 Silben. Man klatscht zwei Mal.";""
"Wie viele Silben hat das Wort BANANE?";"2";"3";"4";"5";"B";"1";"5";"7";"silben";"BA-NA-NE hat 3 Silben. Man klatscht drei Mal.";""
"Wie viele Silben hat das Wort SCHMETTERLING?";"2";"3";"4";"5";"C";"1";"6";"8";"silben";"SCHMET-TER-LING hat 3 Silben. Obwohl es lang ist!";""
"Welches ist ein Nomen (Namenwort)?";"laufen";"schnell";"Tisch";"grün";"C";"2";"6";"8";"wortarten";"TISCH ist ein Nomen. Nomen kann man anfassen und sie haben einen Artikel.";""
"Welches ist ein Verb (Tunwort)?";"Haus";"spielen";"schön";"der";"B";"2";"6";"8";"wortarten";"SPIELEN ist ein Verb. Verben beschreiben was man tut.";""
"Welches ist ein Adjektiv (Wiewort)?";"Baum";"laufen";"groß";"ich";"C";"2";"6";"8";"wortarten";"GROSS ist ein Adjektiv. Adjektive beschreiben wie etwas ist.";""
"Was ist der richtige Artikel: ___ Hund?";"der";"die";"das";"den";"A";"2";"6";"8";"artikel";"DER Hund. Hund ist männlich (maskulin).";""
"Was ist der richtige Artikel: ___ Katze?";"der";"die";"das";"den";"B";"2";"6";"8";"artikel";"DIE Katze. Katze ist weiblich (feminin).";""
"Was ist der richtige Artikel: ___ Kind?";"der";"die";"das";"den";"C";"2";"6";"8";"artikel";"DAS Kind. Kind ist sächlich (neutral).";""
"Welches Wort ist falsch geschrieben?";"Schule";"Feler";"Buch";"Stift";"B";"2";"6";"8";"rechtschreibung";"FELER ist falsch. Richtig: FEHLER mit H.";""
"Welches Satzzeichen steht am Ende einer Frage?";".";"!";"?";";";"C";"2";"6";"8";"satzzeichen";"Am Ende einer Frage steht ein Fragezeichen (?).";""
"Welches Satzzeichen steht am Ende eines Ausrufs?";".";"!";"?";";";"B";"2";"6";"8";"satzzeichen";"Am Ende eines Ausrufs steht ein Ausrufezeichen (!).";""
"Die Katze sitzt ___ dem Tisch.";"auf";"an";"in";"bei";"A";"2";"7";"9";"praepositionen";"AUF dem Tisch. Die Katze sitzt oben drauf.";""
"Der Ball liegt ___ dem Bett.";"auf";"über";"unter";"neben";"C";"2";"7";"9";"praepositionen";"UNTER dem Bett. Der Ball ist darunter.";""
"Was ist die Mehrzahl von HAUS?";"Haus";"Häuse";"Häuser";"Hauses";"C";"2";"7";"9";"plural";"Die Mehrzahl von HAUS ist HÄUSER.";""
"Was ist die Mehrzahl von KIND?";"Kinds";"Kinde";"Kinder";"Kindes";"C";"2";"7";"9";"plural";"Die Mehrzahl von KIND ist KINDER.";""
"Was ist die Mehrzahl von APFEL?";"Apfeln";"Äpfels";"Äpfel";"Apfel";"C";"2";"7";"9";"plural";"Die Mehrzahl von APFEL ist ÄPFEL mit Umlaut.";""
"Welches Wort ist ein Gegenteil von GROSS?";"riesig";"klein";"hoch";"weit";"B";"2";"7";"9";"antonyme";"Das Gegenteil von GROSS ist KLEIN.";""
"Welches Wort ist ein Gegenteil von SCHNELL?";"langsam";"eilig";"rasch";"flink";"A";"2";"7";"9";"antonyme";"Das Gegenteil von SCHNELL ist LANGSAM.";""
"Welches Wort ist ein Gegenteil von HELL?";"leuchtend";"dunkel";"strahlend";"glänzend";"B";"2";"7";"9";"antonyme";"Das Gegenteil von HELL ist DUNKEL.";""
"Welches Wort bedeutet dasselbe wie FROH?";"traurig";"glücklich";"müde";"wütend";"B";"2";"7";"9";"synonyme";"FROH und GLÜCKLICH bedeuten dasselbe.";""
"Welches Wort bedeutet dasselbe wie ANFANG?";"Ende";"Mitte";"Beginn";"Schluss";"C";"2";"7";"9";"synonyme";"ANFANG und BEGINN bedeuten dasselbe.";""
"In welcher Zeit steht der Satz: Ich esse einen Apfel?";"Vergangenheit";"Gegenwart";"Zukunft";"Keine";"B";"3";"8";"10";"zeitformen";"ESSE ist Präsens (Gegenwart). Es passiert jetzt.";""
"In welcher Zeit steht: Ich aß einen Apfel?";"Vergangenheit";"Gegenwart";"Zukunft";"Keine";"A";"3";"8";"10";"zeitformen";"ASS ist Präteritum (Vergangenheit). Es ist schon passiert.";""
"In welcher Zeit steht: Ich werde einen Apfel essen?";"Vergangenheit";"Gegenwart";"Zukunft";"Keine";"C";"3";"8";"10";"zeitformen";"WERDE ESSEN ist Futur (Zukunft). Es wird passieren.";""
"Welche Satzart ist: Geh in dein Zimmer!";"Aussagesatz";"Fragesatz";"Aufforderungssatz";"Ausrufesatz";"C";"3";"8";"10";"satzarten";"Das ist ein Aufforderungssatz (Imperativ). Es fordert auf.";""
"Welche Satzart ist: Der Himmel ist blau.";"Aussagesatz";"Fragesatz";"Aufforderungssatz";"Ausrufesatz";"A";"3";"8";"10";"satzarten";"Das ist ein Aussagesatz. Er sagt etwas aus.";""
"Was ist das Subjekt in: Der Hund bellt laut?";"bellt";"laut";"Der Hund";"der";"C";"3";"9";"11";"satzglieder";"DER HUND ist das Subjekt. Wer oder was bellt?";""
"Was ist das Prädikat in: Die Katze schläft?";"Die";"Katze";"schläft";"Die Katze";"C";"3";"9";"11";"satzglieder";"SCHLÄFT ist das Prädikat (Verb). Was tut die Katze?";""
"Was ist das Objekt in: Ich esse einen Apfel?";"Ich";"esse";"einen Apfel";"einen";"C";"3";"9";"11";"satzglieder";"EINEN APFEL ist das Objekt. Wen oder was esse ich?";""
"Welches Wort schreibt man groß?";"laufen";"schnell";"montag";"alle";"C";"3";"8";"10";"grossschreibung";"MONTAG schreibt man groß, weil es ein Wochentag ist.";""
"Wann schreibt man Nomen groß?";"Nie";"Immer";"Manchmal";"Am Satzanfang";"B";"3";"8";"10";"grossschreibung";"Nomen (Hauptwörter) schreibt man IMMER groß.";""
"Welche Silbentrennung ist richtig?";"Ap-fel";"A-pfel";"Apf-el";"Apfe-l";"A";"3";"8";"10";"silbentrennung";"AP-FEL. Zwischen zwei Konsonanten trennt man.";""
"Welche Silbentrennung ist richtig?";"Blu-me";"Blum-e";"B-lume";"Bl-ume";"A";"3";"8";"10";"silbentrennung";"BLU-ME. Vor einem einzelnen Konsonanten trennt man.";""
"Was ist ein zusammengesetztes Nomen?";"Haus";"Haustür";"groß";"gehen";"B";"3";"9";"11";"komposita";"HAUSTÜR = HAUS + TÜR. Zwei Wörter werden eins.";""
"Aus welchen Wörtern besteht HANDSCHUH?";"Hand + Schuh";"Han + Dschuh";"Hands + Chuh";"H + Andschuh";"A";"3";"9";"11";"komposita";"HANDSCHUH = HAND + SCHUH. Logisch zusammengesetzt.";""
"Was ist die Vorsilbe in AUFSTEHEN?";"auf";"steh";"stehen";"en";"A";"3";"9";"11";"vorsilben";"AUF- ist die Vorsilbe. Sie steht vor dem Wortstamm.";""
"Was ist die Nachsilbe in FREUNDLICH?";"Freund";"freund";"-lich";"ich";"C";"3";"9";"11";"nachsilben";"-LICH ist die Nachsilbe. Sie macht aus FREUND ein Adjektiv.";""
"In welchem Fall steht: dem Mann?";"Nominativ";"Genitiv";"Dativ";"Akkusativ";"C";"4";"10";"12";"kasus";"DEM MANN ist Dativ. Frage: Wem?";""
"In welchem Fall steht: des Hundes?";"Nominativ";"Genitiv";"Dativ";"Akkusativ";"B";"4";"10";"12";"kasus";"DES HUNDES ist Genitiv. Frage: Wessen?";""
"In welchem Fall steht: den Ball?";"Nominativ";"Genitiv";"Dativ";"Akkusativ";"D";"4";"10";"12";"kasus";"DEN BALL ist Akkusativ. Frage: Wen oder was?";""
"Welches Tempus ist das Plusquamperfekt?";"Vorzukunft";"Vorgegenwart";"Vorvergangenheit";"Nachvergangenheit";"C";"4";"11";"13";"zeitformen";"Plusquamperfekt ist die VORVERGANGENHEIT. Vor der Vergangenheit.";""
"Bilde das Perfekt: Er geht nach Hause.";"Er ging";"Er ist gegangen";"Er wird gehen";"Er geht";"B";"4";"10";"12";"zeitformen";"Perfekt: Er IST gegangen. Mit sein/haben + Partizip II.";""
"Was ist ein Relativsatz?";"Ein Hauptsatz";"Ein Nebensatz mit Relativpronomen";"Ein Fragesatz";"Ein Ausrufesatz";"B";"4";"12";"14";"nebensaetze";"Ein Relativsatz ist ein NEBENSATZ, der mit der, die, das etc. beginnt.";""
"Welches ist ein Relativpronomen?";"weil";"dass";"welcher";"obwohl";"C";"4";"12";"14";"pronomen";"WELCHER ist ein Relativpronomen. Auch: der, die, das.";""
"Was verbindet Haupt- und Nebensatz?";"Punkt";"Komma";"Ausrufezeichen";"Fragezeichen";"B";"3";"10";"12";"kommasetzung";"Ein KOMMA trennt Haupt- und Nebensatz.";""
"Wann steht ein Komma?";"Vor und";"Nach und";"Zwischen Haupt- und Nebensatz";"Nie";"C";"3";"10";"12";"kommasetzung";"ZWISCHEN HAUPT- UND NEBENSATZ steht immer ein Komma.";""
"Was ist direkte Rede?";"Erzählte Rede";"Wörtliche Rede in Anführungszeichen";"Gedachte Rede";"Stumme Rede";"B";"4";"10";"12";"direkte_rede";"Direkte Rede ist die WÖRTLICHE REDE in Anführungszeichen.";""
"Wie beginnt die direkte Rede?";"Mit Punkt";"Mit Anführungszeichen unten";"Mit Komma";"Mit Doppelpunkt";"B";"4";"10";"12";"direkte_rede";"Direkte Rede beginnt mit ANFÜHRUNGSZEICHEN UNTEN.";""
"Was ist der Unterschied zwischen das und dass?";"Keiner";"das = Artikel/Pronomen, dass = Konjunktion";"das = Verb, dass = Nomen";"das = kurz, dass = lang";"B";"4";"10";"12";"rechtschreibung";"DAS ist Artikel/Pronomen, DASS ist Konjunktion (Bindewort).";""
"Wann schreibt man ss statt ß?";"Nach kurzem Vokal";"Nach langem Vokal";"Am Wortanfang";"Nie";"A";"4";"10";"12";"rechtschreibung";"Nach KURZEM Vokal: ss. Nach langem Vokal: ß.";""
"Welches Wort ist richtig geschrieben?";"Rhythmus";"Rythmus";"Rhytmus";"Rytmus";"A";"5";"12";"15";"rechtschreibung";"RHYTHMUS mit H nach R und vor Y. Griechischer Ursprung.";""
"Welches Wort ist richtig geschrieben?";"Symetrie";"Symmetrie";"Simetrie";"Simmetrie";"B";"5";"12";"15";"rechtschreibung";"SYMMETRIE mit Y und MM. Aus dem Griechischen.";""
"Was ist eine Metapher?";"Ein Vergleich mit wie";"Ein bildlicher Ausdruck ohne wie";"Eine Übertreibung";"Eine Untertreibung";"B";"4";"12";"14";"stilmittel";"Eine Metapher ist ein BILDLICHER AUSDRUCK ohne Vergleichswort.";""
"Welches ist eine Metapher?";"Schnell wie der Wind";"Ein Meer aus Blumen";"Sehr groß";"Ziemlich schnell";"B";"4";"12";"14";"stilmittel";"EIN MEER AUS BLUMEN ist eine Metapher. Kein echtes Meer.";""
"Was ist eine Alliteration?";"Wiederholung des Anfangsbuchstabens";"Wiederholung am Ende";"Übertreibung";"Verniedlichung";"A";"4";"12";"14";"stilmittel";"Alliteration = gleicher ANFANGSBUCHSTABE: Milch macht müde Männer munter.";""
"Was ist ein Oxymoron?";"Gleiche Wörter";"Gegensätzliche Begriffe verbunden";"Übertreibung";"Verniedlichung";"B";"5";"14";"17";"stilmittel";"Oxymoron = GEGENSÄTZE verbunden: bittersüß, alter Knabe.";""
"Was ist eine Anapher?";"Wiederholung am Satzanfang";"Wiederholung am Satzende";"Ein Vergleich";"Eine Übertreibung";"A";"5";"14";"17";"stilmittel";"Anapher = Wiederholung AM SATZANFANG: Ich sehe, ich höre, ich fühle.";""
"Was ist eine Hyperbel?";"Untertreibung";"Übertreibung";"Vergleich";"Gegensatz";"B";"4";"13";"15";"stilmittel";"Hyperbel = ÜBERTREIBUNG: Ich hab dir das schon tausendmal gesagt!";""
"Welche Textsorte erzählt eine Geschichte?";"Bericht";"Beschreibung";"Erzählung";"Protokoll";"C";"3";"10";"12";"textsorten";"Eine ERZÄHLUNG erzählt eine Geschichte mit Handlung.";""
"Was ist typisch für einen Bericht?";"Spannung";"W-Fragen beantworten";"Reime";"Dialoge";"B";"3";"10";"12";"textsorten";"Ein Bericht beantwortet die W-FRAGEN: Wer? Was? Wann? Wo? Wie? Warum?";""
"Was ist eine Erörterung?";"Gedicht";"Sachliche Argumentation mit Pro und Contra";"Geschichte";"Beschreibung";"B";"5";"14";"17";"textsorten";"Erörterung = sachliche ARGUMENTATION mit Pro und Contra.";""
"Was gehört zur Einleitung einer Erörterung?";"Fazit";"Argumente";"Hinführung zum Thema";"Beispiele";"C";"5";"14";"17";"textsorten";"Die Einleitung enthält die HINFÜHRUNG ZUM THEMA und die These.";""
"Was ist ein Protagonist?";"Gegenspieler";"Hauptfigur";"Nebenfigur";"Erzähler";"B";"4";"12";"14";"literatur";"Der Protagonist ist die HAUPTFIGUR einer Geschichte.";""
"Was ist ein Antagonist?";"Hauptfigur";"Gegenspieler der Hauptfigur";"Erzähler";"Autor";"B";"4";"12";"14";"literatur";"Der Antagonist ist der GEGENSPIELER der Hauptfigur.";""
"Was ist der Erzähler?";"Der Autor";"Die Person, die die Geschichte erzählt";"Die Hauptfigur";"Der Leser";"B";"4";"12";"14";"literatur";"Der Erzähler ist die ERZÄHLENDE INSTANZ, nicht der Autor!";""
"Was ist ein auktorialer Erzähler?";"Ich-Erzähler";"Allwissender Erzähler";"Personaler Erzähler";"Neutraler Erzähler";"B";"5";"14";"17";"literatur";"Auktorial = ALLWISSEND. Der Erzähler weiß alles.";""
"Was bedeutet chronologisch erzählen?";"Rückwärts";"In zeitlicher Reihenfolge";"Durcheinander";"Von der Mitte aus";"B";"4";"12";"14";"literatur";"Chronologisch = IN ZEITLICHER REIHENFOLGE, von Anfang bis Ende.";""
"Was ist ein Rückblick in einer Geschichte?";"Flashforward";"Flashback";"Cliffhanger";"Epilog";"B";"4";"13";"15";"literatur";"Rückblick = FLASHBACK. Man springt in die Vergangenheit.";""
"Was ist ein Cliffhanger?";"Ein Ende";"Spannender Abbruch am Höhepunkt";"Ein Anfang";"Eine Zusammenfassung";"B";"4";"12";"14";"literatur";"Cliffhanger = SPANNENDER ABBRUCH. Man will wissen, wie es weitergeht!";""
"Was ist eine Ballade?";"Nur ein Gedicht";"Mischung aus Lyrik, Epik und Dramatik";"Nur eine Geschichte";"Nur ein Drama";"B";"5";"13";"15";"lyrik";"Eine Ballade vereint LYRIK, EPIK und DRAMATIK.";""
"Was ist ein Sonett?";"14-zeiliges Gedicht";"20-zeiliges Gedicht";"Freies Gedicht";"Reimloses Gedicht";"A";"5";"15";"18";"lyrik";"Ein Sonett hat 14 ZEILEN: 2 Quartette + 2 Terzette.";""
"Was ist ein Jambus?";"Unbetont-betont";"Betont-unbetont";"Betont-betont";"Unbetont-unbetont";"A";"5";"15";"18";"lyrik";"Jambus = UNBETONT-BETONT: da-DUM (Ge-SPENST).";""
"Was ist ein Trochäus?";"Unbetont-betont";"Betont-unbetont";"Betont-betont";"Unbetont-unbetont";"B";"5";"15";"18";"lyrik";"Trochäus = BETONT-UNBETONT: DUM-da (HIM-mel).";""
"Was ist ein Paarreim?";"aabb";"abab";"abba";"abcd";"A";"4";"12";"14";"lyrik";"Paarreim = AABB. Zwei aufeinanderfolgende Verse reimen sich.";""
"Was ist ein Kreuzreim?";"aabb";"abab";"abba";"abcd";"B";"4";"12";"14";"lyrik";"Kreuzreim = ABAB. Verse reimen sich über Kreuz.";""
"Was ist ein umarmender Reim?";"aabb";"abab";"abba";"abcd";"C";"4";"12";"14";"lyrik";"Umarmender Reim = ABBA. Der äußere Reim umarmt den inneren.";""
"Wer schrieb 'Faust'?";"Schiller";"Goethe";"Lessing";"Kleist";"B";"4";"13";"16";"literatur";"GOETHE schrieb Faust. Sein berühmtestes Werk.";""
"Wer schrieb 'Die Räuber'?";"Goethe";"Schiller";"Lessing";"Fontane";"B";"4";"13";"16";"literatur";"SCHILLER schrieb Die Räuber. Ein Sturm-und-Drang-Drama.";""
"Was ist die Epoche der Weimarer Klassik?";"1770-1785";"1786-1832";"1850-1900";"1900-1920";"B";"5";"15";"18";"literaturepochen";"Weimarer Klassik: 1786-1832. Goethe und Schiller.";""
"Was kennzeichnet die Romantik?";"Vernunft";"Gefühl, Natur, Sehnsucht";"Realismus";"Sachlichkeit";"B";"5";"15";"18";"literaturepochen";"Romantik = GEFÜHL, NATUR, SEHNSUCHT. Gegen die reine Vernunft.";""
"Was ist Expressionismus?";"Sachliche Kunst";"Gefühlsbetonte, verzerrte Darstellung";"Realistische Kunst";"Klassische Kunst";"B";"5";"16";"21";"literaturepochen";"Expressionismus = VERZERRTE, gefühlsbetonte Darstellung der inneren Welt.";""
