frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Kann man einen halben Bitcoin besitzen?";"Nein nur ganze";"Ja Bitcoin ist teilbar bis 8 Nachkommastellen";"Nur bis 2 Nachkommastellen";"Nur als Muenze";"B";"1";"6";"8";"grundlagen";"Bitcoin ist sehr TEILBAR - du kannst auch ganz kleine Mengen besitzen!";""
"Was ist der Vorteil von digitalem Geld?";"Keiner";"Man kann es ueberall hin schicken";"Es ist schwer";"Es ist physisch";"B";"1";"6";"8";"grundlagen";"DIGITALES GELD kann schnell um die ganze Welt geschickt werden!";""
"Braucht man eine Bank fuer Bitcoin?";"Ja unbedingt";"Nein man ist seine eigene Bank";"Manchmal";"Nur zum Kaufen";"B";"1";"7";"9";"grundlagen";"Bei Bitcoin bist du DEINE EIGENE BANK - keine Bank noetig!";""
"Kann jemand deine Bitcoin wegnehmen wenn du den Private Key hast?";"Ja die Bank";"Nein niemand ohne den Key";"Ja die Regierung";"Ja der Erfinder";"B";"2";"8";"10";"sicherheit";"Nur wer deinen PRIVATE KEY hat kann deine Bitcoin bewegen - niemand sonst!";""
"Was ist das Besondere an 21 Millionen?";"Nichts";"Es wird nie mehr Bitcoin geben";"Es ist eine Schaetzung";"Es aendert sich";"B";"2";"8";"10";"grundlagen";"21 Millionen ist die ABSOLUTE OBERGRENZE - mathematisch festgelegt und unveraenderbar!";""
"Wo werden Bitcoin gespeichert?";"In der Wallet";"In der Blockchain - die Wallet hat nur die Keys";"Bei der Bank";"Auf dem Handy";"B";"3";"10";"12";"technologie";"Bitcoin sind IN DER BLOCKCHAIN - die Wallet speichert nur die Schluessel zum Zugriff!";""
"Welches Land hat Bitcoin als Zahlungsmittel eingefuehrt?";"Deutschland";"El Salvador";"USA";"China";"B";"3";"10";"12";"geschichte";"EL SALVADOR machte Bitcoin 2021 zum offiziellen Zahlungsmittel - als erstes Land!";""
"Was ist ein Bitcoin ETF?";"Eine Boerse";"Fonds der Bitcoin-Preis abbildet";"Eine Wallet";"Eine App";"B";"4";"13";"15";"handel";"Ein BITCOIN ETF ist ein Fonds an der Boerse der den Bitcoin-Preis abbildet.";""
"Wann wurden Bitcoin Spot ETFs in den USA zugelassen?";"2020";"Januar 2024";"2018";"Noch nie";"B";"4";"13";"15";"geschichte";"Im Januar 2024 wurden die ersten SPOT ETFs in den USA genehmigt - ein Meilenstein!";""
"Was ist SegWit?";"Ein Fehler";"Upgrade das Transaktionen effizienter macht";"Eine Wallet";"Ein Altcoin";"B";"5";"14";"17";"technologie";"SEGWIT trennt Signaturen ab und macht Transaktionen kleiner und guenstiger.";""
"Was ist Taproot?";"Eine Wurzel";"Bitcoin Upgrade von 2021 fuer mehr Privacy";"Ein Baum";"Eine neue Coin";"B";"5";"14";"17";"technologie";"TAPROOT verbessert Privacy und ermoeglicht komplexere Smart Contracts.";""
"Was sind Ordinals?";"Nummern";"NFTs auf der Bitcoin Blockchain";"Neue Coins";"Fehler";"B";"5";"14";"17";"technologie";"ORDINALS sind digitale Artefakte direkt auf der Bitcoin Blockchain seit 2023.";""
"Was ist eine Multisig Wallet?";"Eine Wallet";"Wallet die mehrere Unterschriften braucht";"Eine Hardware Wallet";"Eine App";"B";"4";"13";"15";"sicherheit";"MULTISIG braucht mehrere Keys zum Signieren - z.B. 2 von 3 muessen zustimmen.";""
"Wofuer ist Multisig gut?";"Schnellere Transaktionen";"Mehr Sicherheit durch mehrere Schluessel";"Guenstigere Gebuehren";"Mehr Bitcoin";"B";"4";"13";"15";"sicherheit";"MULTISIG schuetzt vor Verlust eines Keys und macht Diebstahl schwieriger.";""
"Kann man Bitcoin anonym nutzen?";"Ja komplett";"Pseudonym - Adressen sind oeffentlich sichtbar";"Nein gar nicht";"Nur mit VPN";"B";"4";"12";"14";"privacy";"Bitcoin ist PSEUDONYM - Transaktionen sind oeffentlich aber Namen nicht direkt verknuepft.";""
"Was ist ein Block Explorer?";"Ein Spiel";"Website zum Durchsuchen der Blockchain";"Ein Browser";"Eine Wallet";"B";"3";"10";"12";"werkzeuge";"Mit einem BLOCK EXPLORER kannst du alle Bitcoin-Transaktionen nachschauen.";""
"Wie hoch war der Bitcoin Preis am Anfang?";"1000 Dollar";"Praktisch 0 - fast wertlos";"100 Dollar";"1 Dollar";"B";"2";"9";"11";"geschichte";"Am Anfang war Bitcoin fast WERTLOS - die erste Pizza kostete 10.000 BTC!";""
"Was ist der Bitcoin Pizza Day?";"Pizzaverkauf";"Tag an dem 2 Pizzen fuer 10.000 BTC gekauft wurden";"Pizza Erfindung";"Feiertag";"B";"3";"10";"12";"geschichte";"Am 22. Mai 2010 wurden 2 Pizzen fuer 10.000 BTC gekauft - erster realer Kauf!";""
"Wie viel waeren die Bitcoin Pizzen heute wert?";"1000 Euro";"Hunderte Millionen Dollar";"10.000 Euro";"1 Million";"B";"3";"10";"12";"geschichte";"Die 10.000 BTC von damals waeren heute HUNDERTE MILLIONEN wert!";""
"Was passiert bei einem 51 Prozent Angriff?";"Nichts";"Jemand koennte Transaktionen rueckgaengig machen";"Bitcoin stoppt";"Alle verlieren Geld";"B";"5";"14";"17";"sicherheit";"Bei 51% Kontrolle koennte man Transaktionen umschreiben - aber extrem teuer!";""
"Warum ist ein 51 Prozent Angriff unwahrscheinlich?";"Weil es verboten ist";"Weil es extrem teuer waere";"Weil es unmoeglich ist";"Weil Satoshi es verhindert";"B";"5";"14";"17";"sicherheit";"Ein Angriff waere EXTREM TEUER und man wuerde viel Geld verlieren.";""
"Was kritisieren manche am Bitcoin-Stromverbrauch?";"Zu wenig";"Zu hoher Energieverbrauch";"Zu schnell";"Zu langsam";"B";"3";"11";"13";"kritik";"Kritiker sagen Bitcoin verbraucht zu viel Strom - Befuerworter sagen es sichert das Netzwerk.";""
"Was sagen Bitcoin-Befuerworter zum Stromverbrauch?";"Es ist zu viel";"Es sichert das Netzwerk und nutzt oft erneuerbare Energie";"Es sollte mehr sein";"Es ist egal";"B";"3";"11";"13";"kritik";"Befuerworter sagen: Der Strom SICHERT das Netzwerk und oft wird ueberschuessige Energie genutzt.";""
"Was ist ein Sybil-Angriff?";"Ein Virus";"Jemand erstellt viele falsche Identitaeten";"Ein Hack";"Ein Diebstahl";"B";"5";"15";"18";"sicherheit";"SYBIL ANGRIFF: Jemand erstellt viele Fake-Nodes - Proof of Work macht das teuer.";""
"Was ist Double Spending?";"Doppelt kaufen";"Versuch dieselben Bitcoin zweimal auszugeben";"Doppelt sparen";"Doppelter Preis";"B";"4";"13";"15";"sicherheit";"DOUBLE SPENDING: Versuchen dieselben Coins zweimal auszugeben - Bitcoin verhindert das!";""
"Wie verhindert Bitcoin Double Spending?";"Durch Banken";"Durch die Blockchain und Proof of Work";"Gar nicht";"Durch Regeln";"B";"4";"13";"15";"technologie";"Die BLOCKCHAIN speichert alle Transaktionen - Double Spending wird abgelehnt!";""
"Was ist BTCPay Server?";"Eine Bank";"Open Source Software fuer Bitcoin-Zahlungen";"Eine Boerse";"Eine Wallet";"B";"4";"13";"15";"nutzung";"BTCPAY SERVER ermoeglicht Haendlern Bitcoin-Zahlungen ohne Mittelsmann.";""
