frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was zieht uns zur Erde?";"Magnetismus";"Schwerkraft";"Wind";"Licht";"B";"1";"5";"7";"mechanik";"Die SCHWERKRAFT (Gravitation) zieht alles zur Erde.";""
"Warum fällt ein Ball auf den Boden?";"Weil er schwer ist";"Wegen der Schwerkraft";"Weil er rund ist";"Wegen der Luft";"B";"1";"5";"7";"mechanik";"Die SCHWERKRAFT zieht den Ball zur Erde.";""
"Was passiert, wenn du einen Lichtschalter anmachst?";"Wasser fließt";"Strom fließt und die Lampe leuchtet";"Gas strömt";"Nichts";"B";"1";"5";"7";"elektrizitaet";"STROM fließt durch die Leitung und bringt die Lampe zum Leuchten.";""
"Was braucht eine Taschenlampe zum Leuchten?";"Wasser";"Batterien";"Benzin";"Wind";"B";"1";"5";"7";"elektrizitaet";"BATTERIEN liefern den Strom für die Taschenlampe.";""
"Welche Farbe hat Licht, wenn alle Farben zusammen sind?";"Schwarz";"Weiß";"Rot";"Blau";"B";"2";"6";"8";"optik";"WEISSES Licht enthält alle Farben des Regenbogens.";""
"Wie entsteht ein Regenbogen?";"Durch Wind";"Durch Lichtbrechung in Wassertropfen";"Durch Wolken";"Durch Kälte";"B";"2";"7";"9";"optik";"Licht bricht sich in WASSERTROPFEN und teilt sich in Farben.";""
"Was ist schneller: Licht oder Schall?";"Schall";"Licht";"Gleich schnell";"Kommt drauf an";"B";"2";"7";"9";"wellen";"LICHT ist viel schneller als Schall (300.000 km/s vs. 343 m/s).";""
"Warum siehst du den Blitz vor dem Donner?";"Blitz ist lauter";"Licht ist schneller als Schall";"Donner ist langsamer";"Zufall";"B";"2";"7";"9";"wellen";"LICHT ist schneller als Schall, deshalb sehen wir den Blitz zuerst.";""
"Was ist ein Magnet?";"Ein Stein";"Ein Objekt, das Eisen anzieht";"Ein Stück Holz";"Ein Gas";"B";"1";"6";"8";"magnetismus";"Ein MAGNET zieht Eisen und einige andere Metalle an.";""
"Welche Pole hat ein Magnet?";"Ost und West";"Nord und Süd";"Oben und Unten";"Links und Rechts";"B";"2";"7";"9";"magnetismus";"Magnete haben einen NORD- und einen SÜDPOL.";""
"Was passiert, wenn sich gleiche Magnetpole treffen?";"Sie ziehen sich an";"Sie stoßen sich ab";"Nichts";"Sie kleben zusammen";"B";"2";"7";"9";"magnetismus";"GLEICHE Pole stoßen sich ab, UNGLEICHE ziehen sich an.";""
"Was ist Energie?";"Nur Strom";"Die Fähigkeit, Arbeit zu verrichten";"Nur Wärme";"Nur Bewegung";"B";"2";"8";"10";"energie";"ENERGIE ist die Fähigkeit, Arbeit zu verrichten.";""
"Was ist Bewegungsenergie?";"Lageenergie";"Kinetische Energie";"Wärmeenergie";"Lichtenergie";"B";"3";"9";"11";"energie";"BEWEGUNGSENERGIE = kinetische Energie. Je schneller, desto mehr.";""
"Was ist Lageenergie?";"Bewegungsenergie";"Potentielle Energie";"Wärmeenergie";"Schallenergie";"B";"3";"9";"11";"energie";"LAGEENERGIE = potentielle Energie. Ein Ball auf einem Berg hat Lageenergie.";""
"Kann Energie vernichtet werden?";"Ja";"Nein, nur umgewandelt";"Manchmal";"Nur bei Kälte";"B";"3";"9";"11";"energie";"Energie kann nur UMGEWANDELT, nicht erzeugt oder vernichtet werden.";""
"Was ist Wärme?";"Eine Farbe";"Bewegung von Teilchen";"Ein Gas";"Licht";"B";"2";"8";"10";"thermodynamik";"WÄRME ist die Bewegung von Atomen und Molekülen.";""
"In welcher Einheit messen wir Temperatur?";"Meter";"Grad Celsius";"Kilogramm";"Liter";"B";"1";"6";"8";"thermodynamik";"Temperatur messen wir in GRAD CELSIUS (°C) oder Kelvin.";""
"Was ist der absolute Nullpunkt?";"0°C";"-273°C (0 Kelvin)";"100°C";"-100°C";"B";"4";"12";"14";"thermodynamik";"ABSOLUTER NULLPUNKT = -273,15°C = 0 Kelvin. Keine Bewegung mehr.";""
"Wie breitet sich Wärme aus?";"Nur durch Luft";"Durch Leitung, Strahlung und Konvektion";"Nur durch Wasser";"Gar nicht";"B";"3";"10";"12";"thermodynamik";"Wärme breitet sich durch LEITUNG, STRAHLUNG und KONVEKTION aus.";""
"Was ist Schall?";"Lichtwellen";"Schwingungen durch ein Medium";"Elektrische Impulse";"Magnetwellen";"B";"2";"8";"10";"akustik";"SCHALL sind Schwingungen, die sich durch Luft, Wasser etc. ausbreiten.";""
"Kann Schall sich im Vakuum ausbreiten?";"Ja";"Nein";"Nur langsam";"Nur schnell";"B";"3";"9";"11";"akustik";"NEIN! Schall braucht ein Medium (Luft, Wasser, Festkörper).";""
"Was ist die Einheit der Frequenz?";"Meter";"Hertz";"Watt";"Volt";"B";"3";"10";"12";"akustik";"Frequenz wird in HERTZ (Hz) gemessen = Schwingungen pro Sekunde.";""
"Was bestimmt die Tonhöhe?";"Lautstärke";"Frequenz";"Geschwindigkeit";"Farbe";"B";"3";"10";"12";"akustik";"Je höher die FREQUENZ, desto höher der Ton.";""
"Was ist die Schallgeschwindigkeit in Luft?";"100 m/s";"343 m/s";"1000 m/s";"300.000 km/s";"B";"4";"11";"13";"akustik";"Schall in Luft: ca. 343 m/s (bei 20°C).";""
"Was ist die Lichtgeschwindigkeit?";"343 m/s";"1000 km/h";"300.000 km/s";"1 Million m/s";"C";"3";"10";"12";"optik";"LICHTGESCHWINDIGKEIT: ca. 300.000 km/s (oder 3×10⁸ m/s).";""
"Was passiert bei der Lichtbrechung?";"Licht wird schneller";"Licht ändert seine Richtung beim Übergang zwischen Medien";"Licht verschwindet";"Licht wird lauter";"B";"3";"10";"12";"optik";"Bei BRECHUNG ändert Licht seine Richtung (z.B. Wasser → Luft).";""
"Was ist Reflexion?";"Licht wird gebrochen";"Licht wird zurückgeworfen";"Licht wird absorbiert";"Licht wird erzeugt";"B";"2";"9";"11";"optik";"REFLEXION: Licht wird von einer Oberfläche zurückgeworfen (Spiegel).";""
"Was ist eine Linse?";"Ein Spiegel";"Durchsichtiger Körper, der Licht bricht";"Ein Filter";"Ein Magnet";"B";"3";"10";"12";"optik";"Eine LINSE ist ein durchsichtiger Körper, der Lichtstrahlen bricht.";""
"Was macht eine Sammellinse?";"Streut Licht";"Bündelt Licht in einem Punkt";"Blockiert Licht";"Färbt Licht";"B";"3";"10";"12";"optik";"SAMMELLINSE (konvex) bündelt Lichtstrahlen in einem Brennpunkt.";""
"Was ist elektrischer Strom?";"Fließendes Wasser";"Fließende elektrische Ladung";"Fließende Luft";"Fließendes Licht";"B";"2";"8";"10";"elektrizitaet";"ELEKTRISCHER STROM ist der Fluss von elektrischen Ladungen (Elektronen).";""
"Was ist die Einheit der Stromstärke?";"Volt";"Ampere";"Ohm";"Watt";"B";"3";"10";"12";"elektrizitaet";"Stromstärke wird in AMPERE (A) gemessen.";""
"Was ist die Einheit der Spannung?";"Ampere";"Volt";"Ohm";"Watt";"B";"3";"10";"12";"elektrizitaet";"Spannung wird in VOLT (V) gemessen.";""
"Was ist die Einheit des Widerstands?";"Volt";"Ampere";"Ohm";"Watt";"C";"3";"10";"12";"elektrizitaet";"Widerstand wird in OHM (Ω) gemessen.";""
"Was ist die Einheit der Leistung?";"Volt";"Ampere";"Ohm";"Watt";"D";"3";"10";"12";"elektrizitaet";"Leistung wird in WATT (W) gemessen.";""
"Was besagt das Ohmsche Gesetz?";"P = U × I";"U = R × I";"E = m × c²";"F = m × a";"B";"4";"11";"13";"elektrizitaet";"OHMSCHES GESETZ: U = R × I (Spannung = Widerstand × Stromstärke).";""
"Was ist ein Leiter?";"Isolator";"Material, durch das Strom gut fließt";"Magnet";"Batterie";"B";"2";"9";"11";"elektrizitaet";"LEITER lassen Strom gut durch (z.B. Kupfer, Aluminium).";""
"Was ist ein Isolator?";"Leiter";"Material, durch das Strom nicht fließt";"Magnet";"Batterie";"B";"2";"9";"11";"elektrizitaet";"ISOLATOREN lassen keinen Strom durch (z.B. Gummi, Plastik, Glas).";""
"Was ist ein Stromkreis?";"Eine Batterie";"Geschlossener Weg für den Strom";"Ein Kabel";"Ein Schalter";"B";"2";"8";"10";"elektrizitaet";"Ein STROMKREIS ist ein geschlossener Weg, durch den Strom fließen kann.";""
"Was passiert in einer Parallelschaltung?";"Strom teilt sich auf";"Spannung teilt sich auf";"Nichts";"Strom verdoppelt sich";"A";"3";"11";"13";"elektrizitaet";"In einer PARALLELSCHALTUNG teilt sich der Strom auf mehrere Wege.";""
"Was passiert in einer Reihenschaltung?";"Spannung teilt sich auf";"Strom teilt sich auf";"Nichts";"Spannung verdoppelt sich";"A";"3";"11";"13";"elektrizitaet";"In einer REIHENSCHALTUNG teilt sich die Spannung auf.";""
"Was ist eine Kraft?";"Energie";"Einwirkung, die Bewegung oder Verformung bewirkt";"Masse";"Geschwindigkeit";"B";"2";"9";"11";"mechanik";"Eine KRAFT kann Körper beschleunigen oder verformen.";""
"Was ist die Einheit der Kraft?";"Joule";"Newton";"Watt";"Ampere";"B";"3";"10";"12";"mechanik";"Kraft wird in NEWTON (N) gemessen.";""
"Was ist Newtons 1. Gesetz (Trägheitsgesetz)?";"F = m × a";"Ein Körper behält seinen Bewegungszustand ohne Kraft";"Actio = Reactio";"E = m × c²";"B";"4";"11";"13";"mechanik";"TRÄGHEITSGESETZ: Ohne Kraft bleibt ein Körper in Ruhe oder gleichförmiger Bewegung.";""
"Was ist Newtons 2. Gesetz?";"Trägheitsgesetz";"F = m × a";"Actio = Reactio";"Energieerhaltung";"B";"4";"12";"14";"mechanik";"F = m × a (Kraft = Masse × Beschleunigung).";""
"Was ist Newtons 3. Gesetz?";"F = m × a";"Trägheitsgesetz";"Actio = Reactio";"Energieerhaltung";"C";"4";"12";"14";"mechanik";"ACTIO = REACTIO: Jede Kraft hat eine gleich große Gegenkraft.";""
"Was ist Geschwindigkeit?";"Zurückgelegte Strecke";"Strecke pro Zeit";"Nur Zeit";"Masse";"B";"2";"9";"11";"mechanik";"GESCHWINDIGKEIT = Strecke / Zeit (z.B. km/h oder m/s).";""
"Was ist Beschleunigung?";"Geschwindigkeit";"Änderung der Geschwindigkeit pro Zeit";"Strecke";"Masse";"B";"3";"10";"12";"mechanik";"BESCHLEUNIGUNG = Geschwindigkeitsänderung / Zeit.";""
"Was ist Reibung?";"Eine Kraft, die Bewegung unterstützt";"Eine Kraft, die Bewegung bremst";"Eine Energieform";"Ein Aggregatzustand";"B";"2";"9";"11";"mechanik";"REIBUNG ist eine Kraft, die Bewegung bremst.";""
"Was ist Druck?";"Kraft";"Kraft pro Fläche";"Masse";"Volumen";"B";"3";"10";"12";"mechanik";"DRUCK = Kraft / Fläche. Einheit: Pascal (Pa) oder Bar.";""
"Was ist die Einheit des Drucks?";"Newton";"Pascal";"Joule";"Watt";"B";"3";"10";"12";"mechanik";"Druck wird in PASCAL (Pa) oder Bar gemessen.";""
"Was ist der Luftdruck auf Meereshöhe?";"500 hPa";"1013 hPa";"2000 hPa";"100 hPa";"B";"4";"11";"13";"mechanik";"Normaler Luftdruck auf Meereshöhe: ca. 1013 hPa (Hektopascal).";""
"Was ist Auftrieb?";"Kraft nach unten";"Kraft nach oben in Flüssigkeiten/Gasen";"Kraft zur Seite";"Keine Kraft";"B";"3";"10";"12";"mechanik";"AUFTRIEB ist die Kraft nach oben, die ein Körper in Flüssigkeit/Gas erfährt.";""
"Warum schwimmt ein Schiff?";"Es ist leicht";"Der Auftrieb ist größer als die Gewichtskraft";"Es hat Motoren";"Wegen der Form allein";"B";"3";"10";"12";"mechanik";"Ein Schiff schwimmt, weil der AUFTRIEB größer ist als das Gewicht.";""
"Was ist ein Hebel?";"Ein Motor";"Ein einfaches Werkzeug zur Kraftübertragung";"Ein Magnet";"Ein Stromkreis";"B";"2";"9";"11";"mechanik";"Ein HEBEL ist ein einfaches Werkzeug, das Kräfte übersetzt.";""
"Was ist der Drehpunkt bei einem Hebel?";"Das Ende";"Der feste Punkt, um den sich der Hebel dreht";"Die Last";"Die Kraft";"B";"3";"10";"12";"mechanik";"Der DREHPUNKT ist der feste Punkt, um den sich der Hebel dreht.";""
"Was ist eine schiefe Ebene?";"Ein Hebel";"Eine geneigte Fläche zur Kraftreduzierung";"Ein Rad";"Eine Rolle";"B";"3";"10";"12";"mechanik";"Eine SCHIEFE EBENE reduziert die nötige Kraft (z.B. Rampe).";""
"Was ist Arbeit in der Physik?";"Nur Anstrengung";"Kraft mal Weg";"Nur Bewegung";"Nur Kraft";"B";"3";"10";"12";"energie";"ARBEIT = Kraft × Weg. Einheit: Joule (J).";""
"Was ist die Einheit der Arbeit und Energie?";"Watt";"Joule";"Newton";"Volt";"B";"3";"10";"12";"energie";"Arbeit und Energie werden in JOULE (J) gemessen.";""
"Was ist Leistung?";"Energie";"Arbeit pro Zeit";"Kraft";"Geschwindigkeit";"B";"3";"10";"12";"energie";"LEISTUNG = Arbeit / Zeit. Einheit: Watt (W).";""
"Was ist der Wirkungsgrad?";"Immer 100%";"Nutzenergie / zugeführte Energie";"Verlustenergie";"Maximale Energie";"B";"4";"12";"14";"energie";"WIRKUNGSGRAD = Nutzenergie / zugeführte Energie (immer unter 100%).";""
"Was ist eine Welle?";"Nur Wasser";"Ausbreitung einer Störung durch Raum/Medium";"Ein Teilchen";"Ein Atom";"B";"3";"10";"12";"wellen";"Eine WELLE ist die Ausbreitung einer Schwingung durch ein Medium.";""
"Was ist die Wellenlänge?";"Die Höhe der Welle";"Abstand zwischen zwei Wellenbergen";"Die Geschwindigkeit";"Die Frequenz";"B";"3";"10";"12";"wellen";"WELLENLÄNGE = Abstand von Wellenberg zu Wellenberg.";""
"Was ist die Amplitude?";"Wellenlänge";"Die maximale Auslenkung einer Welle";"Die Frequenz";"Die Geschwindigkeit";"B";"3";"10";"12";"wellen";"AMPLITUDE = maximale Auslenkung (Höhe) der Welle.";""
"Was sind Transversalwellen?";"Schwingung in Ausbreitungsrichtung";"Schwingung quer zur Ausbreitungsrichtung";"Schallwellen";"Keine echten Wellen";"B";"4";"12";"14";"wellen";"TRANSVERSALWELLEN schwingen QUER zur Ausbreitungsrichtung (z.B. Licht).";""
"Was sind Longitudinalwellen?";"Schwingung quer zur Ausbreitungsrichtung";"Schwingung in Ausbreitungsrichtung";"Lichtwellen";"Wasserwellen";"B";"4";"12";"14";"wellen";"LONGITUDINALWELLEN schwingen IN Ausbreitungsrichtung (z.B. Schall).";""
"Was ist das elektromagnetische Spektrum?";"Nur sichtbares Licht";"Alle Arten elektromagnetischer Strahlung";"Nur Radiowellen";"Nur Röntgenstrahlen";"B";"4";"12";"14";"elektromagnetismus";"Das EM-SPEKTRUM umfasst alle EM-Strahlung: Radio, Mikrowellen, IR, Licht, UV, Röntgen, Gamma.";""
"Welche Strahlung hat die längste Wellenlänge?";"Gammastrahlung";"Radiowellen";"Röntgenstrahlung";"UV-Strahlung";"B";"4";"13";"15";"elektromagnetismus";"RADIOWELLEN haben die längste Wellenlänge im EM-Spektrum.";""
"Welche Strahlung hat die kürzeste Wellenlänge?";"Radiowellen";"Infrarot";"Gammastrahlung";"Mikrowellen";"C";"4";"13";"15";"elektromagnetismus";"GAMMASTRAHLUNG hat die kürzeste Wellenlänge und höchste Energie.";""
"Was ist Radioaktivität?";"Radiowellen";"Spontaner Zerfall instabiler Atomkerne";"Röntgenstrahlung";"Magnetismus";"B";"4";"12";"14";"kernphysik";"RADIOAKTIVITÄT: Instabile Atomkerne zerfallen und senden Strahlung aus.";""
"Was ist Alpha-Strahlung?";"Elektronen";"Heliumkerne";"Photonen";"Neutronen";"B";"5";"14";"17";"kernphysik";"ALPHA-STRAHLUNG besteht aus Heliumkernen (2 Protonen + 2 Neutronen).";""
"Was ist Beta-Strahlung?";"Heliumkerne";"Elektronen oder Positronen";"Photonen";"Neutronen";"B";"5";"14";"17";"kernphysik";"BETA-STRAHLUNG besteht aus Elektronen oder Positronen.";""
"Was ist Gamma-Strahlung?";"Teilchenstrahlung";"Hochenergetische elektromagnetische Strahlung";"Schallwellen";"Radiowellen";"B";"5";"14";"17";"kernphysik";"GAMMA-STRAHLUNG ist hochenergetische elektromagnetische Strahlung.";""
"Was ist Kernspaltung?";"Verschmelzung von Kernen";"Spaltung schwerer Atomkerne";"Chemische Reaktion";"Radioaktivität";"B";"5";"14";"17";"kernphysik";"KERNSPALTUNG: Schwere Atomkerne (z.B. Uran) werden gespalten.";""
"Was ist Kernfusion?";"Spaltung von Kernen";"Verschmelzung leichter Atomkerne";"Chemische Reaktion";"Radioaktivität";"B";"5";"14";"17";"kernphysik";"KERNFUSION: Leichte Atomkerne verschmelzen zu schwereren (wie in der Sonne).";""
"Was passiert in der Sonne?";"Kernspaltung";"Kernfusion";"Verbrennung";"Chemische Reaktion";"B";"4";"12";"14";"kernphysik";"In der Sonne findet KERNFUSION statt: Wasserstoff wird zu Helium.";""
"Was ist die Formel E = mc²?";"Ohmsches Gesetz";"Energie-Masse-Äquivalenz";"Gravitationsgesetz";"Newtons 2. Gesetz";"B";"5";"14";"17";"relativitaet";"E = mc²: MASSE und ENERGIE sind äquivalent. Von Einstein.";""
"Was ist die spezielle Relativitätstheorie?";"Newtons Theorie";"Einsteins Theorie über Raum und Zeit bei hohen Geschwindigkeiten";"Quantenmechanik";"Thermodynamik";"B";"5";"15";"21";"relativitaet";"SPEZIELLE RELATIVITÄTSTHEORIE: Bei sehr hohen Geschwindigkeiten verhalten sich Raum und Zeit anders.";""
"Was passiert mit der Zeit bei sehr hohen Geschwindigkeiten?";"Sie bleibt gleich";"Sie vergeht langsamer (Zeitdilatation)";"Sie vergeht schneller";"Sie stoppt";"B";"5";"15";"21";"relativitaet";"ZEITDILATATION: Bei hohen Geschwindigkeiten vergeht die Zeit langsamer.";""
"Was ist Quantenmechanik?";"Klassische Physik";"Physik der kleinsten Teilchen";"Astronomie";"Thermodynamik";"B";"5";"16";"21";"quantenphysik";"QUANTENMECHANIK beschreibt das Verhalten von Atomen und subatomaren Teilchen.";""
"Was ist der Welle-Teilchen-Dualismus?";"Wellen sind Teilchen";"Licht/Materie zeigt sowohl Wellen- als auch Teilcheneigenschaften";"Teilchen sind Wellen";"Es gibt keinen Unterschied";"B";"5";"16";"21";"quantenphysik";"WELLE-TEILCHEN-DUALISMUS: Licht und Materie sind sowohl Welle als auch Teilchen.";""
"Was ist ein Photon?";"Ein Elektron";"Ein Lichtteilchen (Energiequant)";"Ein Proton";"Ein Neutron";"B";"4";"13";"15";"quantenphysik";"Ein PHOTON ist ein Lichtteilchen – die kleinste Einheit von Licht.";""
"Was ist die Heisenbergsche Unschärferelation?";"Alles ist unscharf";"Ort und Impuls nicht gleichzeitig genau messbar";"Zeit ist ungenau";"Masse ist ungenau";"B";"5";"17";"21";"quantenphysik";"UNSCHÄRFERELATION: Ort und Impuls eines Teilchens können nicht gleichzeitig exakt gemessen werden.";""
"Was ist ein schwarzes Loch?";"Ein dunkler Raum";"Objekt mit so starker Gravitation, dass nichts entkommt";"Ein Planet";"Ein Stern";"B";"4";"12";"14";"astrophysik";"SCHWARZES LOCH: Extrem starke Gravitation – selbst Licht kann nicht entkommen.";""
"Was ist ein Ereignishorizont?";"Der Rand eines Planeten";"Die Grenze eines schwarzen Lochs";"Der Rand der Galaxie";"Ein Teleskop";"B";"5";"15";"21";"astrophysik";"EREIGNISHORIZONT: Die Grenze, ab der nichts mehr aus einem schwarzen Loch entkommen kann.";""
"Was ist Gravitation?";"Magnetismus";"Anziehungskraft zwischen Massen";"Elektrizität";"Reibung";"B";"3";"10";"12";"mechanik";"GRAVITATION ist die Anziehungskraft zwischen allen Massen.";""
"Wer hat das Gravitationsgesetz formuliert?";"Einstein";"Newton";"Galileo";"Kepler";"B";"3";"10";"12";"mechanik";"NEWTON formulierte das Gravitationsgesetz.";""
"Was ist ein Pendel?";"Ein Magnet";"Ein aufgehängter Körper, der schwingt";"Ein Motor";"Ein Hebel";"B";"2";"9";"11";"mechanik";"Ein PENDEL ist ein aufgehängter Körper, der hin und her schwingt.";""
"Was bestimmt die Schwingungsdauer eines Pendels?";"Die Masse";"Die Länge";"Die Farbe";"Die Form";"B";"4";"12";"14";"mechanik";"Die LÄNGE des Pendels bestimmt die Schwingungsdauer (nicht die Masse!).";""
"Was ist Resonanz?";"Verstärkung durch passende Frequenz";"Dämpfung";"Brechung";"Reflexion";"A";"4";"13";"15";"wellen";"RESONANZ: Verstärkung von Schwingungen bei passender Frequenz.";""
