frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist ein Pinsel?";"Stift";"Werkzeug zum Auftragen von Farbe";"Schere";"Lineal";"B";"1";"5";"7";"werkzeuge";"Ein PINSEL traegt Farbe auf Papier oder Leinwand auf.";""
"Was ist eine Staffelei?";"Ein Rahmen";"Staender zum Aufstellen von Bildern beim Malen";"Ein Pinsel";"Eine Farbe";"B";"2";"7";"9";"werkzeuge";"Eine STAFFELEI haelt das Bild beim Malen in der richtigen Position.";""
"Was ist eine Leinwand?";"Papier";"Stoff auf den gemalt wird";"Holz";"Glas";"B";"1";"6";"8";"werkzeuge";"Eine LEINWAND ist ein gespannter Stoff auf den man mit Oelfarben malt.";""
"Was ist eine Palette?";"Pinsel";"Brett zum Mischen von Farben";"Staffelei";"Rahmen";"B";"2";"7";"9";"werkzeuge";"Auf der PALETTE werden Farben gemischt bevor sie aufgetragen werden.";""
"Was ist Ton in der Kunst?";"Musik";"Material zum Formen von Skulpturen";"Farbe";"Papier";"B";"1";"6";"8";"materialien";"TON ist ein weiches Material das geformt und dann gebrannt werden kann.";""
"Was ist Gips?";"Farbe";"Weisses Material das hart wird";"Pinsel";"Leinwand";"B";"2";"7";"9";"materialien";"GIPS wird fluessig aufgetragen und haertet dann aus.";""
"Was ist Bronze?";"Holz";"Metalllegierung fuer Skulpturen";"Stein";"Glas";"B";"3";"9";"11";"materialien";"BRONZE ist eine Metalllegierung aus Kupfer und Zinn fuer Skulpturen.";""
"Was ist Marmor?";"Holz";"Edler Stein fuer Skulpturen";"Metall";"Glas";"B";"2";"8";"10";"materialien";"MARMOR ist ein edler weisser Stein fuer Skulpturen wie die David-Statue.";""
"Was ist Pastell?";"Oelfarbe";"Weiche Kreiden zum Malen";"Wasserfarbe";"Acryl";"B";"2";"8";"10";"techniken";"PASTELLKREIDEN sind weich und erzeugen sanfte Farbverlaeufe.";""
"Was ist Kohlezeichnung?";"Mit Bleistift";"Zeichnung mit verkohltem Holz";"Mit Tinte";"Mit Kreide";"B";"2";"8";"10";"techniken";"KOHLE erzeugt tiefes Schwarz und ist gut fuer Schattierungen.";""
"Was ist Radierung?";"Malerei";"Drucktechnik mit geaetzter Metallplatte";"Skulptur";"Collage";"B";"4";"12";"14";"techniken";"Bei der RADIERUNG wird ein Bild in Metall geaetzt und dann gedruckt.";""
"Was ist Lithografie?";"Skulptur";"Drucktechnik mit Steinplatte";"Malerei";"Fotografie";"B";"4";"12";"14";"techniken";"LITHOGRAFIE ist Steindruck - ein Verfahren zum Vervielfaeltigen von Bildern.";""
"Was ist ein Holzschnitt?";"Skulptur";"Drucktechnik mit geschnitztem Holz";"Malerei";"Mosaik";"B";"3";"10";"12";"techniken";"Beim HOLZSCHNITT wird ein Bild in Holz geschnitzt und dann gedruckt.";""
"Was ist ein Mosaik?";"Gemalde";"Bild aus vielen kleinen Steinen oder Glassteinen";"Skulptur";"Zeichnung";"B";"2";"7";"9";"techniken";"Ein MOSAIK besteht aus vielen kleinen bunten Steinchen die ein Bild ergeben.";""
"Was ist Graffiti?";"Skulptur";"Bilder und Schrift auf Waenden";"Gemalde";"Fotografie";"B";"2";"8";"10";"techniken";"GRAFFITI ist Strassenkunst - Bilder und Texte auf Waenden mit Spruehfarbe.";""
"Was ist Street Art?";"Museumskunst";"Kunst im oeffentlichen Raum";"Fotografie";"Skulptur";"B";"2";"8";"10";"genres";"STREET ART ist Kunst auf Strassen und Gebaeuden - oft ohne Erlaubnis.";""
