frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist ein Klavier?";"Blasinstrument";"Tasteninstrument mit Saiten";"Streichinstrument";"Schlaginstrument";"B";"1";"5";"7";"instrumente";"Das KLAVIER hat Tasten die Haemmer auf Saiten schlagen.";""
"Wie viele Tasten hat ein normales Klavier?";"52";"66";"88";"100";"C";"2";"8";"10";"instrumente";"Ein normales Klavier hat 88 TASTEN - 52 weisse und 36 schwarze.";""
"Was ist eine Gitarre?";"Blasinstrument";"Saiteninstrument zum Zupfen oder Anschlagen";"Schlaginstrument";"Tasteninstrument";"B";"1";"5";"7";"instrumente";"Die GITARRE hat 6 Saiten die gezupft oder angeschlagen werden.";""
"Wie viele Saiten hat eine normale Gitarre?";"4";"5";"6";"8";"C";"1";"6";"8";"instrumente";"Eine normale Gitarre hat 6 SAITEN.";""
"Was ist ein Schlagzeug?";"Saiteninstrument";"Gruppe von Schlaginstrumenten";"Blasinstrument";"Tasteninstrument";"B";"1";"5";"7";"instrumente";"Das SCHLAGZEUG ist eine Kombination aus Trommeln und Becken.";""
"Was gehoert zum Schlagzeug?";"Saiten";"Bass Drum, Snare, Hi-Hat, Becken";"Tasten";"Ventile";"B";"2";"7";"9";"instrumente";"SCHLAGZEUG besteht aus Bass Drum, Snare, Toms, Hi-Hat und Becken.";""
"Was ist ein Saxophon?";"Streichinstrument";"Holzblasinstrument aus Metall";"Tasteninstrument";"Schlaginstrument";"B";"2";"8";"10";"instrumente";"Das SAXOPHON ist ein Holzblasinstrument obwohl es aus Metall ist.";""
"Wer erfand das Saxophon?";"Bach";"Adolphe Sax";"Mozart";"Beethoven";"B";"3";"10";"12";"instrumente";"ADOLPHE SAX erfand das Saxophon um 1840 - daher der Name!";""
"Was ist eine Harfe?";"Blasinstrument";"Grosses Zupfinstrument mit vielen Saiten";"Schlaginstrument";"Tasteninstrument";"B";"2";"7";"9";"instrumente";"Die HARFE hat viele Saiten die gezupft werden - sehr altes Instrument.";""
"Was ist ein Keyboard?";"Akustisches Klavier";"Elektronisches Tasteninstrument";"Gitarre";"Schlagzeug";"B";"1";"6";"8";"instrumente";"Ein KEYBOARD ist ein elektronisches Tasteninstrument mit vielen Klaengen.";""
"Was ist ein Synthesizer?";"Akustisches Instrument";"Elektronisches Instrument das Klaenge erzeugt";"Blasinstrument";"Streichinstrument";"B";"3";"10";"12";"instrumente";"Ein SYNTHESIZER erzeugt elektronische Klaenge kuenstlich.";""
"Wer war Johann Sebastian Bach?";"Maler";"Deutscher Barockkomponist";"Dichter";"Wissenschaftler";"B";"2";"8";"10";"komponisten";"BACH war ein deutscher Komponist der Barockzeit mit vielen Orgelwerken.";""
"Wer war Wolfgang Amadeus Mozart?";"Maler";"Oesterreichischer Komponist der Klassik";"Dichter";"Physiker";"B";"2";"8";"10";"komponisten";"MOZART war ein Wunderkind und einer der groessten Komponisten aller Zeiten.";""
"Wer war Ludwig van Beethoven?";"Maler";"Deutscher Komponist der taub wurde";"Dichter";"Architekt";"B";"2";"8";"10";"komponisten";"BEETHOVEN komponierte trotz Taubheit seine groessten Werke!";""
"Welche beruehmte Sinfonie schrieb Beethoven?";"Erste";"Fuenfte - Ta-ta-ta-taaaa";"Zweite";"Zwoelfte";"B";"3";"9";"11";"komponisten";"Die FUENFTE SINFONIE mit dem beruehten Ta-ta-ta-taaaa Motiv.";""
"Wer komponierte Die vier Jahreszeiten?";"Bach";"Vivaldi";"Mozart";"Handel";"B";"3";"9";"11";"komponisten";"ANTONIO VIVALDI komponierte Die vier Jahreszeiten.";""
"Wer komponierte Schwanensee?";"Mozart";"Tschaikowsky";"Bach";"Beethoven";"B";"3";"10";"12";"komponisten";"TSCHAIKOWSKY komponierte das Ballett Schwanensee.";""
"Was ist eine Oper?";"Nur Orchester";"Musiktheater mit Gesang";"Nur Chor";"Nur Tanz";"B";"2";"8";"10";"genres";"Eine OPER ist ein Musiktheater bei dem die Geschichte gesungen wird.";""
"Was ist ein Musical?";"Nur klassisch";"Musiktheater mit Gesang, Tanz und Dialogen";"Nur Oper";"Nur Ballett";"B";"2";"8";"10";"genres";"Ein MUSICAL verbindet Gesang, Tanz und gesprochene Dialoge.";""
"Was ist Jazz?";"Klassische Musik";"Improvisierte Musikrichtung aus den USA";"Volksmusik";"Kirchenmusik";"B";"2";"9";"11";"genres";"JAZZ entstand um 1900 in den USA - Improvisation ist wichtig.";""
"Was ist Rock Musik?";"Klassische Musik";"Gitarrenbasierte Musik mit starkem Beat";"Jazz";"Volksmusik";"B";"2";"8";"10";"genres";"ROCK hat elektrische Gitarren, Bass, Schlagzeug und starken Rhythmus.";""
"Was ist Pop Musik?";"Nur klassisch";"Populaere Musik fuer breites Publikum";"Nur Jazz";"Nur Rock";"B";"1";"7";"9";"genres";"POP ist populaere eingaengige Musik fuer viele Menschen.";""
"Was ist Hip-Hop?";"Klassik";"Musikrichtung mit Rap und Beats";"Volksmusik";"Oper";"B";"2";"8";"10";"genres";"HIP-HOP kombiniert Rap, DJing, Breakdance und Graffiti.";""
"Was ist elektronische Musik?";"Nur akustisch";"Musik die mit Computern und Synthesizern gemacht wird";"Nur Orchester";"Nur Gesang";"B";"2";"8";"10";"genres";"ELEKTRONISCHE MUSIK wird mit Computern und elektronischen Instrumenten produziert.";""
"Was ist ein Orchester?";"Ein Instrument";"Grosses Ensemble verschiedener Instrumente";"Ein Solist";"Ein Duo";"B";"1";"6";"8";"ensembles";"Ein ORCHESTER ist eine grosse Gruppe von Musikern mit vielen Instrumentenarten.";""
"Wer leitet ein Orchester?";"Der Pianist";"Der Dirigent";"Der Geiger";"Der Floetist";"B";"1";"6";"8";"ensembles";"Der DIRIGENT leitet das Orchester mit einem Taktstock.";""
"Was ist ein Chor?";"Einzelsaenger";"Gruppe von Saengern";"Orchester";"Band";"B";"1";"6";"8";"ensembles";"Ein CHOR ist eine Gruppe von Saengern die zusammen singen.";""
"Was ist eine Band?";"Orchester";"Kleine Gruppe von Musikern meist Pop oder Rock";"Chor";"Solist";"B";"1";"6";"8";"ensembles";"Eine BAND ist eine kleine Gruppe die meist Pop, Rock oder Jazz spielt.";""
"Was ist ein Quartett?";"2 Musiker";"4 Musiker";"6 Musiker";"8 Musiker";"B";"2";"8";"10";"ensembles";"Ein QUARTETT besteht aus 4 Musikern oder Saengern.";""
"Was ist ein Trio?";"2 Musiker";"3 Musiker";"4 Musiker";"5 Musiker";"B";"2";"7";"9";"ensembles";"Ein TRIO besteht aus 3 Musikern.";""
"Was ist ein Duett?";"1 Person";"2 Personen";"3 Personen";"4 Personen";"B";"1";"6";"8";"ensembles";"Ein DUETT wird von 2 Personen gesungen oder gespielt.";""
"Was ist ein Solo?";"Gruppe";"Ein einzelner Kuenstler spielt oder singt allein";"Chor";"Orchester";"B";"1";"6";"8";"ensembles";"Ein SOLO ist ein Stueck oder Teil fuer einen einzelnen Kuenstler.";""
"Was sind die vier Stimmlagen beim Singen?";"Laut, leise, mittel, still";"Sopran, Alt, Tenor, Bass";"Hoch, tief, schnell, langsam";"Dur, Moll, Piano, Forte";"B";"3";"9";"11";"gesang";"Die vier Hauptstimmlagen sind SOPRAN, ALT, TENOR und BASS.";""
"Was ist Sopran?";"Tiefste Maennerstimme";"Hoechste Frauenstimme";"Mittlere Stimme";"Tiefste Stimme";"B";"2";"8";"10";"gesang";"SOPRAN ist die hoechste Frauenstimme.";""
"Was ist Bass?";"Hoechste Stimme";"Tiefste Maennerstimme";"Mittlere Stimme";"Frauenstimme";"B";"2";"8";"10";"gesang";"BASS ist die tiefste Maennerstimme.";""
"Was ist ein Refrain?";"Strophe";"Wiederkehrender Teil eines Liedes";"Ende";"Anfang";"B";"2";"7";"9";"liedaufbau";"Der REFRAIN ist der Teil der sich im Lied wiederholt.";""
"Was ist eine Strophe?";"Refrain";"Textteil der sich aendert";"Nur Musik";"Nur Rhythmus";"B";"2";"7";"9";"liedaufbau";"STROPHEN haben verschiedenen Text aber oft gleiche Melodie.";""
"Was ist ein Intro?";"Ende";"Einleitung eines Musikstuecks";"Refrain";"Strophe";"B";"2";"8";"10";"liedaufbau";"Das INTRO ist die Einleitung am Anfang eines Songs.";""
"Was ist ein Outro?";"Anfang";"Ende eines Musikstuecks";"Refrain";"Strophe";"B";"2";"8";"10";"liedaufbau";"Das OUTRO ist der Schlussteil eines Songs.";""
"Was bedeutet a cappella?";"Mit Orchester";"Nur Gesang ohne Instrumente";"Mit Band";"Mit Klavier";"B";"3";"10";"12";"gesang";"A CAPPELLA bedeutet Gesang ohne instrumentale Begleitung.";""
"Was ist ein Metronom?";"Instrument";"Geraet das den Takt vorgibt";"Notenschluessel";"Musikstil";"B";"2";"8";"10";"hilfsmittel";"Ein METRONOM gibt einen gleichmaessigen Takt zum Ueben vor.";""
"Was ist ein Notenblaetter?";"Instrumente";"Papier mit aufgeschriebener Musik";"Tontraeger";"Mikrofon";"B";"1";"6";"8";"notation";"NOTENBLÄTTER zeigen die Musik in geschriebener Form.";""
"Wer waren die Beatles?";"Deutsche Band";"Britische Band aus Liverpool";"Amerikanische Band";"Franzoesische Band";"B";"2";"8";"10";"popgeschichte";"Die BEATLES waren eine britische Band die die Popmusik revolutionierte.";""
"Wer war Elvis Presley?";"Klassischer Komponist";"King of Rock n Roll";"Jazz Musiker";"Rapper";"B";"2";"9";"11";"popgeschichte";"ELVIS war der King of Rock n Roll aus Amerika.";""
"Wer war Michael Jackson?";"Klassischer Saenger";"King of Pop";"Rockstar";"Jazz Musiker";"B";"2";"8";"10";"popgeschichte";"MICHAEL JACKSON war der King of Pop mit Hits wie Thriller.";""
"Was ist ein DJ?";"Saenger";"Person die Musik auflegt und mixt";"Gitarrist";"Schlagzeuger";"B";"2";"8";"10";"modern";"Ein DJ legt Musik auf und mixt verschiedene Songs zusammen.";""
"Was ist Streaming?";"CDs kaufen";"Musik ueber Internet hoeren";"Radio";"Konzert";"B";"2";"8";"10";"modern";"STREAMING bedeutet Musik direkt aus dem Internet zu hoeren.";""
"Was ist ein Musikvideo?";"Nur Ton";"Video zu einem Song";"Nur Bild";"Nur Text";"B";"1";"6";"8";"modern";"Ein MUSIKVIDEO zeigt Bilder und Handlung zu einem Song.";""
"Was ist ein Konzert?";"CD";"Live-Auftritt von Musikern";"Video";"Radio";"B";"1";"6";"8";"auffuehrung";"Ein KONZERT ist ein Live-Auftritt vor Publikum.";""
"Was ist ein Festival?";"Kleines Konzert";"Grosses Musikereignis mit vielen Kuenstlern";"Uebungsraum";"Aufnahmestudio";"B";"2";"8";"10";"auffuehrung";"Ein FESTIVAL ist ein grosses Event mit vielen Bands und Kuenstlern.";""
