frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
Wie viele Spieler hat eine Fussballmannschaft auf dem Feld?;9;10;11;12;C;leicht;5;8;multiple_choice;Eine Fussballmannschaft spielt mit 11 Spielern - 10 Feldspieler plus 1 Torwart.;
Welche Farbe hat ein Tennisball meistens?;Weiss;Gelb;Orange;Rot;B;leicht;5;8;multiple_choice;Tennisbaelle sind meistens gelb damit man sie gut sehen kann.;
Was braucht man zum Schwimmen?;Fussball;Badehose;Tennisschlaeger;Fahrrad;B;leicht;5;8;multiple_choice;Zum Schwimmen braucht man eine Badehose oder einen Badeanzug.;
Wie nennt man es wenn der Ball ins Tor geht?;Punkt;Tor;Treffer;Korb;B;leicht;5;8;multiple_choice;Wenn der Ball ins Fussballtor geht nennt man das ein Tor!;
Welches Tier ist das schnellste der Welt?;Loewe;Gepard;Pferd;Hase;B;leicht;5;8;multiple_choice;Der Gepard ist das schnellste Landtier und kann ueber 100 km/h laufen!;
Was traegt man beim Fahrradfahren zum Schutz?;Muetze;Helm;Hut;Kappe;B;leicht;5;8;multiple_choice;Ein Helm schuetzt deinen Kopf wenn du hinfaellst.;
Wie viele Ringe hat das olympische Symbol?;3;4;5;6;C;leicht;6;10;multiple_choice;Die fuenf olympischen Ringe stehen fuer die fuenf Kontinente.;
In welchem Sport wirft man einen Ball in einen Korb?;Fussball;Handball;Basketball;Tennis;C;leicht;6;10;multiple_choice;Beim Basketball wirft man den Ball in einen Korb der hoch haengt.;
Wie lange dauert eine Halbzeit beim Fussball?;30 Minuten;45 Minuten;60 Minuten;90 Minuten;B;mittel;8;12;multiple_choice;Eine Halbzeit dauert 45 Minuten also ein ganzes Spiel 90 Minuten.;
Welche Sportart macht man im Wasser?;Laufen;Schwimmen;Radfahren;Turnen;B;leicht;5;8;multiple_choice;Schwimmen ist der Sport den man im Wasser macht.;
Wie heisst der wichtigste Fussballwettbewerb der Welt?;EM;WM;Champions League;Bundesliga;B;mittel;8;12;multiple_choice;Die Weltmeisterschaft (WM) ist der wichtigste Fussballwettbewerb mit allen Laendern.;
Welches Land hat die meisten Fussball-Weltmeisterschaften gewonnen?;Deutschland;Argentinien;Brasilien;Italien;C;mittel;10;14;multiple_choice;Brasilien hat 5 WM-Titel gewonnen - mehr als jedes andere Land!;
Was ist ein Marathon?;100m Lauf;Ein Schwimmwettbewerb;Ein 42km Lauf;Ein Radrennen;C;mittel;10;14;multiple_choice;Ein Marathon ist ein Lauf ueber 42,195 Kilometer.;
Wie viele Spieler sind beim Basketball pro Team auf dem Feld?;4;5;6;7;B;mittel;8;12;multiple_choice;Beim Basketball spielen 5 Spieler pro Team auf dem Feld.;
Was ist ein Elfmeter beim Fussball?;Freistoss;Strafstoss vom Punkt;Abstoss;Eckball;B;mittel;8;12;multiple_choice;Ein Elfmeter ist ein Strafstoss von 11 Metern Entfernung zum Tor.;
Welcher Sport wird auf Eis gespielt?;Tennis;Fussball;Eishockey;Handball;C;leicht;6;10;multiple_choice;Eishockey wird auf einer Eisflaeche mit Schlittschuhen gespielt.;
Wie viele Saetze braucht man um ein Tennismatch zu gewinnen?;1;2;3;5;C;mittel;10;14;multiple_choice;Bei Maennern braucht man 3 Saetze bei Grand Slams sogar 3 von 5.;
Was ist ein Hattrick?;3 Tore in einem Spiel;3 Siege;3 Fouls;3 Paesse;A;mittel;8;12;multiple_choice;Ein Hattrick bedeutet dass ein Spieler 3 Tore in einem Spiel schiesst.;
Welche Farbe hat die Karte bei einem Platzverweis?;Gelb;Rot;Blau;Gruen;B;leicht;6;10;multiple_choice;Bei einem Platzverweis zeigt der Schiedsrichter die rote Karte.;
In welchem Land wurden die ersten Olympischen Spiele ausgetragen?;Italien;Deutschland;Griechenland;England;C;mittel;10;14;multiple_choice;Die ersten Olympischen Spiele fanden 776 v.Chr. im antiken Griechenland statt.;
Wie oft finden die Olympischen Sommerspiele statt?;Jedes Jahr;Alle 2 Jahre;Alle 4 Jahre;Alle 10 Jahre;C;mittel;8;12;multiple_choice;Die Olympischen Spiele finden alle 4 Jahre statt.;
Was ist der schnellste Ballsport der Welt?;Tennis;Badminton;Squash;Tischtennis;B;schwer;12;18;multiple_choice;Beim Badminton kann der Federball ueber 400 km/h schnell werden!;
Wie viele Punkte braucht man um einen Satz im Volleyball zu gewinnen?;15;21;25;30;C;mittel;10;14;multiple_choice;Ein Satz im Volleyball geht bis 25 Punkte mit 2 Punkten Vorsprung.;
Welches Land hat Fussball erfunden?;Deutschland;Brasilien;England;Spanien;C;mittel;10;14;multiple_choice;Der moderne Fussball wurde in England im 19. Jahrhundert erfunden.;
Wie schwer ist ein Fussball ungefaehr?;200g;430g;700g;1kg;B;schwer;12;18;multiple_choice;Ein Fussball wiegt zwischen 410 und 450 Gramm.;
Was bedeutet die gelbe Karte beim Fussball?;Platzverweis;Verwarnung;Tor;Einwurf;B;leicht;6;10;multiple_choice;Die gelbe Karte ist eine Verwarnung - bei der zweiten gelben muss man vom Platz.;
Welche Sportart wird beim Ironman nicht gemacht?;Schwimmen;Radfahren;Laufen;Klettern;D;schwer;12;18;multiple_choice;Beim Ironman gibt es Schwimmen Radfahren und Laufen - kein Klettern.;
Wie lang ist ein olympisches Schwimmbecken?;25m;50m;100m;200m;B;mittel;8;12;multiple_choice;Ein olympisches Schwimmbecken ist genau 50 Meter lang.;
Was ist der hoechtste Berg den Bergsteiger besteigen?;Mont Blanc;K2;Mount Everest;Kilimandscharo;C;mittel;10;14;multiple_choice;Der Mount Everest ist mit 8849 Metern der hoechste Berg der Welt.;
Wie viele Runden hat ein Boxkampf maximal?;5;10;12;15;C;schwer;14;21;multiple_choice;Ein Profi-Boxkampf hat maximal 12 Runden.;
Was ist ein Slam Dunk?;Ein Tennisschlag;Ein Wurf von oben in den Korb;Ein Torschuss;Ein Sprung;B;mittel;8;12;multiple_choice;Beim Slam Dunk springt man hoch und drueckt den Ball von oben in den Korb.;
Welcher deutsche Fussballer hat den Ballon dOr gewonnen?;Thomas Mueller;Manuel Neuer;Matthias Sammer;Franz Beckenbauer;D;schwer;14;21;multiple_choice;Franz Beckenbauer gewann den Ballon dOr 1972 und 1976.;
Wie viele Spieler hat eine Handballmannschaft?;5;6;7;9;C;mittel;8;12;multiple_choice;Eine Handballmannschaft besteht aus 7 Spielern inklusive Torwart.;
Was ist ein Freistoss?;Ein Geschenk;Ein ruhender Ball nach Foul;Ein Abstoss;Ein Einwurf;B;leicht;6;10;multiple_choice;Nach einem Foul gibt es einen Freistoss wo der Ball ruhend gespielt wird.;
Welches Tier ist das Symbol der Olympischen Spiele 2024 in Paris?;Hahn;Biene;Phrygische Muetze;Adler;C;schwer;12;18;multiple_choice;Das Maskottchen ist eine phrygische Muetze - ein Symbol der franzoesischen Revolution.;
Wie schnell kann Usain Bolt laufen?;30 km/h;37 km/h;45 km/h;50 km/h;C;schwer;12;18;multiple_choice;Usain Bolt erreichte eine Spitzengeschwindigkeit von etwa 45 km/h!;
Was ist ein Penalty beim Eishockey?;Eine Strafe;Ein Tor;Ein Pass;Ein Schuss;A;mittel;10;14;multiple_choice;Ein Penalty ist eine Zeitstrafe - der Spieler muss fuer 2 Minuten auf die Strafbank.;
Welches Land hat die meisten Olympia-Goldmedaillen?;Deutschland;Russland;China;USA;D;mittel;10;14;multiple_choice;Die USA haben die meisten olympischen Goldmedaillen aller Zeiten gewonnen.;
Was ist ein Doppelfehler beim Tennis?;Zwei Fehler nacheinander beim Aufschlag;Zwei Spieler machen Fehler;Zwei Punkte verloren;Zwei Spiele verloren;A;mittel;10;14;multiple_choice;Wenn beide Aufschlaege ins Netz oder Aus gehen verliert man den Punkt.;
Wie heisst der Ball beim Eishockey?;Ball;Scheibe;Puck;Disk;C;leicht;6;10;multiple_choice;Beim Eishockey spielt man mit einem Puck - einer flachen Hartgummischeibe.;
Welcher Sport wird im Tour de France gemacht?;Laufen;Schwimmen;Radfahren;Skifahren;C;leicht;6;10;multiple_choice;Die Tour de France ist das beruehmteste Radrennen der Welt.;
Wie viele Locher hat ein Golfplatz normalerweise?;9;12;18;24;C;mittel;10;14;multiple_choice;Ein Standard-Golfplatz hat 18 Loecher.;
Was ist Yoga?;Ein Ballsport;Koerper und Geistuebuebungen;Ein Kampfsport;Ein Wassersport;B;leicht;6;10;multiple_choice;Yoga verbindet Koerperuebungen Atmung und Meditation.;
Welche Sportart wird auf einem Brett im Wasser gemacht?;Surfen;Skifahren;Schlittschuhlaufen;Rollschuhlaufen;A;leicht;5;8;multiple_choice;Beim Surfen steht man auf einem Brett und reitet auf Wellen.;
Was ist ein Touchdown?;Ein Tor beim Fussball;Punkte beim American Football;Ein Tennisschlag;Ein Basketballwurf;B;mittel;10;14;multiple_choice;Ein Touchdown bringt 6 Punkte beim American Football.;
Wie viele Spieler hat ein Eishockeyteam auf dem Eis?;4;5;6;7;C;mittel;8;12;multiple_choice;6 Spieler pro Team sind auf dem Eis - 5 Feldspieler und 1 Torwart.;
Was ist der Super Bowl?;Fussball WM Finale;American Football Finale;Basketball Finale;Baseball Finale;B;mittel;10;14;multiple_choice;Der Super Bowl ist das Finale der NFL - American Football Liga.;
Welche Sportart macht man auf Schnee mit Brettern?;Surfen;Skateboarden;Snowboarden;Wakeboarden;C;leicht;5;8;multiple_choice;Beim Snowboarden faehrt man mit einem Brett auf Schnee bergab.;
Wie heisst das groesste Tennisstadion der Welt?;Wimbledon;Roland Garros;Arthur Ashe Stadium;Melbourne Park;C;schwer;14;21;multiple_choice;Das Arthur Ashe Stadium in New York fasst ueber 23.000 Zuschauer.;
Was ist ein Triathlon?;Dreifacher Sprint;Drei Sportarten nacheinander;Drei Spiele;Drei Runden;B;mittel;10;14;multiple_choice;Beim Triathlon macht man Schwimmen Radfahren und Laufen nacheinander.;
