frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
Welches Tier kann nicht rueckwaerts laufen?;Hund;Kaenguru;Katze;Elefant;B;leicht;5;8;multiple_choice;Kaengurus koennen wegen ihrer grossen Hinterbeine und des schweren Schwanzes nicht rueckwaerts laufen!;
Wie viele Nasen hat eine Schnecke?;1;2;4;Keine;C;leicht;5;8;multiple_choice;Schnecken haben 4 Nasen! Zwei zum Riechen und zwei zum Tasten.;
Welche Farbe hat das Blut eines Oktopus?;Rot;Blau;Gruen;Gelb;B;leicht;5;8;multiple_choice;Oktopusse haben blaues Blut weil sie Kupfer statt Eisen im Blut haben!;
Was machen Kuehe wenn sie beste Freunde haben?;Sie muhen lauter;Sie geben mehr Milch;Sie tanzen;Sie schlafen mehr;B;leicht;5;8;multiple_choice;Studien zeigen dass glueckliche Kuehe mit Freunden bis zu 500 Liter mehr Milch pro Jahr geben!;
Wie lange dauert der laengste Schluckauf der Welt?;1 Jahr;10 Jahre;68 Jahre;1 Monat;C;mittel;6;10;multiple_choice;Charles Osborne hatte 68 Jahre lang Schluckauf - von 1922 bis 1990!;
Welches Tier schlaeft mit einem Auge offen?;Hund;Delfin;Katze;Hamster;B;leicht;5;8;multiple_choice;Delfine schlafen mit einer Gehirnhaelfte waehrend die andere wach bleibt!;
Wie viel wiegt eine Wolke ungefaehr?;10 kg;500 kg;500.000 kg;Wolken wiegen nichts;C;mittel;8;12;multiple_choice;Eine durchschnittliche Wolke wiegt etwa 500.000 kg - so viel wie 100 Elefanten!;
Wie oft am Tag furzt ein Mensch durchschnittlich?;3 mal;14 mal;50 mal;Nie;B;leicht;6;10;multiple_choice;Ein Mensch furzt etwa 14 mal am Tag - das ist ganz normal und gesund!;
Welches Tier kann am laengsten ohne Wasser ueberleben?;Kamel;Kaengururatte;Elefant;Schildkroete;B;mittel;8;12;multiple_choice;Die Kaengururatte kann ihr ganzes Leben ohne zu trinken verbringen - sie gewinnt Wasser aus ihrer Nahrung!;
Was ist das lauteste Tier der Welt?;Loewe;Elefant;Pottwal;Blauwal;C;mittel;8;12;multiple_choice;Der Pottwal kann mit 230 Dezibel rufen - lauter als ein Duesenjet!;
Wie lange ist der laengste gemessene Fingernagel?;50 cm;1 Meter;9 Meter;30 cm;C;schwer;10;14;multiple_choice;Lee Redmond hielt den Rekord mit Fingernaegeln von insgesamt 9 Metern Laenge!;
Welches Land hat die meisten Zeitzonen?;Russland;USA;Frankreich;China;C;schwer;10;14;multiple_choice;Frankreich hat 12 Zeitzonen wegen seiner Ueberseegebiete - mehr als jedes andere Land!;
Wie schnell wachsen Fingernaegel pro Monat?;0,5 mm;3,5 mm;10 mm;1 cm;B;mittel;8;12;multiple_choice;Fingernaegel wachsen etwa 3,5 mm pro Monat - schneller als Zehnaegel!;
Was ist aelter: Haie oder Baeume?;Baeume;Haie;Gleich alt;Keins von beiden;B;mittel;8;12;multiple_choice;Haie gibt es seit 450 Millionen Jahren - Baeume erst seit 350 Millionen Jahren!;
Wie viel Prozent der DNA teilen Menschen mit Bananen?;10%;30%;60%;0%;C;schwer;12;16;multiple_choice;Menschen teilen etwa 60% ihrer DNA mit Bananen! Alle Lebewesen sind miteinander verwandt.;
Wie viele Geschmacksknospen hat eine Katze?;500;9.000;473;200;C;mittel;8;12;multiple_choice;Katzen haben nur etwa 473 Geschmacksknospen - Menschen haben 9.000!;
Welches Organ waechst das ganze Leben lang?;Herz;Gehirn;Nase und Ohren;Leber;C;leicht;6;10;multiple_choice;Nase und Ohren wachsen das ganze Leben lang weiter - deshalb haben alte Menschen groessere!;
Wie viele Liter Speichel produziert ein Mensch pro Tag?;0,1 Liter;1-2 Liter;5 Liter;10 Liter;B;mittel;8;12;multiple_choice;Ein Mensch produziert 1-2 Liter Speichel pro Tag - genug um eine kleine Flasche zu fuellen!;
Wie heisst die Angst vor langen Woertern?;Arachnophobie;Hippopotomonstrosesquippedaliophobie;Klaustrophobie;Langwortphobie;B;schwer;12;18;multiple_choice;Das laengste Wort fuer eine Angst ist die Angst vor langen Woertern - ironisch!;
Wie oft blinzelt ein Mensch pro Minute?;3 mal;15-20 mal;50 mal;100 mal;B;leicht;6;10;multiple_choice;Wir blinzeln etwa 15-20 mal pro Minute - das sind ueber 20.000 mal am Tag!;
Welches Tier hat drei Herzen?;Oktopus;Wal;Giraffe;Frosch;A;mittel;8;12;multiple_choice;Oktopusse haben drei Herzen - zwei pumpen Blut zu den Kiemen, eins zum Rest des Koerpers!;
Wie viel wiegt das menschliche Gehirn ungefaehr?;500 g;1,4 kg;3 kg;100 g;B;mittel;8;12;multiple_choice;Das Gehirn wiegt etwa 1,4 kg - obwohl es nur 2% des Koerpergewichts ausmacht nutzt es 20% der Energie!;
