frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist ein Mainboard?";"Der Bildschirm";"Die Hauptplatine die alle Teile verbindet";"Die Festplatte";"Der Prozessor";"B";"3";"10";"12";"hardware";"Das MAINBOARD ist die Hauptplatine - hier werden alle Komponenten angeschlossen.";""
"Was ist ein Netzteil?";"Ein Kabel";"Versorgt den Computer mit Strom";"Ein Programm";"Der Prozessor";"B";"2";"9";"11";"hardware";"Das NETZTEIL wandelt Strom aus der Steckdose fuer den Computer um.";""
"Was ist ein Luefter im Computer?";"Dekoration";"Kuehlt die Bauteile";"Macht Musik";"Speichert Daten";"B";"2";"8";"10";"hardware";"LUEFTER kuehlen CPU und Grafikkarte damit sie nicht ueberhitzen.";""
"Warum wird ein Computer warm?";"Weil die Sonne scheint";"Weil Bauteile bei der Arbeit Waerme erzeugen";"Weil er krank ist";"Weil er alt ist";"B";"2";"8";"10";"hardware";"Elektronische Bauteile erzeugen WAERME wenn sie arbeiten.";""
"Was ist ein Gehaeuse?";"Software";"Die Huelle die alle Teile schuetzt";"Ein Programm";"Ein Kabel";"B";"1";"7";"9";"hardware";"Das GEHAEUSE schuetzt alle Computerteile und haelt sie zusammen.";""
"Was ist HDMI?";"Ein Programm";"Anschluss fuer Bild und Ton";"Ein Virus";"Eine Festplatte";"B";"2";"9";"11";"hardware";"HDMI uebertraegt Bild und Ton zum Monitor oder Fernseher.";""
"Was ist ein Kopfhoerer-Anschluss?";"USB";"Buchse fuer Kopfhoerer oder Lautsprecher";"HDMI";"Netzwerk";"B";"1";"6";"8";"hardware";"Der KOPFHOERERANSCHLUSS ist meist gruen und fuer Audio-Ausgabe.";""
"Was ist ein Mikrofon-Anschluss?";"Gruen";"Meist rosa Buchse fuer Mikrofone";"Blau";"Schwarz";"B";"2";"8";"10";"hardware";"Der MIKROFONANSCHLUSS ist meist rosa fuer Audio-Eingabe.";""
"Was macht die Leertaste?";"Loescht Text";"Fuegt ein Leerzeichen ein";"Speichert";"Druckt";"B";"1";"5";"7";"tastatur";"Die LEERTASTE fuegt ein Leerzeichen zwischen Woertern ein.";""
"Was macht die Enter-Taste?";"Loescht";"Bestaetigt oder macht neue Zeile";"Speichert";"Kopiert";"B";"1";"5";"7";"tastatur";"ENTER bestaetigt Eingaben oder beginnt eine neue Zeile.";""
"Was macht die Escape-Taste?";"Speichert";"Bricht Aktionen ab oder schliesst Menues";"Druckt";"Kopiert";"B";"2";"8";"10";"tastatur";"ESC bricht Aktionen ab und schliesst oft Fenster oder Menues.";""
"Was macht die Backspace-Taste?";"Fuegt ein";"Loescht das Zeichen links vom Cursor";"Speichert";"Kopiert";"B";"1";"6";"8";"tastatur";"BACKSPACE loescht das Zeichen VOR dem Cursor.";""
"Was macht die Delete-Taste?";"Fuegt ein";"Loescht das Zeichen rechts vom Cursor";"Speichert";"Kopiert";"B";"2";"8";"10";"tastatur";"DELETE loescht das Zeichen NACH dem Cursor.";""
"Was ist die Caps Lock Taste?";"Lautstaerke";"Schaltet Grossschreibung ein und aus";"Speichern";"Drucken";"B";"2";"7";"9";"tastatur";"CAPS LOCK schaltet dauerhaft auf Grossbuchstaben um.";""
"Was macht Strg+C?";"Einfuegen";"Kopieren";"Ausschneiden";"Speichern";"B";"2";"8";"10";"tastatur";"STRG+C kopiert markierte Inhalte in die Zwischenablage.";""
"Was macht Strg+V?";"Kopieren";"Einfuegen";"Ausschneiden";"Speichern";"B";"2";"8";"10";"tastatur";"STRG+V fuegt kopierte Inhalte ein.";""
"Was macht Strg+X?";"Kopieren";"Ausschneiden";"Einfuegen";"Speichern";"B";"2";"8";"10";"tastatur";"STRG+X schneidet aus - kopiert und loescht das Original.";""
"Was macht Strg+Z?";"Speichern";"Rueckgaengig machen";"Kopieren";"Drucken";"B";"2";"8";"10";"tastatur";"STRG+Z macht die letzte Aktion rueckgaengig - sehr nuetzlich!";""
"Was macht Strg+S?";"Kopieren";"Speichern";"Einfuegen";"Drucken";"B";"2";"8";"10";"tastatur";"STRG+S speichert das aktuelle Dokument.";""
"Was macht Alt+Tab?";"Schliesst Programme";"Wechselt zwischen offenen Fenstern";"Speichert";"Druckt";"B";"3";"9";"11";"tastatur";"ALT+TAB wechselt schnell zwischen offenen Programmen.";""
"Was ist ein Cursor?";"Ein Programm";"Der blinkende Strich der zeigt wo man tippt";"Ein Virus";"Ein Bild";"B";"1";"6";"8";"grundlagen";"Der CURSOR zeigt wo der naechste Buchstabe erscheint.";""
"Was ist ein Mauszeiger?";"Ein Tier";"Der Pfeil den die Maus auf dem Bildschirm bewegt";"Ein Programm";"Ein Virus";"B";"1";"5";"7";"grundlagen";"Der MAUSZEIGER ist der Pfeil den du mit der Maus bewegst.";""
"Was ist Doppelklick?";"Einmal klicken";"Zweimal schnell hintereinander klicken";"Rechtsklick";"Kein Klick";"B";"1";"5";"7";"grundlagen";"DOPPELKLICK oeffnet Programme und Dateien - zweimal schnell klicken!";""
"Was ist Rechtsklick?";"Doppelklick";"Klick mit der rechten Maustaste";"Linksklick";"Dreifachklick";"B";"1";"6";"8";"grundlagen";"RECHTSKLICK oeffnet ein Menue mit zusaetzlichen Optionen.";""
"Was ist Drag and Drop?";"Loeschen";"Ziehen und Ablegen mit der Maus";"Kopieren";"Einfuegen";"B";"2";"7";"9";"grundlagen";"DRAG AND DROP zieht Objekte mit gehaltener Maustaste an einen neuen Ort.";""
"Was ist ein Fenster am Computer?";"Glas";"Rechteckiger Bereich fuer ein Programm";"Ein Virus";"Ein Ordner";"B";"1";"6";"8";"grundlagen";"Ein FENSTER ist der Bereich in dem ein Programm angezeigt wird.";""
