frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist eine Kraft?";"Energie";"Wirkung die Koerper beschleunigt oder verformt";"Bewegung";"Masse";"B";"2";"8";"10";"mechanik";"Eine KRAFT kann einen Koerper beschleunigen, bremsen oder verformen.";""
"In welcher Einheit misst man Kraft?";"Kilogramm";"Newton";"Meter";"Joule";"B";"3";"9";"11";"mechanik";"Kraft wird in NEWTON (N) gemessen - nach Isaac Newton.";""
"Wer entdeckte die Gravitationsgesetze?";"Einstein";"Newton";"Galileo";"Kepler";"B";"2";"8";"10";"physiker";"ISAAC NEWTON entdeckte die Gravitationsgesetze.";""
"Was besagt Newtons erstes Gesetz?";"Kraft gleich Gegenkraft";"Ein Koerper bleibt in Ruhe oder Bewegung ohne aeussere Kraft";"F=ma";"E=mc2";"B";"4";"11";"13";"mechanik";"TRAEGHEITSGESETZ: Ein Koerper aendert seinen Zustand nur durch aeussere Kraft.";""
"Was besagt F=ma?";"Energieerhaltung";"Kraft gleich Masse mal Beschleunigung";"Impulserhaltung";"Gravitation";"B";"4";"12";"14";"mechanik";"NEWTONS ZWEITES GESETZ: Kraft = Masse x Beschleunigung.";""
"Was besagt actio gleich reactio?";"Traegheit";"Jede Kraft hat eine gleich grosse Gegenkraft";"Beschleunigung";"Gravitation";"B";"4";"12";"14";"mechanik";"NEWTONS DRITTES GESETZ: Aktion = Reaktion.";""
"Was ist Reibung?";"Beschleunigung";"Kraft die Bewegung bremst";"Schwerkraft";"Auftrieb";"B";"2";"8";"10";"mechanik";"REIBUNG ist eine Kraft die der Bewegung entgegenwirkt.";""
"Warum werden Haende warm beim Reiben?";"Chemie";"Reibung wandelt Bewegung in Waerme";"Elektrizitaet";"Magnetismus";"B";"2";"7";"9";"mechanik";"REIBUNGSWAERME entsteht wenn Bewegungsenergie in Waerme umgewandelt wird.";""
"Was ist ein Hebel?";"Rolle";"Stange die sich um einen Drehpunkt dreht";"Flaschenzug";"Keil";"B";"2";"8";"10";"mechanik";"Ein HEBEL ist eine einfache Maschine mit Drehpunkt.";""
"Was macht eine Rolle leichter?";"Hebt Gewicht auf";"Aendert die Richtung der Kraft";"Verdoppelt die Kraft";"Halbiert das Gewicht";"B";"3";"9";"11";"mechanik";"Eine ROLLE aendert die Kraftrichtung - nach unten ziehen hebt nach oben.";""
