frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist ein Warndreieck?";"Ein Spielzeug";"Rotes Dreieck zur Unfallwarnung";"Ein Verkehrsschild";"Ein Parkschild";"B";"2";"7";"9";"notfall";"Das WARNDREIECK warnt andere Fahrer bei einer Panne oder einem Unfall.";""
"Wie weit stellst du das Warndreieck auf der Landstrasse auf?";"5 Meter";"100 Meter";"10 Meter";"500 Meter";"B";"3";"10";"12";"notfall";"Auf der Landstrasse: Warndreieck ca. 100 Meter vor dem Hindernis aufstellen.";""
"Was ist eine Warnweste?";"Ein Pullover";"Leuchtende Weste fuer bessere Sichtbarkeit";"Ein Regenmantel";"Ein Kostuem";"B";"1";"6";"8";"sicherheit";"Die WARNWESTE ist leuchtend gelb oder orange - so wirst du bei Pannen besser gesehen.";""
"Wann sollte man die Warnweste tragen?";"Beim Einkaufen";"Bei Panne oder Unfall ausserhalb des Autos";"Im Auto";"Zum Schlafen";"B";"2";"8";"10";"sicherheit";"Bei PANNE oder UNFALL: Warnweste anziehen BEVOR du aussteigst!";""
"Was bedeutet das Schild mit dem Hirsch?";"Zoo in der Naehe";"Achtung Wildwechsel";"Jagdgebiet";"Tierpark";"B";"2";"7";"9";"verkehrsschilder";"WILDWECHSEL: Hier koennten Rehe oder andere Wildtiere die Strasse kreuzen.";""
"Was machst du bei Wildwechsel?";"Schneller fahren";"Langsam fahren und aufmerksam sein";"Hupen";"Licht ausschalten";"B";"2";"8";"10";"verhalten";"Bei Wildwechsel: LANGSAM fahren, besonders in der Daemmerung und nachts.";""
"Was sind Winterreifen?";"Normale Reifen";"Spezielle Reifen fuer kalte Temperaturen und Schnee";"Sommerreifen";"Ersatzreifen";"B";"2";"8";"10";"fahrzeugteile";"WINTERREIFEN haben ein spezielles Profil fuer Schnee und Eis.";""
"Wann braucht man Winterreifen?";"Im Sommer";"Bei Schnee, Eis und Glatteis";"Nur auf der Autobahn";"Nie";"B";"2";"8";"10";"regeln";"WINTERREIFEN sind Pflicht bei winterlichen Strassenverhaeltnissen.";""
"Was bedeutet Glatteis?";"Heisse Strasse";"Gefrorenes Wasser auf der Strasse";"Nasse Strasse";"Staubige Strasse";"B";"1";"6";"8";"wetter";"Bei GLATTEIS ist die Strasse sehr rutschig - Unfallgefahr!";""
"Wie faehrst du bei Nebel?";"Schnell";"Langsam mit Licht und mehr Abstand";"Ohne Licht";"Normal";"B";"2";"8";"10";"wetter";"Bei NEBEL: Langsam fahren, Licht an, viel Abstand halten!";""
"Was ist das Nebelschlusslicht?";"Blinker";"Sehr helles rotes Ruecklicht fuer starken Nebel";"Scheinwerfer";"Bremslicht";"B";"3";"10";"12";"fahrzeugteile";"Das NEBELSCHLUSSLICHT ist sehr hell und darf nur bei starkem Nebel benutzt werden.";""
"Ab welcher Sichtweite darf man das Nebelschlusslicht benutzen?";"Immer";"Unter 50 Meter Sicht";"Unter 100 Meter";"Unter 200 Meter";"B";"4";"12";"14";"regeln";"Nebelschlusslicht nur bei Sichtweite unter 50 Metern!";""
"Was ist Aquaplaning?";"Ein Wassersport";"Fahrzeug schwimmt auf Wasserfilm und verliert Bodenhaftung";"Langsam fahren";"Ein Schwimmbad";"B";"3";"10";"12";"gefahren";"Bei AQUAPLANING schwimmt das Auto auf dem Wasser - sehr gefaehrlich!";""
"Was machst du bei Aquaplaning?";"Stark bremsen";"Gas wegnehmen, Lenkrad festhalten, nicht bremsen";"Schneller fahren";"Hupen";"B";"4";"12";"14";"verhalten";"Bei Aquaplaning: NICHT bremsen! Gas weg und Lenkrad gerade halten.";""
"Was ist der Sicherheitsabstand?";"Parkabstand";"Mindestabstand zum Vordermann";"Seitenabstand";"Hauswandabstand";"B";"2";"8";"10";"regeln";"Der SICHERHEITSABSTAND schuetzt dich bei ploetzlichem Bremsen des Vordermanns.";""
"Wie gross sollte der Abstand innerorts sein?";"1 Meter";"15 Meter oder halber Tacho";"50 Meter";"100 Meter";"B";"3";"10";"12";"regeln";"Innerorts: Ca. 15 Meter Abstand (Faustregel: halber Tacho in Metern).";""
"Wie gross sollte der Abstand auf der Autobahn sein?";"10 Meter";"Halber Tacho in Metern bei 100 kmh gleich 50m";"5 Meter";"200 Meter";"B";"4";"12";"14";"regeln";"Auf der Autobahn: Halber Tacho gleich Abstand in Metern. Bei 120 kmh also 60 Meter.";""
"Was ist ein Tunnel?";"Eine Bruecke";"Roehre durch einen Berg oder unter Wasser";"Ein Parkhaus";"Ein Stau";"B";"1";"6";"8";"strassenarten";"Ein TUNNEL fuehrt durch Berge oder unter Fluessen hindurch.";""
"Was musst du im Tunnel beachten?";"Radio laut machen";"Licht an, Abstand halten, Notausgaenge merken";"Fenster oeffnen";"Schneller fahren";"B";"2";"8";"10";"verhalten";"Im Tunnel: LICHT AN, Abstand halten, auf Notausgaenge achten!";""
