frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist Bitcoin?";"Eine Münze aus Gold";"Digitales Geld im Internet";"Ein Computerspiel";"Eine Bank";"B";"1";"6";"8";"grundlagen";"BITCOIN ist digitales Geld, das im Internet funktioniert – ohne Bank.";""
"Wer hat Bitcoin erfunden?";"Elon Musk";"Satoshi Nakamoto";"Bill Gates";"Mark Zuckerberg";"B";"2";"8";"10";"geschichte";"SATOSHI NAKAMOTO erfand Bitcoin 2008. Niemand weiß, wer das wirklich ist.";""
"In welchem Jahr wurde Bitcoin erfunden?";"2005";"2008";"2012";"2015";"B";"2";"8";"10";"geschichte";"Bitcoin wurde 2008 im Whitepaper beschrieben und 2009 gestartet.";""
"Was ist eine Kryptowährung?";"Geheimschrift";"Digitales Geld mit Verschlüsselung";"Eine Bank";"Ein Spiel";"B";"2";"8";"10";"grundlagen";"KRYPTOWÄHRUNG ist digitales Geld, das durch Verschlüsselung gesichert ist.";""
"Wie viele Bitcoin wird es maximal geben?";"1 Million";"21 Millionen";"100 Millionen";"Unbegrenzt";"B";"2";"8";"10";"grundlagen";"Es wird maximal 21 MILLIONEN Bitcoin geben. Niemals mehr!";""
"Was ist ein Satoshi?";"Ein Computer";"Die kleinste Einheit von Bitcoin";"Ein Programm";"Eine Bank";"B";"2";"8";"10";"grundlagen";"1 SATOSHI = 0,00000001 Bitcoin. Die kleinste Einheit, benannt nach dem Erfinder.";""
"Wie viele Satoshi sind ein Bitcoin?";"1.000";"100.000";"100.000.000";"1.000.000";"C";"3";"9";"11";"grundlagen";"1 Bitcoin = 100.000.000 Satoshi (100 Millionen Sats).";""
"Was ist eine Wallet?";"Ein Portemonnaie aus Leder";"Eine digitale Geldbörse für Bitcoin";"Eine Bank";"Ein Computer";"B";"1";"7";"9";"wallets";"Eine WALLET ist eine digitale Geldbörse, die deine Bitcoin speichert.";""
"Was ist ein Private Key?";"Ein öffentlicher Schlüssel";"Geheimer Schlüssel für deine Bitcoin";"Ein Passwort für eine Website";"Dein Name";"B";"3";"10";"12";"sicherheit";"Der PRIVATE KEY ist dein geheimer Schlüssel – wer ihn hat, besitzt deine Bitcoin!";""
"Was ist ein Public Key?";"Geheimer Schlüssel";"Öffentliche Adresse zum Empfangen";"Passwort";"Benutzername";"B";"3";"10";"12";"sicherheit";"Der PUBLIC KEY (öffentliche Schlüssel) ist deine Adresse zum Empfangen von Bitcoin.";""
