frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was heisst Kopf auf Englisch?";"hand";"head";"heart";"hair";"B";"1";"5";"7";"koerper";"Kopf = HEAD. Der Teil oben am Koerper.";""
"Was heisst Auge auf Englisch?";"ear";"eye";"arm";"egg";"B";"1";"5";"7";"koerper";"Auge = EYE. Wir haben zwei Augen.";""
"Was heisst Hand auf Englisch?";"head";"hand";"heart";"hair";"B";"1";"5";"7";"koerper";"Hand = HAND. Wir haben zwei Haende.";""
"Was heisst Fuss auf Englisch?";"finger";"foot";"face";"find";"B";"1";"5";"7";"koerper";"Fuss = FOOT. Mehrzahl ist feet!";""
"Was heisst Schule auf Englisch?";"class";"school";"book";"teacher";"B";"1";"5";"7";"schule";"Schule = SCHOOL. Where children learn.";""
"Was heisst Buch auf Englisch?";"paper";"pen";"book";"bag";"C";"1";"5";"7";"schule";"Buch = BOOK. We read books.";""
"Was heisst Lehrer auf Englisch?";"student";"teacher";"class";"school";"B";"1";"6";"8";"schule";"Lehrer = TEACHER. Teachers help us learn.";""
"Was heisst Wasser auf Englisch?";"water";"wine";"weather";"winter";"A";"1";"5";"7";"essen";"Wasser = WATER. We drink water.";""
"Was heisst Brot auf Englisch?";"bread";"butter";"breakfast";"brown";"A";"1";"5";"7";"essen";"Brot = BREAD. We eat bread for breakfast.";""
"Was heisst Milch auf Englisch?";"water";"juice";"milk";"tea";"C";"1";"5";"7";"essen";"Milch = MILK. Milk comes from cows.";""
"Was heisst Sonne auf Englisch?";"moon";"sun";"star";"sky";"B";"1";"5";"7";"wetter";"Sonne = SUN. The sun is yellow and warm.";""
"Was heisst Regen auf Englisch?";"sun";"wind";"rain";"snow";"C";"1";"5";"7";"wetter";"Regen = RAIN. Rain falls from clouds.";""
"Was heisst Schnee auf Englisch?";"rain";"snow";"sun";"wind";"B";"1";"5";"7";"wetter";"Schnee = SNOW. Snow is white and cold.";""
