frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"1 + 1 = ?";"1";"2";"3";"0";"B";"1";"5";"6";"addition";"1 + 1 = 2. Wenn du einen Apfel hast und noch einen bekommst, hast du zwei Äpfel.";""
"2 + 1 = ?";"2";"3";"4";"1";"B";"1";"5";"6";"addition";"2 + 1 = 3. Zwei plus eins ergibt immer drei.";""
"1 + 2 = ?";"2";"3";"4";"1";"B";"1";"5";"6";"addition";"1 + 2 = 3. Die Reihenfolge beim Addieren ist egal.";""
"2 + 2 = ?";"3";"4";"5";"2";"B";"1";"5";"6";"addition";"2 + 2 = 4. Zwei Paare ergeben zusammen vier.";""
"3 + 1 = ?";"3";"4";"5";"2";"B";"1";"5";"6";"addition";"3 + 1 = 4. Drei plus eins ist vier.";""
"1 + 3 = ?";"3";"4";"5";"2";"B";"1";"5";"6";"addition";"1 + 3 = 4. Egal ob 1+3 oder 3+1, das Ergebnis ist gleich.";""
"2 + 3 = ?";"4";"5";"6";"3";"B";"1";"5";"6";"addition";"2 + 3 = 5. Zwei und drei zusammen sind fünf.";""
"3 + 2 = ?";"4";"5";"6";"3";"B";"1";"5";"6";"addition";"3 + 2 = 5. Eine Hand hat fünf Finger: 3 + 2.";""
"4 + 1 = ?";"4";"5";"6";"3";"B";"1";"5";"6";"addition";"4 + 1 = 5. Vier plus eins ergibt fünf.";""
"3 + 3 = ?";"5";"6";"7";"4";"B";"1";"5";"6";"addition";"3 + 3 = 6. Zwei mal drei Finger sind sechs.";""
"2 - 1 = ?";"0";"1";"2";"3";"B";"1";"5";"6";"subtraktion";"2 - 1 = 1. Von zwei nimmt man eins weg, bleibt eins.";""
"3 - 1 = ?";"1";"2";"3";"4";"B";"1";"5";"6";"subtraktion";"3 - 1 = 2. Drei minus eins ist zwei.";""
"3 - 2 = ?";"0";"1";"2";"3";"B";"1";"5";"6";"subtraktion";"3 - 2 = 1. Wenn du von drei Äpfeln zwei isst, bleibt einer.";""
"4 - 1 = ?";"2";"3";"4";"1";"B";"1";"5";"6";"subtraktion";"4 - 1 = 3. Vier minus eins ergibt drei.";""
"4 - 2 = ?";"1";"2";"3";"4";"B";"1";"5";"6";"subtraktion";"4 - 2 = 2. Die Hälfte von vier ist zwei.";""
"5 - 1 = ?";"3";"4";"5";"2";"B";"1";"5";"6";"subtraktion";"5 - 1 = 4. Fünf Finger minus einen sind vier.";""
"5 - 2 = ?";"2";"3";"4";"1";"B";"1";"5";"6";"subtraktion";"5 - 2 = 3. Von fünf zwei wegnehmen ergibt drei.";""
"5 - 3 = ?";"1";"2";"3";"4";"B";"1";"5";"6";"subtraktion";"5 - 3 = 2. Fünf minus drei gleich zwei.";""
"4 + 2 = ?";"5";"6";"7";"4";"B";"1";"5";"7";"addition";"4 + 2 = 6. Vier plus zwei ist sechs.";""
"5 + 2 = ?";"6";"7";"8";"5";"B";"1";"5";"7";"addition";"5 + 2 = 7. Fünf und zwei zusammen sind sieben.";""
"5 + 3 = ?";"7";"8";"9";"6";"B";"1";"6";"8";"addition";"5 + 3 = 8. Fünf plus drei ergibt acht.";""
"4 + 4 = ?";"7";"8";"9";"6";"B";"1";"6";"8";"addition";"4 + 4 = 8. Das Doppelte von vier ist acht.";""
"6 + 2 = ?";"7";"8";"9";"6";"B";"1";"6";"8";"addition";"6 + 2 = 8. Sechs plus zwei gleich acht.";""
"5 + 4 = ?";"8";"9";"10";"7";"B";"1";"6";"8";"addition";"5 + 4 = 9. Fast eine ganze Hand plus vier Finger.";""
"6 + 3 = ?";"8";"9";"10";"7";"B";"1";"6";"8";"addition";"6 + 3 = 9. Sechs plus drei ist neun.";""
"5 + 5 = ?";"9";"10";"11";"8";"B";"1";"6";"8";"addition";"5 + 5 = 10. Zwei Hände haben zusammen zehn Finger.";""
