frage;antwort_a;antwort_b;antwort_c;antwort_d;richtig;schwierigkeit;min_alter;max_alter;typ;erklaerung;bild_url
"Was ist Taschengeld?";"Gehalt";"Geld das Kinder von Eltern bekommen";"Ein Kredit";"Steuern";"B";"1";"5";"7";"grundlagen";"TASCHENGELD ist Geld, das Kinder regelmäßig von ihren Eltern bekommen.";""
"Was kannst du mit Taschengeld lernen?";"Nichts";"Den Umgang mit Geld";"Autofahren";"Kochen";"B";"1";"5";"7";"grundlagen";"Mit TASCHENGELD lernst du, wie man Geld einteilt und spart.";""
"Was ist ein Wunsch?";"Ein Bedarf";"Etwas das man gerne haette aber nicht braucht";"Eine Rechnung";"Ein Vertrag";"B";"1";"5";"7";"grundlagen";"Ein WUNSCH ist etwas, das man gerne haette, aber nicht unbedingt braucht.";""
"Was ist ein Bedarf?";"Ein Wunsch";"Etwas das man wirklich braucht";"Ein Luxus";"Ein Geschenk";"B";"1";"5";"7";"grundlagen";"BEDARF sind Dinge, die man zum Leben braucht wie Essen und Kleidung.";""
"Was ist ein Sparziel?";"Schulden";"Betrag fuer den man spart";"Ein Kredit";"Ein Konto";"B";"1";"6";"8";"sparen";"Ein SPARZIEL ist ein Betrag oder eine Sache, fuer die du sparst.";""
"Was ist ein Muenzgeld?";"Papiergeld";"Geld aus Metall";"Digitales Geld";"Kreditkarte";"B";"1";"5";"7";"grundlagen";"MUENZGELD sind die Metallstuecke wie 1 Cent, 2 Euro usw.";""
"Welche Euro-Scheine gibt es?";"1 und 2 Euro";"5, 10, 20, 50, 100, 200, 500 Euro";"Nur 50 Euro";"1000 Euro";"B";"1";"6";"8";"grundlagen";"Es gibt EURO-SCHEINE von 5 bis 500 Euro.";""
"Was ist Wechselgeld?";"Umgetauschtes Geld";"Geld das man zurueckbekommt wenn man mehr bezahlt";"Auslaendisches Geld";"Altes Geld";"B";"1";"5";"7";"grundlagen";"WECHSELGELD bekommst du zurueck wenn du mehr bezahlst als etwas kostet.";""
"Was ist ein Kassenbon?";"Ein Vertrag";"Beleg vom Einkauf";"Ein Gutschein";"Eine Quittung";"B";"1";"6";"8";"grundlagen";"Der KASSENBON zeigt was du gekauft hast und was es gekostet hat.";""
"Was bedeutet billig?";"Teuer";"Kostet wenig Geld";"Gratis";"Wertvoll";"B";"1";"5";"7";"grundlagen";"BILLIG bedeutet, dass etwas wenig Geld kostet.";""
"Was bedeutet teuer?";"Billig";"Kostet viel Geld";"Gratis";"Wertlos";"B";"1";"5";"7";"grundlagen";"TEUER bedeutet, dass etwas viel Geld kostet.";""
"Was ist ein Geldautomat?";"Eine Bank";"Maschine zum Geld abheben";"Ein Computer";"Ein Tresor";"B";"1";"6";"8";"zahlungsverkehr";"Am GELDAUTOMATEN kann man mit Karte Bargeld abheben.";""
"Was ist eine PIN?";"Ein Name";"Geheimzahl fuer die Bankkarte";"Eine Telefonnummer";"Eine Adresse";"B";"2";"7";"9";"sicherheit";"Die PIN ist deine GEHEIMZAHL - niemals anderen verraten!";""
"Warum soll man die PIN geheim halten?";"Ist egal";"Damit niemand dein Geld stehlen kann";"Die Bank will es so";"Aus Spass";"B";"2";"7";"9";"sicherheit";"Die PIN geheim halten schuetzt dein GELD vor Diebstahl!";""
"Was ist ein Kontoauszug?";"Ein Brief";"Uebersicht ueber Kontobewegungen";"Ein Vertrag";"Eine Rechnung";"B";"2";"8";"10";"konten";"Der KONTOAUSZUG zeigt alle Ein- und Auszahlungen auf deinem Konto.";""
"Was bedeutet Kontostand?";"Bankname";"Wie viel Geld auf dem Konto ist";"Kontonummer";"Bankleitzahl";"B";"2";"7";"9";"konten";"Der KONTOSTAND zeigt, wie viel Geld gerade auf deinem Konto ist.";""
"Was ist eine Lastschrift?";"Ueberweisung";"Geld wird automatisch vom Konto abgebucht";"Einzahlung";"Bargeld";"B";"2";"8";"10";"zahlungsverkehr";"Bei LASTSCHRIFT wird Geld automatisch abgebucht zum Beispiel fuer Miete.";""
"Was ist ein Dauerauftrag?";"Einmalige Zahlung";"Automatische regelmaessige Ueberweisung";"Eine Lastschrift";"Ein Kredit";"B";"2";"8";"10";"zahlungsverkehr";"Ein DAUERAUFTRAG ueberweist automatisch jeden Monat den gleichen Betrag.";""
"Was ist ein Gutschein?";"Bargeld";"Karte mit Guthaben fuer bestimmte Geschaefte";"Eine Rechnung";"Ein Kredit";"B";"1";"6";"8";"zahlungsmittel";"Ein GUTSCHEIN ist wie Geld aber nur in bestimmten Geschaeften gueltig.";""
"Was bedeutet Rabatt?";"Aufpreis";"Preisnachlass";"Steuern";"Zinsen";"B";"1";"6";"8";"grundlagen";"RABATT bedeutet, dass etwas guenstiger verkauft wird.";""
